"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.865414632947247
"no","1","A","A","F",0.745422191788925
"yes","2","A","A","F",0.854488418592425
"no","2","A","A","F",0.727818279568669
"yes","3","A","A","F",0.905017146918043
"no","3","A","A","F",0.812691061610687
"yes","4","A","A","F",0.895071814007243
"no","4","A","A","F",0.79526549630266
"yes","5","A","A","F",0.117694390028098
"no","5","A","A","F",0.0572640641784518
"yes","9","A","A","F",3.60689776525644e-07
"no","9","A","A","F",1.64243920052568e-07
"yes","10","A","A","F",0.514844135559804
"no","10","A","A","F",0.325793696507447
"yes","11","A","A","F",0.353642451817874
"no","11","A","A","F",0.199450504812798
"yes","12","A","A","F",0.85651454270605
"no","12","A","A","F",0.731053035987663
"yes","1","L","A","F",0.727020421801046
"no","1","L","A","F",0.548073979048629
"yes","2","L","A","F",0.708641400879297
"no","2","L","A","F",0.525510082844492
"yes","3","L","A","F",0.797832973540296
"no","3","L","A","F",0.64247882078598
"yes","4","L","A","F",0.779400350008395
"no","4","L","A","F",0.616686954491764
"yes","5","L","A","F",0.0523566330135621
"no","5","L","A","F",0.0245409410877882
"yes","9","L","A","F",1.49390845575362e-07
"no","9","L","A","F",6.80267001463326e-08
"yes","10","L","A","F",0.305326880125722
"no","10","L","A","F",0.166765808188198
"yes","11","L","A","F",0.184745834630303
"no","11","L","A","F",0.0935377141233816
"yes","12","L","A","F",0.712013886039213
"no","12","L","A","F",0.529595202424833
"yes","1","A","L","F",0.843923577647328
"no","1","A","L","F",0.711165305785946
"yes","2","A","L","F",0.831592149561719
"no","2","A","L","F",0.692170786089194
"yes","3","A","L","F",0.889039130421052
"no","3","A","L","F",0.784873754376596
"yes","4","A","L","F",0.877646973866451
"no","4","A","L","F",0.765606698546737
"yes","5","A","L","F",0.100856764371114
"no","5","A","L","F",0.0485955723927207
"yes","9","A","L","F",3.03300611374968e-07
"no","9","A","L","F",1.38111149945434e-07
"yes","10","A","L","F",0.471555775643985
"no","10","A","L","F",0.288934264834121
"yes","11","A","L","F",0.315104849570978
"no","11","A","L","F",0.173212846885215
"yes","12","A","L","F",0.833875103154505
"no","12","A","L","F",0.695652039511523
"yes","1","L","L","F",0.691312752451458
"no","1","L","L","F",0.50489932046385
"yes","2","L","L","F",0.671615524673389
"no","2","L","L","F",0.48221628919823
"yes","3","L","L","F",0.768437813505474
"no","3","L","L","F",0.601769950588646
"yes","4","L","L","F",0.748171032976337
"no","4","L","L","F",0.57498406144365
"yes","5","L","L","F",0.0443960319493374
"no","5","L","L","F",0.0207171375269742
"yes","9","L","L","F",1.25621340615654e-07
"no","9","L","L","F",5.72030041499477e-08
"yes","10","L","L","F",0.269856188670182
"no","10","L","L","F",0.144054114236174
"yes","11","L","L","F",0.160055823555396
"no","11","L","L","F",0.0798432585735422
"yes","12","L","L","F",0.67522016355976
"no","12","L","L","F",0.486309792469717
"yes","1","A","A","V",0.907434331808981
"no","1","A","A","V",0.816982677103176
"yes","2","A","A","V",0.899523391743554
"no","2","A","A","V",0.803019508351255
"yes","3","A","A","V",0.935592525295663
"no","3","A","A","V",0.868673934114118
"yes","4","A","A","V",0.928596049490599
"no","4","A","A","V",0.855530684434442
"yes","5","A","A","V",0.168996739100691
"no","5","A","A","V",0.0847555389470838
"yes","9","A","A","V",5.49885952802689e-07
"no","9","A","A","V",2.50396433873342e-07
"yes","10","A","A","V",0.618004483219069
"no","10","A","A","V",0.424194229561492
"yes","11","A","A","V",0.454780493300939
"no","11","A","A","V",0.275271462176679
"yes","12","A","A","V",0.900995098006117
"no","12","A","A","V",0.80559924879942
"yes","1","L","A","V",0.80238223694107
"no","1","L","A","V",0.648985905988633
"yes","2","L","A","V",0.787594746333949
"no","2","L","A","V",0.628041008023509
"yes","3","L","A","V",0.857477846520146
"no","3","L","A","V",0.73259567205065
"yes","4","L","A","V",0.843416060791868
"no","4","L","A","V",0.71037424861742
"yes","5","L","A","V",0.0776862801566295
"no","5","L","A","V",0.0369381565791788
"yes","9","L","A","V",2.2775232876115e-07
"no","9","L","A","V",1.0370943398724e-07
"yes","10","L","A","V",0.401224498999906
"no","10","L","A","V",0.233790284305638
"yes","11","L","A","V",0.256769760121179
"no","11","L","A","V",0.135932568641665
"yes","12","L","A","V",0.790323749444549
"no","12","L","A","V",0.631861777984844
"yes","1","A","L","V",0.891814326993727
"no","1","A","L","V",0.789637743383171
"yes","2","A","L","V",0.882740954937197
"no","2","A","L","V",0.774165009659563
"yes","3","A","L","V",0.924327839483217
"no","3","A","L","V",0.847611689618339
"yes","4","A","L","V",0.916217279415821
"no","4","A","L","V",0.832766319178856
"yes","5","A","L","V",0.146034466230163
"no","5","A","L","V",0.0722443698354107
"yes","9","A","L","V",4.62393895104737e-07
"no","9","A","L","V",2.10555982148145e-07
"yes","10","A","L","V",0.576346458552638
"no","10","A","L","V",0.382518324881683
"yes","11","A","L","V",0.412251029053947
"no","11","A","L","V",0.242075653433321
"yes","12","A","L","V",0.884426894635967
"no","12","A","L","V",0.777017708274846
"yes","1","L","L","V",0.773460723086933
"no","1","L","L","V",0.608566548189792
"yes","2","L","L","V",0.757164041397675
"no","2","L","L","V",0.586745607107723
"yes","3","L","L","V",0.834961112239416
"no","3","L","L","V",0.697313656989934
"yes","4","L","L","V",0.819146301600174
"no","4","L","L","V",0.673467112700307
"yes","5","L","L","V",0.0661432240394075
"no","5","L","L","V",0.0312445746865328
"yes","9","L","L","V",1.91514768618121e-07
"no","9","L","L","V",8.72082756282592e-08
"yes","10","L","L","V",0.360392845982502
"no","10","L","L","V",0.204187439061959
"yes","11","L","L","V",0.225112088707704
"no","11","L","L","V",0.116831246681604
"yes","12","L","L","V",0.760164962574363
"no","12","L","L","V",0.590714127164527
