"is_loaded","position_mother","nature_mother","1","2","3","4","9","10","11","12"
"yes","A","F",0.00296047910221886,0.0192170297305781,0.00102459212333084,0.00307797216514259,0.0259306009529177,0.344697756177827,0.0963216978570602,0.506769871890924
"no","A","F",0.0021095376818133,0.0137814444463609,0.000739096583255022,0.00222296019396525,0.0188863601566478,0.28131977066684,0.0902513100892386,0.59068952018188
"yes","L","F",0.00541572545116426,0.034516194712494,0.00180982381620206,0.00541868236764043,0.0445919233508092,0.455124044900695,0.0940391682465255,0.359084437154469
"no","L","F",0.00386179696448008,0.0248988868294832,0.00131937615338584,0.00395860127604221,0.033058495618112,0.395055988450113,0.0974631000897973,0.440383754618586
"yes","A","V",0.0113469234534959,0.0692542321669124,0.00349161452041387,0.0103744753040702,0.0810812722217918,0.542272562813711,0.0721848745075109,0.209994045012094
"no","A","V",0.00810503098879103,0.050643596735801,0.0026081454808043,0.00778128112974041,0.0625016269224137,0.512629798651881,0.0838744390916654,0.271856080998904
"yes","L","V",0.0206135931457265,0.117888673041877,0.00560672017031269,0.0164804405438923,0.120233853842214,0.542656026423886,0.0499230679686635,0.126597624863427
"no","L","V",0.0147636869417546,0.0879415655976916,0.00433767263322693,0.0128352425768407,0.0976521510822295,0.551059373622888,0.0622580351839847,0.169152272361384
