"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","0","1","2","3","4","5","6","7","8","9","10","11","12"
"yes",1,"A","A","F",0.0012402098180455,0.00941451948875837,0.049763828193948,0.0601770336818123,0.109514532275728,0.240635311647929,0.24578926888786,0.139769303228667,0.0843956733277972,0.0292892794059294,0.0202511660455164,0.00574882925988351,0.00401104473812575
"no",1,"A","A","F",0.0169639031253532,0.113216582684233,0.341733466607255,0.183940333169942,0.150108269973302,0.119191168901141,0.0471672919842951,0.0157478503777057,0.0074155039056174,0.00229423197682821,0.00151267909375297,0.000419013897738463,0.00028970430283537
"yes",2,"A","A","F",0.00111105502572393,0.00844347553930539,0.0449081297804988,0.0549356362020371,0.101788028631816,0.232243943248045,0.250219277780666,0.148568607640587,0.092033382201794,0.0323610742909765,0.0225039315634584,0.00640765925031039,0.00447579884478055
"no",2,"A","A","F",0.0152222479852162,0.102990617583892,0.326375073396511,0.186007858842498,0.157566948137269,0.129001266832952,0.0520346875668836,0.0174999785152877,0.00826276803010662,0.00255924944946528,0.00168816334143318,0.000467728373502951,0.000323411944983532
"yes",3,"A","A","F",0.000995336940920784,0.00757161678007436,0.0404962674906705,0.0500602610712748,0.0943043051491876,0.223025124272205,0.253315386261729,0.157262141013748,0.100126094098938,0.0357144160897501,0.0249942435931061,0.00714067390210582,0.00499413333628895
"no",3,"A","A","F",0.0136569214487868,0.0935529141510222,0.310383160055733,0.187008110129506,0.164596580414458,0.139208166399361,0.0573307316002544,0.0194369135887923,0.00920481103886028,0.00285462100958256,0.00188393071661364,0.000522099328538306,0.000361040118492695
"yes",4,"A","A","F",0.000891660313675071,0.0067890030409566,0.0364934117320425,0.0455424019546552,0.0871113247695502,0.213139041442605,0.255011386232465,0.165731133764193,0.108652619667068,0.0393658882693637,0.0277440636444251,0.0079559059100206,0.00557215925897991
"no",4,"A","A","F",0.0122505573919426,0.0848675927348106,0.293964862528761,0.186918304459382,0.171073980040908,0.149748554249328,0.0630767666259133,0.0215757441682397,0.0102517443814559,0.00318375982283148,0.00210230729710403,0.000582781828222023,0.00040304447110262
"yes",5,"A","A","F",0.000798774252057993,0.00608665272430732,0.0328663385883809,0.0413700593798182,0.0802455871859755,0.202746787242767,0.255270546751713,0.17384853931884,0.117580328468753,0.0433308871469781,0.0307766506741367,0.00886217978431258,0.00621666848195856
"no",5,"A","A","F",0.0109874047774068,0.0768954846830262,0.277317781602648,0.185740494371431,0.176878162582924,0.160543303445062,0.0692913951514631,0.0239345655992126,0.011414639171639,0.00355044730530862,0.00234588141699033,0.000650506372396054,0.000449933520492496
"yes",6,"A","A","F",0.000715557389686496,0.00545645784636532,0.0295836011338699,0.037528620830551,0.0737330992221554,0.192005621815983,0.254087226264464,0.181482163992728,0.126863824554336,0.0476229976739095,0.0341164529910047,0.0098691706947559,0.0069352055901899
"no",6,"A","A","F",0.00985319635549185,0.0695953640082563,0.260626040771304,0.183501470387992,0.181894663197603,0.171497084959594,0.0759894352536393,0.0265323937438553,0.0127055879226655,0.00395886902704123,0.00261753212794946,0.000726087476836224,0.00050227476777176
"yes",7,"A","A","F",0.00064100455677061,0.00489110508314807,0.0266156316620718,0.0340016246026032,0.0675905097372244,0.181064897639316,0.251487121805683,0.188498460341138,0.136443834242135,0.052253259938201,0.0377889413139992,0.0109874626845006,0.00773614639320963
"no",7,"A","A","F",0.00883502414731876,0.0629249859116266,0.244057176446512,0.180251501128426,0.186019964711646,0.182498574435146,0.0831807304597756,0.0293890319329725,0.0141377624813754,0.00441365315275666,0.00292046047478645,0.000810433204974648,0.000560701512684059
"yes",8,"A","A","F",0.000574214806359161,0.00438400272909586,0.0239347882691236,0.0307714089253462,0.0618263261742512,0.170062771224794,0.247526137284717,0.194766848171169,0.146246418651655,0.0572293253115572,0.0418203704351447,0.0122286046067229,0.00862878341006468
"no",8,"A","A","F",0.0079212222532202,0.056841942888936,0.227759907451921,0.176062009263698,0.189165768353334,0.193421367214917,0.0908688247370587,0.0325248810130593,0.01572546549331,0.00491991133839365,0.00325822379373519,0.000904555748635016,0.000625920449781381
"yes",9,"A","A","F",0.00051438066126361,0.00392921338881571,0.0215153575155306,0.0278196522951788,0.0564421450270498,0.159123759151891,0.242287951841611,0.200164365373023,0.156182631390807,0.0625545073129635,0.046237455746981,0.0136051616542817,0.00962341864060379
"no",9,"A","A","F",0.00710125725650262,0.0513043535401269,0.211862777368918,0.171022361459262,0.191262824213782,0.204125689241809,0.0990495250778489,0.0359606813524801,0.0174841720423494,0.00548328190984426,0.00363477323844374,0.00100958316517141,0.000698720133460728
"yes",10,"A","A","F",0.000460778459836953,0.00352139216058109,0.0193335232142572,0.0251278138393909,0.0514338440636225,0.148357134718539,0.235880459862981,0.20458039831323,0.166148741272678,0.0682267404272394,0.0510669500350071,0.0151307597753666,0.0107314638572699
"no",10,"A","A","F",0.00636562628302096,0.0462714017243625,0.196473616395723,0.16523600990854,0.192264050362983,0.214460952185008,0.107709388382427,0.0397171748987625,0.0194305573030934,0.00610997503126176,0.00405449472822728,0.00112677238734038,0.000779980409250869
"yes",11,"A","A","F",0.000412759690417439,0.00315573002926276,0.0173673098177706,0.0226774841439613,0.0467926988265282,0.137856110963225,0.228431327529229,0.207921206375243,0.176027128481073,0.0742374703939342,0.0563351056190758,0.0168201195868826,0.0119655485433967
"no",11,"A","A","F",0.00570576261894037,0.0417037447451156,0.181679732239829,0.158816256801179,0.192146709161895,0.224269149062901,0.116824185766134,0.0438146750236896,0.0215825051177652,0.00680681941806882,0.00452225349396407,0.00125752363136433,0.000870682919154264
"yes",12,"A","A","F",0.000369743214876064,0.00282790216155563,0.0155965074407638,0.0204506576316674,0.0425063989100507,0.127697718364625,0.220082959994338,0.210113943762551,0.185687938284115,0.0805705117566236,0.0620670074182743,0.0186890756047641,0.0133396354557946
"no",12,"A","A","F",0.0051139486729634,0.0375638091846075,0.167548714008585,0.1518819192456,0.190913474045378,0.233389024542197,0.126357415305265,0.0482725321700834,0.0239590913631065,0.00758130995787909,0.0050434423662794,0.00140339633779285,0.00097192280026337
"yes",1,"L","A","F",0.00128987197158894,0.00978732720401315,0.0516119806932004,0.0621381234810804,0.112321102900528,0.243401426940615,0.243901254923112,0.136622749587814,0.0817812030194581,0.0282574072929848,0.0195003837034341,0.00553015062283457,0.00385701765933766
