"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.0360548761195905
"no","1","A","A","F",0.0507583136231353
"yes","2","A","A","F",0.05588441819182
"no","2","A","A","F",0.0780199682821114
"yes","3","A","A","F",0.00667071741757835
"no","3","A","A","F",0.00950929662542433
"yes","4","A","A","F",2.32160203180882e-08
"no","4","A","A","F",3.31899391773874e-08
"yes","5","A","A","F",0.102022701696952
"no","5","A","A","F",0.139728690086901
"yes","6","A","A","F",0.999999986273307
"no","6","A","A","F",0.99999999039832
"yes","7","A","A","F",0.999999986700652
"no","7","A","A","F",0.999999990697244
"yes","9","A","A","F",0.797403228353545
"no","9","A","A","F",0.849098393133211
"yes","10","A","A","F",0.752170640283487
"no","10","A","A","F",0.812696433994594
"yes","11","A","A","F",0.910986122320379
"no","11","A","A","F",0.936024389526831
"yes","12","A","A","F",0.674675478449328
"no","12","A","A","F",0.747781080310509
"yes","1","L","A","F",0.0186618132545225
"no","1","L","A","F",0.026466987311138
"yes","2","L","A","F",0.0292154034936059
"no","2","L","A","F",0.0412490093980516
"yes","3","L","A","F",0.00340269058227555
"no","3","L","A","F",0.00485743209794015
"yes","4","L","A","F",1.18035113935887e-08
"no","4","L","A","F",1.68744609018263e-08
"yes","5","L","A","F",0.0546092550829048
"no","5","L","A","F",0.0762805279823507
"yes","6","L","A","F",0.999999973001325
"no","6","L","A","F",0.999999981114705
"yes","7","L","A","F",0.999999973841858
"no","7","L","A","F",0.99999998170265
"yes","9","L","A","F",0.666788905702795
"no","9","L","A","F",0.740986368701127
"yes","10","L","A","F",0.606775279217948
"no","10","L","A","F",0.688084961327062
"yes","11","L","A","F",0.83879504951355
"no","11","L","A","F",0.881498124750518
"yes","12","L","A","F",0.513237673447295
"no","12","L","A","F",0.601175947861758
"yes","1","A","L","F",0.0371703561843482
"no","1","A","L","F",0.0523040113907949
"yes","2","A","L","F",0.0575767482921891
"no","2","A","L","F",0.0803255909002468
"yes","3","A","L","F",0.00688359064958234
"no","3","A","L","F",0.00981185868514807
"yes","4","A","L","F",2.3962015662781e-08
"no","4","A","L","F",3.4256424282192e-08
"yes","5","A","L","F",0.104956897709548
"no","5","A","L","F",0.14357393332831
"yes","6","A","L","F",0.999999986700652
"no","6","A","L","F",0.999999990697244
"yes","7","A","L","F",0.999999987114693
"no","7","A","L","F",0.999999990986861
"yes","9","A","L","F",0.802464634662501
"no","9","A","L","F",0.853106227419219
"yes","10","A","L","F",0.758019156734408
"no","10","A","L","F",0.817463235362542
"yes","11","A","L","F",0.913517677838656
"no","11","A","L","F",0.937892404000735
