"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","0","1","2","3","4","5","6","7"
"yes",1,"A","A","F",0.10461131064777,0.0743573050083405,0.347931703246322,0.323777782872529,0.0823463441650053,0.0200592325031054,0.0236716291051565,0.0232446924517711
"no",1,"A","A","F",0.0901100144979959,0.0658451533935296,0.329653588010093,0.342835781153224,0.0934821607270444,0.0231874931078331,0.027577421386489,0.0273083877237911
"yes",2,"A","A","F",0.094436922502628,0.0684409292391484,0.335643827335676,0.337141957135101,0.089901848704075,0.0221680543958189,0.0262974899528737,0.0259689707346785
"no",2,"A","A","F",0.0812180759314089,0.0603586372913719,0.315727653469131,0.354384983653746,0.101657234002494,0.0255669093521745,0.0305924440313395,0.0304940622683347
"yes",3,"A","A","F",0.0851579714081421,0.0628150746604062,0.322179514564479,0.349307299603952,0.0978895566922002,0.0244611254023513,0.0291864038251947,0.0290030538432741
"no",3,"A","A","F",0.0731330569926067,0.0551892985786204,0.300950614155475,0.364432268563673,0.11021656178406,0.0281408310588405,0.0338990101851986,0.0340383586815266
"yes",4,"A","A","F",0.0767134946063785,0.0574999967455869,0.307761507244249,0.360061860166155,0.106279435693585,0.0269458877546972,0.0323579781773204,0.0323798396120278
"no",4,"A","A","F",0.0657952420645549,0.050345739648109,0.28554703852166,0.3727927768036,0.119110566074072,0.0309138583825345,0.0375163104775362,0.0379784680279334
"yes",5,"A","A","F",0.0690431963996791,0.0525076699851024,0.292615276282196,0.369210787147216,0.115028322751355,0.02962795924744,0.0358316393144373,0.0361351488725743
"no",5,"A","A","F",0.0591466856253884,0.0458300144005019,0.269735167108119,0.37930819168128,0.128274763319062,0.0338878978374723,0.0414626135234267,0.0423546665047497
"yes",6,"A","A","F",0.0620882495151424,0.0478429795183977,0.276962649322183,0.376582943367539,0.124078633548196,0.0325105517949732,0.0396261488340299,0.0403078440995384
"no",6,"A","A","F",0.0531317509001591,0.0416387849674966,0.253721610998186,0.383852368330199,0.137629008543233,0.0370614842048528,0.0457546109270603,0.0472103811288135
"yes",7,"A","A","F",0.0557919107850358,0.0435049000365031,0.261016124894694,0.382036916557104,0.133357407482864,0.0355938210880231,0.043759004808984,0.0449399143467916
"no",7,"A","A","F",0.0476974959991256,0.0377644029417324,0.237697012278327,0.386335917092566,0.147077282317139,0.040429053996605,0.0504066322085486,0.0525922031659555
"yes",8,"A","A","F",0.0500999737549691,0.0394876152897482,0.244974078569323,0.385466111878353,0.142775829874941,0.038874159582882,0.0482457168233116,0.0500765142264723
"no",8,"A","A","F",0.0427939305584352,0.0341958896923263,0.221832765415884,0.38670949985358,0.15650816096876,0.0439801953527205,0.0554297243775925,0.0585498337807013
"yes",9,"A","A","F",0.0449610814096329,0.0357815466395451,0.229016994473427,0.386802659395607,0.152229374840898,0.0423434533931304,0.0530989473945555,0.0557659424532048
"no",9,"A","A","F",0.03837416481114,0.0309198020342611,0.206278823991501,0.384965665656163,0.165796092440975,0.0476989096481663,0.0608305973283912,0.0651359440894017
"yes",10,"A","A","F",0.0403269215428161,0.0323742719226137,0.213304779968561,0.386019930731814,0.161598701437038,0.0459883334942578,0.058327517728809,0.06205954317409
"no",10,"A","A","F",0.0343944712559205,0.0279209786686493,0.191162549948964,0.381139128882909,0.174803565149128,0.0515629312308994,0.0666104452235582,0.0724059296399718
"yes",11,"A","A","F",0.0361523258023864,0.0292513261944323,0.197975149969871,0.383133532302975,0.170751408562884,0.0497894625550379,0.0639352835515843,0.0690115110608289
"no",11,"A","A","F",0.0308142769539875,0.0251831695650094,0.176588507667101,0.375305475352617,0.18338420449291,0.0555431626182906,0.0727636658164588,0.0804175375336257
"yes",12,"A","A","F",0.0323952914432332,0.0263968837321718,0.183143006368832,0.378200722809067,0.179544709379428,0.053720909873512,0.0699198972526616,0.0766785791410948
"no",12,"A","A","F",0.0275961021949892,0.0226895551091923,0.162639065841702,0.367578364495203,0.191386763133223,0.0596032917356634,0.0792765142525751,0.0892303432374517
"yes",1,"L","A","F",0.112475407877027,0.0787532639751236,0.35588362544207,0.313601838652963,0.0772156184497348,0.0186584450470443,0.021943252571587,0.0214685479844503
"no",1,"L","A","F",0.0970020839156488,0.0699572168522542,0.338971352526928,0.333762651141471,0.0878884169808062,0.0216005485061443,0.0255879763124349,0.0252297537643127
"yes",2,"L","A","F",0.101622973564279,0.0726466202981183,0.344569310204962,0.32768783894984,0.0844499328240341,0.0206407377760666,0.0243928116186577,0.0239897747640425
"no",2,"L","A","F",0.0874954437099051,0.064253265735679,0.325792700408108,0.346261673243255,0.0957657825134809,0.0238447795857629,0.0284063856104116,0.0281799691933976
"yes",3,"L","A","F",0.0917094591704505,0.0668102817661512,0.33192460533694,0.340733348138983,0.0921307090445147,0.022801118794912,0.0270914969200348,0.0267989808280138
"no",3,"L","A","F",0.0788391524620944,0.0588556537210711,0.311601719007855,0.357403828523968,0.10405436074731,0.0262789147381474,0.0315023411740112,0.0314640296255432
"yes",4,"L","A","F",0.0826740302743159,0.0612711359998883,0.318166145169074,0.352518404508393,0.10023639893532,0.025148020292773,0.0300588062322777,0.0299270585879586
"no",4,"L","A","F",0.0709726552047194,0.0537784012870229,0.296623803837315,0.366989150510696,0.112714548742763,0.0289091007441709,0.0348953587899213,0.0351169808833921
"yes",5,"L","A","F",0.074455820643658,0.0560469636266756,0.303518126305113,0.362835225579774,0.108733381276138,0.027688420499168,0.0333143384822742,0.0334077235872003
"no",5,"L","A","F",0.0638366751417342,0.0490281276903773,0.281082312974863,0.374839706439636,0.121692632034429,0.0317392371436541,0.0386044262886239,0.039176882286682
"yes",6,"L","A","F",0.066994879161581,0.0511476011296419,0.288205606529384,0.371495051222566,0.117574510834931,0.0304273152822133,0.0368773849282422,0.0372776509114405
"no",6,"L","A","F",0.0573738756428824,0.0446052383439594,0.265192679651745,0.380805797141505,0.130919728818495,0.0347703429850014,0.0426474359414575,0.0436849014749537
"yes",7,"L","A","F",0.0602329161763722,0.0465761345600991,0.272448303202161,0.378334621091521,0.126697909253505,0.0333671162846914,0.0407664140622288,0.0415765853694203
"no",7,"L","A","F",0.0515293531511413,0.0405050634353816,0.249157369817429,0.384771316897827,0.140311173749686,0.0379998629793334,0.0470404932915875,0.0486853666776149
"yes",8,"L","A","F",0.0541138704490041,0.042330065600883,0.256455143172619,0.383221954145258,0.136026131138172,0.0365069828865573,0.0449984379077843,0.0463474146997231
"no",8,"L","A","F",0.0462509841801721,0.0367189124861157,0.233161837582254,0.386657992595321,0.149766485425706,0.041420931298611,0.0517970938853312,0.0542257625464898
"yes",9,"L","A","F",0.0485843196273813,0.0384024078121257,0.240419750283734,0.38606112890923,0.145465848381569,0.0398421024314461,0.049588249619744,0.0516361929347708
"no",9,"L","A","F",0.0414896491969619,0.0332350230125804,0.217371555908774,0.386428279081125,0.159170054469628,0.0450216207351388,0.0569271642233127,0.06035665337248
"yes",10,"L","A","F",0.0435937573556647,0.0347826853966846,0.224516982312095,0.386795813318423,0.154908194639989,0.0433629419458825,0.0545475262388394,0.0574920987924207
"no",10,"L","A","F",0.0371993548709895,0.0300393924153375,0.201930126860342,0.384086758156103,0.168392666445375,0.0487842156275425,0.0624359703911158,0.0671315152331946
"yes",11,"L","A","F",0.0390947591887753,0.0314578189427319,0.2089005541282,0.385411358192708,0.164229896594786,0.0470545047820782,0.0598837965061063,0.0639673116646144
"no",11,"L","A","F",0.0333372742767973,0.0271164906672285,0.186958411526355,0.379679967504558,0.177293933739048,0.0526845581542997,0.0683229075981562,0.0746064565335562
"yes",12,"L","A","F",0.035043057813146,0.0284128921777327,0.193701714941234,0.381935344039898,0.173295286579587,0.0508956366917842,0.0655992821804834,0.0711167855761343
"no",12,"L","A","F",0.0298637224367279,0.0244498574936475,0.172554569084953,0.373294668571048,0.185725653031303,0.0566915281943512,0.0745801964447291,0.0828398047432402
"yes",1,"A","L","F",0.0640416679255712,0.0491665283485508,0.281556957853886,0.374629923979247,0.121417961147954,0.0316509812308189,0.0384878201258017,0.0390481593881709
"no",1,"A","L","F",0.0548198504960015,0.0428253026897324,0.258390687251071,0.38273938790517,0.134892737548433,0.0361176530155055,0.0444691176011789,0.0457452634929071
"yes",2,"A","L","F",0.0575593910476358,0.0447338154241252,0.265674783520803,0.380654699924099,0.13063870905838,0.0346760464264364,0.0425205167148464,0.0435420378836742
