"is_loaded","burst_date_mother","position_mother","nature_mother","probas"
"yes","1","A","F",0.803077860671232
"no","1","A","F",0.685181766464074
"yes","10","A","F",0.210740229305611
"no","10","A","F",0.124725327846868
"yes","11","A","F",1.92228267445712e-07
"no","11","A","F",1.02588835951297e-07
"yes","12","A","F",0.423079100551625
"no","12","A","F",0.2812841842248
"yes","2","A","F",0.802902132628755
"no","2","A","F",0.68494210530432
"yes","3","A","F",0.891033097045592
"no","3","A","F",0.81357101755194
"yes","4","A","F",0.870966058067391
"no","4","A","F",0.782717414926654
"yes","5","A","F",0.746542966598384
"no","5","A","F",0.611186967865501
"yes","9","A","F",1.31902498541717e-07
"no","9","A","F",7.03940350896796e-08
"yes","unknow","A","F",0.275223972619532
"no","unknow","A","F",0.168508903828423
"yes","1","L","F",0.702917488421927
"no","1","L","F",0.558055735048737
"yes","10","L","F",0.134134921434366
"no","10","L","F",0.0763618285043327
"yes","11","L","F",1.11527364697045e-07
"no","11","L","F",5.95201852591674e-08
"yes","12","L","F",0.298477239806323
"no","12","L","F",0.185047965197065
"yes","2","L","F",0.702685470263754
"no","2","L","F",0.557781757028568
"yes","3","L","F",0.825911484110875
"no","3","L","F",0.71686610986646
"yes","4","L","F",0.796589577987067
"no","4","L","F",0.67637436856961
"yes","5","L","F",0.630845377645667
"no","5","L","F",0.476988934047058
"yes","9","L","F",7.65274425152173e-08
"no","9","L","F",4.08413441306332e-08
"yes","unknow","L","F",0.180540311299435
"no","unknow","L","F",0.105208592161485
"yes","1","A","V",0.807795848755758
"no","1","A","V",0.691639803539783
"yes","10","A","V",0.215791670737025
"no","10","A","V",0.128049495433511
"yes","11","A","V",1.98103885932176e-07
"no","11","A","V",1.05724550197248e-07
"yes","12","A","V",0.430444462168454
"no","12","A","V",0.28741080458471
"yes","2","A","V",0.807623322367851
"no","2","A","V",0.691402844440625
"yes","3","A","V",0.893922146538894
"no","3","A","V",0.818094548912618
"yes","4","A","V",0.874312098082404
"no","4","A","V",0.787794312929986
"yes","5","A","V",0.752197501793142
"no","5","A","V",0.618317351962684
"yes","9","A","V",1.35934209472282e-07
"no","9","A","V",7.25456881807551e-08
"yes","unknow","A","V",0.281270253269708
"no","unknow","A","V",0.172769650719512
"yes","1","L","V",0.7091661319662
"no","1","L","V",0.565467745406565
"yes","10","L","V",0.137670427300886
"no","10","L","V",0.078512638890599
"yes","11","L","V",1.14936292577253e-07
"no","11","L","V",6.13394699736502e-08
"yes","12","L","V",0.304819516920313
"no","12","L","V",0.189631528909541
"yes","2","L","V",0.708936973176111
"no","2","L","V",0.56519478222134
"yes","3","L","V",0.830198079820661
"no","3","L","V",0.722937008636459
"yes","4","L","V",0.801424578626463
"no","4","L","V",0.682929470397653
"yes","5","L","V",0.637828878113745
"no","5","L","V",0.484504635000776
"yes","9","L","V",7.88665683657158e-08
"no","9","L","V",4.20896943197759e-08
"yes","unknow","L","V",0.185037573371243
"no","unknow","L","V",0.10807682945547
