"is_loaded","position_mother","nature_mother","probas"
"yes","A","F",0.961844958145353
"no","A","F",0.949889530194466
"yes","L","F",0.817462191864001
"no","L","F",0.771035544575493
"yes","A","V",0.866761148582172
"no","A","V",0.830269775905456
"yes","L","V",0.536105054761075
"no","L","V",0.464955651407891
