"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.463064900130928
"no","1","A","A","F",0.654162433678795
"yes","2","A","A","F",0.724630539677602
"no","2","A","A","F",1.02367093083378
"yes","3","A","A","F",6.05550003337961e-07
"no","3","A","A","F",8.55448261757177e-07
"yes","5","A","A","F",6.05550003339018e-07
"no","5","A","A","F",8.55448261758671e-07
"yes","9","A","A","F",1.45626910262845
"no","9","A","A","F",2.05724195463166
"yes","10","A","A","F",1.35712377887075
"no","10","A","A","F",1.91718135781494
"yes","11","A","A","F",1.64429682184752
"no","11","A","A","F",2.32286491670165
"yes","12","A","A","F",1.63519290555244
"no","12","A","A","F",2.31000399798828
"yes","1","L","A","F",0.175483031158306
"no","1","L","A","F",0.247901334563238
"yes","2","L","A","F",0.274605921408752
"no","2","L","A","F",0.387930240017255
"yes","3","L","A","F",2.29479172516904e-07
"no","3","L","A","F",3.24180593108676e-07
"yes","5","L","A","F",2.29479172517304e-07
"no","5","L","A","F",3.24180593109242e-07
"yes","9","L","A","F",0.55186760266039
"no","9","L","A","F",0.779612218336415
"yes","10","L","A","F",0.514295500060399
"no","10","L","A","F",0.726534867692283
"yes","11","L","A","F",0.623122569514962
"no","11","L","A","F",0.88027267115007
"yes","12","L","A","F",0.619672550248935
"no","12","L","A","F",0.875398898599688
"yes","1","A","L","F",0.398276783281711
"no","1","A","L","F",0.562637569281674
"yes","2","A","L","F",0.623246375030552
"no","2","A","L","F",0.880447568701922
"yes","3","A","L","F",5.20826578256053e-07
"no","3","A","L","F",7.35761189976282e-07
"yes","5","A","L","F",5.20826578256963e-07
"no","5","A","L","F",7.35761189977566e-07
"yes","9","A","L","F",1.25252027010342
"no","9","A","L","F",1.76941009325305
"yes","10","A","L","F",1.16724651989589
"no","10","A","L","F",1.64894558827997
"yes","11","A","L","F",1.4142407441821
"no","11","A","L","F",1.99786934133919
"yes","12","A","L","F",1.40641057070912
"no","12","A","L","F",1.98680781338973
"yes","1","L","L","F",0.150930932468631
"no","1","L","L","F",0.213217080528396
"yes","2","L","L","F",0.236185387875144
"no","2","L","L","F",0.33365432812569
"yes","3","L","L","F",1.9737239128757e-07
"no","3","L","L","F",2.7882399160285e-07
"yes","5","L","L","F",1.97372391287915e-07
"no","5","L","L","F",2.78823991603337e-07
"yes","9","L","L","F",0.474654964180666
"no","9","L","L","F",0.67053548312203
"yes","10","L","L","F",0.442339631793298
"no","10","L","L","F",0.624884265606551
"yes","11","L","L","F",0.535940539882172
"no","11","L","L","F",0.757112378367097
"yes","12","L","L","F",0.532973218076643
"no","12","L","L","F",0.752920502771983
"yes","1","A","A","V",0.332593940156718
"no","1","A","A","V",0.4698487431421
"yes","2","A","A","V",0.520462091342099
"no","2","A","A","V",0.735246286673075
"yes","3","A","A","V",4.34933119558708e-07
"no","3","A","A","V",6.14421235333514e-07
"yes","5","A","A","V",4.34933119559468e-07
"no","5","A","A","V",6.14421235334587e-07
"yes","9","A","A","V",1.04595765870992
"no","9","A","A","V",1.47760326328598
"yes","10","A","A","V",0.974747048993296
"no","10","A","A","V",1.3770054729054
"yes","11","A","A","V",1.18100758362556
"no","11","A","A","V",1.66838556513173
"yes","12","A","A","V",1.17446874340989
"no","12","A","A","V",1.65914827759881
"yes","1","L","A","V",0.126039768393336
"no","1","L","A","V",0.178053835670084
"yes","2","L","A","V",0.197234265360815
"no","2","L","A","V",0.27862886389532
"yes","3","L","A","V",1.64822214228978e-07
"no","3","L","A","V",2.32841013762587e-07
"yes","5","L","A","V",1.64822214229266e-07
"no","5","L","A","V",2.32841013762993e-07
"yes","9","L","A","V",0.396376016324633
"no","9","L","A","V",0.55995239418387
"yes","10","L","A","V",0.3693900503398
"no","10","L","A","V",0.521829864968591
"yes","11","L","A","V",0.447554523214699
"no","11","L","A","V",0.632251237412513
"yes","12","L","A","V",0.445076564939347
"no","12","L","A","V",0.62875067579469
"yes","1","A","L","V",0.286060214426
"no","1","A","L","V",0.404111488464535
"yes","2","A","L","V",0.447643445878092
"no","2","A","L","V",0.632376856663459
"yes","3","A","L","V",3.74080963060566e-07
"no","3","A","L","V",5.28456622644942e-07
"yes","5","A","L","V",3.74080963061219e-07
"no","5","A","L","V",5.28456622645864e-07
"yes","9","A","L","V",0.89961612646968
"no","9","A","L","V",1.27086953578582
"yes","10","A","L","V",0.838368701831265
"no","10","A","L","V",1.18434653577719
"yes","11","A","L","V",1.01577101029402
"no","11","A","L","V",1.43495919463218
"yes","12","A","L","V",1.01014702919169
"no","12","A","L","V",1.42701431009478
"yes","1","L","L","V",0.108405352051249
"no","1","L","L","V",0.153142051797925
"yes","2","L","L","V",0.169638918299846
"no","2","L","L","V",0.239645474339103
"yes","3","L","L","V",1.41761686705095e-07
"no","3","L","L","V",2.00263872194147e-07
"yes","5","L","L","V",1.41761686705342e-07
"no","5","L","L","V",2.00263872194497e-07
"yes","9","L","L","V",0.340918442981012
"no","9","L","L","V",0.481608600184096
"yes","10","L","L","V",0.317708124679733
"no","10","L","L","V",0.448819852209176
"yes","11","L","L","V",0.384936486869835
"no","11","L","L","V",0.543792001923142
"yes","12","L","L","V",0.382805223518338
"no","12","L","L","V",0.540781209223389
"yes","4","A","A","F",0
"no","4","A","A","F",0
"yes","6","A","A","F",0
"no","6","A","A","F",0
"yes","7","A","A","F",0
"no","7","A","A","F",0
"yes","8","A","A","F",0
"no","8","A","A","F",0
"yes","4","L","A","F",0
"no","4","L","A","F",0
"yes","6","L","A","F",0
"no","6","L","A","F",0
"yes","7","L","A","F",0
"no","7","L","A","F",0
"yes","8","L","A","F",0
"no","8","L","A","F",0
"yes","4","A","L","F",0
"no","4","A","L","F",0
"yes","6","A","L","F",0
"no","6","A","L","F",0
"yes","7","A","L","F",0
"no","7","A","L","F",0
"yes","8","A","L","F",0
"no","8","A","L","F",0
"yes","4","L","L","F",0
"no","4","L","L","F",0
"yes","6","L","L","F",0
"no","6","L","L","F",0
"yes","7","L","L","F",0
"no","7","L","L","F",0
"yes","8","L","L","F",0
"no","8","L","L","F",0
"yes","4","A","A","V",0
"no","4","A","A","V",0
"yes","6","A","A","V",0
"no","6","A","A","V",0
"yes","7","A","A","V",0
"no","7","A","A","V",0
"yes","8","A","A","V",0
"no","8","A","A","V",0
"yes","4","L","A","V",0
"no","4","L","A","V",0
"yes","6","L","A","V",0
"no","6","L","A","V",0
"yes","7","L","A","V",0
"no","7","L","A","V",0
"yes","8","L","A","V",0
"no","8","L","A","V",0
"yes","4","A","L","V",0
"no","4","A","L","V",0
"yes","6","A","L","V",0
"no","6","A","L","V",0
"yes","7","A","L","V",0
"no","7","A","L","V",0
"yes","8","A","L","V",0
