"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","1","2","3","4","5","6","7"
"yes","1","A","A","F",0.177027738892006,0.60685556718695,0.190675885605255,0.0177690881225948,0.00302738719581053,0.002752239152223,0.00189209384516009
"no","1","A","A","F",0.205543600595409,0.607978108878817,0.165235101486612,0.0148564817538575,0.00252227468342114,0.00229079961201173,0.00157363298987234
"yes","2","A","A","F",0.999996863728607,2.95027353502952e-06,1.68386459109549e-07,1.23957483166848e-08,2.06778594247226e-09,1.86896542686554e-09,1.27889876466725e-09
"no","2","A","A","F",0.999997392429261,2.45292776646089e-06,1.40000445569832e-07,1.03061131850879e-08,1.71920433444939e-09,1.55390367240216e-09,1.06330588778292e-09
"yes","8","A","A","F",0.000764450104035516,0.0119712167600989,0.107168049900244,0.195179645952462,0.117450455892602,0.219775204199817,0.347690977190741
"no","8","A","A","F",0.000919304957373679,0.0143591504155331,0.125513700506056,0.215419767452246,0.122075613276865,0.214635485206116,0.30707697818581
"yes","9","A","A","F",0.00108736270626374,0.0169367838624081,0.144350410057513,0.233237328458627,0.124666067322082,0.207203392460834,0.272518655132271
"no","9","A","A","F",0.00130754445295836,0.0202921811818417,0.167472614200074,0.251419352163232,0.125563064069444,0.196456567827964,0.237488676104487
"yes","10","A","A","F",0.00521240814801322,0.0759669776206779,0.401517409466309,0.276383141389065,0.0801596580291536,0.0885557134895627,0.0722046918572191
"no","10","A","A","F",0.00626263989559227,0.0897953248056562,0.432753997131243,0.262401932403837,0.071403002889192,0.076610710991175,0.0607723918833053
"yes","11","A","A","F",0.011291799272303,0.150187163503503,0.508905468867933,0.20251111266871,0.0463207307267123,0.0463098333956199,0.0344738915652192
"no","11","A","A","F",0.0135502635219696,0.174512289412818,0.521763714936231,0.182182198742588,0.0398987514060456,0.0392628375476123,0.0288299444327353
"yes","12","A","A","F",0.0207447604248212,0.242447750105335,0.527275403973439,0.136744046801041,0.02755198869177,0.026350550452157,0.0188854995514371
"no","12","A","A","F",0.0248463912259851,0.2756732135519,0.518891729620204,0.119319189845763,0.0233701558002639,0.0221473251947341,0.0157519947611499
"yes","1","L","A","F",0.206662812611657,0.607894348469075,0.164341404547348,0.0147579877598863,0.0025052559288713,0.00227526805437828,0.00156292262878466
"no","1","L","A","F",0.238568512637145,0.60227451739311,0.141550112825374,0.0123271214017825,0.00208650816121225,0.00189343470778791,0.0012997928735885
"yes","2","L","A","F",0.999997410204479,2.43620671680489e-06,1.39046090974482e-07,1.02358582720896e-08,1.7074874847367e-09,1.54330948021197e-09,1.05605835187816e-09
"no","2","L","A","F",0.999997846782515,2.02552015970969e-06,1.15606176187555e-07,8.51033010729196e-09,1.41964306976661e-09,1.28314425751341e-09,8.78031869433471e-10
"yes","8","L","A","F",0.000925608838590487,0.0144560984081746,0.126239932247485,0.21616043500932,0.122212517115269,0.214381954380422,0.305623454000739
"no","8","L","A","F",0.00111307329290531,0.0173298586329824,0.147138802254829,0.235637510235081,0.12489491088726,0.205980623040013,0.26790522165693
"yes","9","L","A","F",0.00131650707177845,0.0204282462807398,0.168378573813314,0.252054854987822,0.125555996284622,0.196013584808923,0.2362522367528
"no","9","L","A","F",0.00158301508192672,0.0244558291554462,0.194145419713945,0.267890365850565,0.124281915769711,0.183070370142792,0.204573084285613
"yes","10","L","A","F",0.00630535298479714,0.0903481892659275,0.433862431714726,0.26182562138746,0.0710839099989015,0.0761913603590462,0.0603831342891415
"no","10","L","A","F",0.0075741220876539,0.106442174422985,0.462095485860687,0.244972995768259,0.0626880651045832,0.0655069164725621,0.0507202402832707
"yes","11","L","A","F",0.0136419980657899,0.175467238116477,0.522123888934821,0.18143248235586,0.0396743787550567,0.0390209686712476,0.0286390451007482
"no","11","L","A","F",0.0163627444635444,0.202690456245432,0.528573922166866,0.16148807788764,0.0339816504913649,0.0329764620602947,0.0239266866848584
"yes","12","L","A","F",0.0250126608395782,0.276946750264266,0.518461890745833,0.118701457526766,0.0232265452777586,0.0220043985674461,0.0156462967783514
"no","12","L","A","F",0.0299323428127446,0.312298510082598,0.50380221338785,0.102827353678352,0.0196359573217358,0.0184605232921596,0.0130430994245603
"yes","1","A","L","F",0.126720620700488,0.583156434238906,0.252867001346331,0.0259254053658041,0.00446122232513912,0.00406705554664555,0.0028022604766863
"no","1","A","L","F",0.14859612254978,0.597784894525479,0.222447749947925,0.0217327303461891,0.00372057128681635,0.00338696532930871,0.00233096601450222
"yes","2","A","L","F",0.99999535083437,4.37344456893918e-06,2.49614129921305e-07,1.83753098292883e-08,3.065260045787e-09,2.77053757713475e-09,1.89582394227727e-09
"no","2","A","L","F",0.99999613457197,3.63618708143498e-06,2.07535033269757e-07,1.52776633566276e-08,2.54853205206018e-09,2.3034871787786e-09,1.57623247787342e-09
"yes","8","A","L","F",0.000515816410137762,0.00811125237120745,0.0755425688165499,0.152664645772411,0.102743733117248,0.21903863169283,0.441383351819615
"no","8","A","L","F",0.000620336740085054,0.00973780919466981,0.0891787533907271,0.172265245664888,0.110317953987291,0.221402827505202,0.396477073517137
"yes","9","A","L","F",0.00073378037724462,0.0114968103856369,0.10341578770859,0.190661485675036,0.116197181011613,0.220453106676066,0.357041848165814
"no","9","A","L","F",0.000882427942692627,0.0137916072804554,0.121233642606018,0.21096338393672,0.12120189058883,0.216062569504178,0.315864478141106
"yes","10","A","L","F",0.00352219702195914,0.0527262664668323,0.330050784698939,0.29374763287055,0.0987943750441114,0.117725975728851,0.103432768168756
"no","10","A","L","F",0.00423332267265933,0.0626570232337714,0.363985411706138,0.287941704466407,0.0901851874161121,0.103474856284864,0.0875224942200488
"yes","11","A","L","F",0.00764539386914085,0.107327748108765,0.463441728034428,0.244052154491437,0.0622717413703774,0.0649934767254861,0.0502677574003663
"no","11","A","L","F",0.00918131587002486,0.125953197788525,0.487532957680524,0.22517366555222,0.054429053951194,0.0555788343692468,0.042150974788265
"yes","12","A","L","F",0.0140892566374649,0.180087501276002,0.523728280510829,0.177854898548915,0.03861469658064,0.0378824609570456,0.0277429054891043
"no","12","A","L","F",0.016897675702723,0.20780310046415,0.52904852000739,0.158032876053835,0.0330449921046753,0.0319983528793001,0.0231744827879263
"yes","1","L","L","F",0.149463585592524,0.598210060170784,0.221361029278574,0.0215905594494077,0.00369559074366399,0.00336406167156411,0.00231511309348253
"no","1","L","L","F",0.174480729240734,0.606409099278397,0.193229779933921,0.0180736548199918,0.00308041318057373,0.002800732885885,0.00192559066049769
"yes","2","L","L","F",0.999996160921682,3.61140005722405e-06,2.06120312928881e-07,1.51735191078473e-08,2.53115572945717e-09,2.2877841843183e-09,1.56548907170873e-09
"no","2","L","L","F",0.999996808098464,3.00260449981327e-06,1.71373255142271e-07,1.26156151081247e-08,2.10446415849219e-09,1.90211935091611e-09,1.30158284150639e-09
"yes","8","L","L","F",0.000624591810526015,0.00980390666672755,0.0897231586107263,0.173006437137003,0.110578286260197,0.221422108593043,0.394841510921777
"no","8","L","L","F",0.00075113683036825,0.0117653436360574,0.10554420206401,0.193240722011738,0.116922104954662,0.220087220869737,0.351689269633427
"yes","9","L","L","F",0.000888479174791202,0.013884784528214,0.12193969948605,0.211709359522835,0.121354055401406,0.215835390694276,0.314388231192428
"no","9","L","L","F",0.00106843176429634,0.0166471445772282,0.142281807940057,0.231418340124013,0.124472443792434,0.208093549640298,0.276018282161674
"yes","10","L","L","F",0.00426225457129871,0.0630562920368872,0.365235347460497,0.287644016367889,0.0898594247707019,0.102964900205183,0.0869777645875435
"no","10","L","L","F",0.00512202857560328,0.0747555297071467,0.398430387436226,0.277541961629591,0.081003380142089,0.0897552695298441,0.0733914429794993
