"is_loaded","burst_date_mother","position_mother","position_ancestor","nature_ancestor","probas"
"yes","1","A","A","F",0.638617487784312
"no","1","A","A","F",0.718410872841629
"yes","2","A","A","F",0.305931467856535
"no","2","A","A","F",0.388888769310117
"yes","3","A","A","F",0.335110394239017
"no","3","A","A","F",0.42117858782211
"yes","5","A","A","F",0.999999225176678
"no","5","A","A","F",0.999999463315012
"yes","6","A","A","F",3.90065417851624e-06
"no","6","A","A","F",5.6314474720844e-06
"yes","7","A","A","F",3.28865099251774e-06
"no","7","A","A","F",4.74788830284147e-06
"yes","9","A","A","F",0.517395408312001
"no","9","A","A","F",0.607504304413651
"yes","10","A","A","F",0.455977885492148
"no","10","A","A","F",0.547525685439396
"yes","11","A","A","F",0.55253454029126
"no","11","A","A","F",0.640639437233793
"yes","12","A","A","F",0.605087329587356
"no","12","A","A","F",0.688675005302507
"yes","1","L","A","F",0.182442965169709
"no","1","L","A","F",0.2436707072209
"yes","2","L","A","F",0.0527269172362045
"no","2","L","A","F",0.0743827076988594
"yes","3","L","A","F",0.0598379180125077
"no","3","L","A","F",0.084154846998211
"yes","5","L","A","F",0.999993864287968
"no","5","L","A","F",0.999995750063442
"yes","6","L","A","F",4.92577212305229e-07
"no","6","L","A","F",7.11144019673871e-07
"yes","7","L","A","F",4.15292819563252e-07
"no","7","L","A","F",5.99566946655001e-07
"yes","9","L","A","F",0.119240513580063
"no","9","L","A","F",0.16349938189166
"yes","10","L","A","F",0.0957125959545277
"no","10","L","A","F",0.132552825947967
"yes","11","L","A","F",0.134897222797859
"no","11","L","A","F",0.183755004113046
"yes","12","L","A","F",0.162119251794788
"no","12","L","A","F",0.218347978244138
"yes","1","A","L","F",0.5983755779922
"no","1","A","L","F",0.682638773784368
"yes","2","A","L","F",0.270936367086336
"no","2","A","L","F",0.349178293256988
"yes","3","A","L","F",0.29821163838022
"no","3","A","L","F",0.380222370041826
"yes","5","A","L","F",0.999999080985106
"no","5","A","L","F",0.999999363440019
"yes","6","A","L","F",3.28865099250927e-06
"no","6","A","L","F",4.74788830282924e-06
"yes","7","A","L","F",2.77266935675197e-06
"no","7","A","L","F",4.00295666840767e-06
"yes","9","A","L","F",0.474757051087307
"no","9","A","L","F",0.566151483688224
"yes","10","A","L","F",0.414058417469251
"no","10","A","L","F",0.505002566909288
"yes","11","A","L","F",0.510060931049939
