a;A0;X00;B0;ER0;dim90;ndim90;nInflo;variete;Tm90;pos;posUCm;arbre;RGR50sim;ndim50;Tm50;dim50;RGRip;verger;sai;nbApUCm;nbLatUCm;vigArbre;or;haut;diamUCm;diamAxeI;longAxeII
3-GF-jose-F-D8-1-L2;11.54720163;13.75533462;4.316795233;0.668736934;10.39248146;23;29;jose;23.16652174;L;A;D8;0.115826666;14;23.01892857;5.773600813;0.115826666;GF;3;0;3;2;nord-ouest;1.9;0.68;0.55;4
3-GF-jose-F-E17-1-A;6.415414347;6.48833235;3.098696011;0.517589844;5.773872912;13;13;jose;25.95192308;A;L;E17;0.161358197;6;25.87416667;3.207707173;0.161358197;GF;3;1;0;1;nord;1.15;0.33;0.39;4.5
3-GF-jose-F-E9-1-A;8.296998309;7.154323253;2.988294175;0.694124961;7.467298478;14;14;jose;25.82607143;A;L;E9;0.167319538;7;25.60285714;4.148499154;0.167319538;GF;3;1;0;1;sud-est;1.7;0.45;0.48;4
3-GF-jose-F-F14-1-L;18.87172265;17.67267597;6.020316801;0.783668172;16.98455039;31;35;jose;22.86354839;L;A;F14;0.083052108;18;22.75083333;9.435861327;0.083052108;GF;3;0;2;3;sud-ouest;1.2;0.68;0.65;8
3-GF-jose-F-G8-1-L1;16.84142574;15.15211223;4.740024306;0.888256297;15.15728317;26;29;jose;23.05884615;L;A;G8;0.105484691;15;22.96966667;8.420712871;0.105484691;GF;3;0;2;2;nord-ouest;1.6;0.83;0.62;5.8
3-GF-jose-F-G8-1-L2;19.55506874;15.37844252;4.754483372;1.028243618;17.59956186;26;32;jose;23.05884615;L;A;G8;0.105163897;15;22.96966667;9.777534368;0.105163897;GF;3;0;2;2;nord-ouest;1.6;0.83;0.67;5.7
3-GH-jose-F-C24-1-L;24.31850094;21.00026639;6.340110564;0.958914702;21.88665085;35;43;jose;19.37357143;L;L;C24;0.078862978;21;19.16380952;12.15925047;0.078862978;GH;3;0;3;2;sud-ouest;1.45;0.92;0.6;8.6
3-GH-jose-F-E23-1-L;29.239076;21.26321325;5.399028315;1.35390455;26.3151684;33;39;jose;19.28833333;L;A;E23;0.092609257;21;18.88714286;14.619538;0.092609257;GH;3;0;3;1;sud;1.45;1.05;0.66;8.8
3-GH-jose-F-G26-1-A;25.33420883;21.65147797;6.199354799;1.021646996;22.80078794;35;44;jose;19.35585714;A;L;G26;0.080653554;22;19.19113636;12.66710441;0.080653554;GH;3;1;0;2;sud-ouest;1.4;0.82;0.65;7.9
3-GH-jose-F-G26-2-L;21.22669771;18.57326015;5.045646656;1.051733264;19.10402794;30;38;jose;19.1965;L;A;G26;0.099095326;19;18.93131579;10.61334885;0.099095326;GH;3;1;4;2;ouest;1.6;1.36;0.7;9.65
3-GH-jose-F-G27-1-L;22.33435696;19.98893024;5.014143408;1.113567919;20.10092126;31;34;jose;19.32016129;L;L;G27;0.09971793;20;18.91975;11.16717848;0.09971793;GH;3;1;2;1;sud;1.5;1.1;0.6;8.6
3-GH-jose-F-H21-1-A;30.00453898;23.4549042;5.660994784;1.325055937;27.00408509;36;41;jose;19.37527778;A;L;H21;0.088323699;23;19.27217391;15.00226949;0.088323699;GH;3;1;2;3;sud-ouest;1.3;0.97;0.98;11.1
3-GH-jose-F-H21-1-L;24.36686573;19.32378295;5.263467884;1.157357956;21.93017916;31;39;jose;19.24451613;L;L;H21;0.094994405;19;18.99026316;12.18343286;0.094994405;GH;3;1;2;3;sud-ouest;1.3;0.97;0.54;7.25
3-GH-jose-F-I31-1-A;9.382005887;12.16517586;4.978906046;0.471087715;8.443805298;23;24;jose;21.29195652;A;L;I31;0.100423666;12;21.19916667;4.691002943;0.100423666;GH;3;1;0;2;nord-est;1.65;0.65;0.61;2
3-GH-jose-F-I31-2-A;13.82075754;11.88036765;3.949475977;0.874847551;12.43868179;21;23;jose;21.19833333;A;L;I31;0.126599074;12;21.19916667;6.910378772;0.126599074;GH;3;1;0;2;nord-est;1.6;0.67;0.48;2.5
3-GH-jose-F-I31-3-L;12.10562771;16.85118412;6.080163025;0.497750951;10.89506494;30;36;jose;21.57116667;L;A;I31;0.082234637;17;21.28470588;6.052813855;0.082234637;GH;3;0;1;2;est;1.5;1.13;0.61;4
3-GH-jose-F-J16-1-A;31.84585559;23.17271497;5.870106973;1.35627237;28.66127003;36;46;jose;19.37527778;A;L;J16;0.085177323;23;19.27217391;15.9229278;0.085177323;GH;3;1;1;3;milieu;1.5;0.9;0.84;10.9
3-GH-jose-F-J16-1-L;25.55891433;21.2403722;5.848887135;1.09246912;23.0030229;34;43;jose;19.31088235;L;L;J16;0.085486348;21;19.31;12.77945717;0.085486348;GH;3;1;1;3;milieu;1.5;0.9;0.64;8
3-GH-jose-F-J18-1-A;22.09897196;17.45565808;5.176645459;1.067243843;19.88907477;29;35;jose;19.26344828;A;L;J18;0.096587646;17;19.54235294;11.04948598;0.096587646;GH;3;1;0;3;nord-est;1.3;0.94;0.68;10
3-GH-jose-F-J2-1-A;18.25445988;11.33801999;4.054662297;1.125522827;16.42901389;20;21;jose;20.8135;A;L;J2;0.123314832;11;20.54409091;9.127229939;0.123314832;GH;3;1;1;3;nord-ouest;1.3;0.7;0.58;5
3-GH-jose-F-J2-1-L;11.87340238;10.16139315;3.763985094;0.788619115;10.68606214;18;21;jose;21.00555556;L;L;J2;0.132837933;10;21.061;5.93670119;0.132837933;GH;3;1;1;3;nord-ouest;1.3;0.7;0.52;NA
3-GH-jose-F-L2-1-A;13.93486048;11.20542422;3.464689238;1.005491368;12.54137444;19;21;jose;20.94368421;A;L;L2;0.144313087;11;20.94909091;6.967430242;0.144313087;GH;3;1;0;3;sud;1.45;0.69;0.57;4.5
3-GH-jose-F-L9-1-A;19.49752863;18.31536898;6.424368793;0.758733241;17.54777577;32;44;jose;19.23359375;A;A;L9;0.077828658;18;19.20777778;9.748764317;0.077828658;GH;3;1;0;3;ouest;1.7;0.9;0.7;6.7
3-GH-jose-F-L9-2-L;15.76843575;12.07674464;4.587444646;0.859325668;14.19159217;22;27;jose;19.27340909;L;A;L9;0.108993141;12;19.72375;7.884217873;0.108993141;GH;3;0;5;3;nord;1.9;1.3;0.6;6.5
