codeUC;saison;verger;variete;nature;arbre;UCmere;nombreApicale;nombreLaterale;croissance;orientation;hauteur;positionUC1;positionUC;PUCM;PUCGM;diamUCM1;diamUCM2;diamAxeI;longueurAxeSec;date;stadeInflo;longueurInflo;DFInflo;ceci;obs
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;23/8/10 11:50;F;24,2;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;24/8/10 11:25;F;24,2;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;25/8/10 11:35;F;24,3;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;26/8/10 11:00;F;24,9;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;27/8/10 11:40;F;25,9;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;30/8/10 11:00;F;27,3;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;31/8/10 11:30;F;27,3;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;1/9/10 11:00;F;27,6;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;2/9/10 11:05;F;28,5;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;3/9/10 10:30;F;28,5;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;6/9/10 11:10;F;29,7;F;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;7/9/10 11:10;F;29,7;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;8/9/10 11:10;F;29,7;;;
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;16/9/10 11:00;PF;29,7;;;Pleine floraison
3-BM-cog-F-B10-1-L;3;BM;cog;F;B10;1;1;1;1    ;nord-est;2,2;L;L;A;L;1,18;1,15;0,9;18,3;7/10/10 11:00;G;29,7;;;
3-BM-cog-F-B11-1-A;3;BM;cog;F;B11;1;1;0;2    ;nord-ouest;2,9;A;A;A;L;0,85;0,8;0,9;12,1;25/7/10 12:15;B1;;;;
