CodeUC,Days,TTS,Length,Pheno_stage,Date
3-BM-cog-F-B14-1-L,1,15.16,2.91680143609,0,2010-07-14 00:00:00
3-BM-cog-F-B14-1-L,2,24.91,3.40599301506,0,2010-07-15 00:00:00
3-BM-cog-F-B14-1-L,3,35.11,3.98001302932,0,2010-07-16 00:00:00
3-BM-cog-F-B14-1-L,4,44.925,4.5915348507,0,2010-07-17 00:00:00
3-BM-cog-F-B14-1-L,5,54.225,5.22134765479,0,2010-07-18 00:00:00
3-BM-cog-F-B10-1-L,1,18.405,1.55097216393,0,2010-07-19 00:00:00
3-BM-cog-F-B14-1-L,6,63.33,5.88026639904,0,2010-07-19 00:00:00
3-BM-cog-F-B9-1-A,1,18.405,3.29314581456,0,2010-07-19 00:00:00
3-BM-cog-F-B10-1-L,2,26.995,1.81890585873,0,2010-07-20 00:00:00
3-BM-cog-F-B14-1-L,7,71.92,6.53386312942,0,2010-07-20 00:00:00
3-BM-cog-F-B9-1-A,2,26.995,3.80351531123,0,2010-07-20 00:00:00
3-BM-cog-F-B10-1-L,3,36.505,2.16566711958,0,2010-07-21 00:00:00
3-BM-cog-F-B14-1-L,8,81.43,7.28430398777,0,2010-07-21 00:00:00
3-BM-cog-F-B14-2-A,1,18.1,2.49008532755,0,2010-07-21 00:00:00
3-BM-cog-F-B9-1-A,3,36.505,4.4415149249,0,2010-07-21 00:00:00
3-BM-cog-F-B10-1-L,4,47.505,2.64211953796,0,2010-07-22 00:00:00
3-BM-cog-F-B14-1-L,9,92.43,8.17213128851,1,2010-07-22 00:00:00
3-BM-cog-F-B14-2-A,2,29.1,3.05014180671,0,2010-07-22 00:00:00
3-BM-cog-F-B9-1-A,4,47.505,5.27912963346,0,2010-07-22 00:00:00
3-BM-cog-F-B10-1-L,5,57.215,3.13923631736,0,2010-07-23 00:00:00
3-BM-cog-F-B14-1-L,10,102.14,8.95801601427,1,2010-07-23 00:00:00
3-BM-cog-F-B14-2-A,3,38.81,3.63931636746,0,2010-07-23 00:00:00
3-BM-cog-F-B9-1-A,5,57.215,6.10829190296,0,2010-07-23 00:00:00
3-BM-cog-F-F4-1-A,1,20.71,2.55298949321,0,2010-07-23 00:00:00
3-BM-cog-F-B10-1-L,6,65.565,3.630939441,0,2010-07-24 00:00:00
3-BM-cog-F-B14-1-L,11,110.49,9.62415380076,1,2010-07-24 00:00:00
3-BM-cog-F-B14-2-A,4,47.16,4.22698524204,0,2010-07-24 00:00:00
3-BM-cog-F-B8-1-A,1,18.06,1.64410592676,0,2010-07-24 00:00:00
3-BM-cog-F-B9-1-A,6,65.565,6.88681928886,0,2010-07-24 00:00:00
3-BM-cog-F-F4-1-A,2,29.06,2.95864211059,0,2010-07-24 00:00:00
3-BM-cog-F-B10-1-L,7,74.215,4.20878195672,0,2010-07-25 00:00:00
3-BM-cog-F-B14-1-L,12,119.14,10.2952143976,1,2010-07-25 00:00:00
