CodeUC,Days,TTS,Length,Pheno_stage,Date
3-GF-cog-F-A2-1-A,9,117.32,9.83633990983,1,2010-07-31 00:00:00
3-GF-cog-F-A37-1-A,2,35.25,1.61896107064,0,2010-07-31 00:00:00
3-GF-cog-F-A37-1-L,2,35.25,1.31472814318,0,2010-07-31 00:00:00
3-GF-cog-F-B19-1-A,6,80.11,7.14918192949,0,2010-07-31 00:00:00
3-GF-cog-F-B19-1-L,5,68.485,4.78875059878,0,2010-07-31 00:00:00
3-GF-cog-F-B21-1-A,7,91.935,6.90626456781,0,2010-07-31 00:00:00
3-GF-cog-F-B22-1-A,3,46.73,3.1864985168,0,2010-07-31 00:00:00
3-GF-cog-F-B25-1-L1,8,104.875,6.95332856084,1,2010-07-31 00:00:00
3-GF-cog-F-B25-1-L2,7,91.935,6.96733286833,0,2010-07-31 00:00:00
3-GF-cog-F-B28-1-A,2,35.25,1.50808681718,0,2010-07-31 00:00:00
3-GF-cog-F-B7-1-A,6,80.11,4.1588445323,0,2010-07-31 00:00:00
3-GF-cog-F-B7-1-L,5,68.485,3.6503750287,0,2010-07-31 00:00:00
3-GF-cog-F-B8-1-L1,6,80.11,3.99018636439,0,2010-07-31 00:00:00
3-GF-cog-F-B8-1-L2,6,80.11,3.87096611828,0,2010-07-31 00:00:00
3-GF-cog-F-C28-1-L,2,35.25,2.84340827089,0,2010-07-31 00:00:00
3-GF-cog-F-A2-1-A,10,129.505,11.3175605527,1,2010-08-01 00:00:00
3-GF-cog-F-A37-1-A,3,47.435,2.00955814956,0,2010-08-01 00:00:00
3-GF-cog-F-A37-1-L,3,47.435,1.63433578748,0,2010-08-01 00:00:00
3-GF-cog-F-B19-1-A,7,92.295,8.39619792327,0,2010-08-01 00:00:00
3-GF-cog-F-B19-1-L,6,80.67,5.68676780415,0,2010-08-01 00:00:00
3-GF-cog-F-B21-1-A,8,104.12,8.11364550167,1,2010-08-01 00:00:00
3-GF-cog-F-B22-1-A,4,58.915,3.86003651483,0,2010-08-01 00:00:00
3-GF-cog-F-B25-1-L1,9,117.06,8.29203694769,1,2010-08-01 00:00:00
3-GF-cog-F-B25-1-L2,8,104.12,8.29491761413,1,2010-08-01 00:00:00
3-GF-cog-F-B28-1-A,3,47.435,1.8741291001,0,2010-08-01 00:00:00
3-GF-cog-F-B7-1-A,7,92.295,5.01469413107,0,2010-08-01 00:00:00
3-GF-cog-F-B7-1-L,6,80.67,4.40103675286,0,2010-08-01 00:00:00
3-GF-cog-F-B8-1-L1,7,92.295,4.81903493968,0,2010-08-01 00:00:00
3-GF-cog-F-B8-1-L2,7,92.295,4.64695834755,0,2010-08-01 00:00:00
3-GF-cog-F-C28-1-L,3,47.435,3.49110615232,0,2010-08-01 00:00:00
3-GF-cog-F-A2-1-A,11,140.985,12.7506268027,1,2010-08-02 00:00:00
3-GF-cog-F-A37-1-A,4,58.915,2.45088955325,0,2010-08-02 00:00:00
3-GF-cog-F-A37-1-L,4,58.915,1.99659524931,0,2010-08-02 00:00:00
3-GF-cog-F-B19-1-A,8,103.775,9.65286558388,1,2010-08-02 00:00:00
3-GF-cog-F-B19-1-L,7,92.15,6.61223052667,0,2010-08-02 00:00:00
3-GF-cog-F-B21-1-A,9,115.6,9.33119579591,1,2010-08-02 00:00:00
3-GF-cog-F-B22-1-A,5,70.395,4.58306005021,0,2010-08-02 00:00:00
3-GF-cog-F-B25-1-L1,10,128.54,9.68350904161,1,2010-08-02 00:00:00
3-GF-cog-F-B25-1-L2,9,115.6,9.67015486985,1,2010-08-02 00:00:00
3-GF-cog-F-B28-1-A,4,58.915,2.28875068172,0,2010-08-02 00:00:00
3-GF-cog-F-B7-1-A,8,103.775,5.92468871787,1,2010-08-02 00:00:00
3-GF-cog-F-B7-1-L,7,92.15,5.19898311629,0,2010-08-02 00:00:00
3-GF-cog-F-B8-1-L1,8,103.775,5.70323800582,1,2010-08-02 00:00:00
3-GF-cog-F-B8-1-L2,8,103.775,5.46455988076,1,2010-08-02 00:00:00
3-GF-cog-F-C28-1-L,4,58.915,4.20621713511,0,2010-08-02 00:00:00
3-GF-cog-F-A2-1-A,12,152.685,14.2109011616,1,2010-08-03 00:00:00
3-GF-cog-F-A37-1-A,5,70.615,2.98242641844,0,2010-08-03 00:00:00
3-GF-cog-F-A37-1-L,5,70.615,2.43450979685,0,2010-08-03 00:00:00
3-GF-cog-F-B19-1-A,9,115.475,10.987408142,1,2010-08-03 00:00:00
3-GF-cog-F-B19-1-L,8,103.85,7.61836120956,1,2010-08-03 00:00:00
3-GF-cog-F-B21-1-A,10,127.3,10.6251040122,1,2010-08-03 00:00:00
3-GF-cog-F-B22-1-A,6,82.095,5.40458949411,0,2010-08-03 00:00:00
3-GF-cog-F-B25-1-L1,11,140.24,11.2100978536,1,2010-08-03 00:00:00
3-GF-cog-F-B25-1-L2,10,127.3,11.1734819597,1,2010-08-03 00:00:00
3-GF-cog-F-B28-1-A,5,70.615,2.7895812305,0,2010-08-03 00:00:00
3-GF-cog-F-B7-1-A,9,115.475,6.94785026464,1,2010-08-03 00:00:00
3-GF-cog-F-B7-1-L,8,103.85,6.09590905263,1,2010-08-03 00:00:00
3-GF-cog-F-B8-1-L1,9,115.475,6.70101080145,1,2010-08-03 00:00:00
3-GF-cog-F-B8-1-L2,9,115.475,6.37475820914,1,2010-08-03 00:00:00
3-GF-cog-F-C28-1-L,5,70.615,5.04481797661,0,2010-08-03 00:00:00
3-GF-cog-F-A2-1-A,13,163.55,15.5338399536,1,2010-08-04 00:00:00
3-GF-cog-F-A37-1-A,6,81.48,3.55590594095,0,2010-08-04 00:00:00
3-GF-cog-F-A37-1-L,6,81.48,2.90896581154,0,2010-08-04 00:00:00
3-GF-cog-F-B19-1-A,10,126.34,12.246463617,1,2010-08-04 00:00:00
3-GF-cog-F-B19-1-L,9,114.715,8.59038535611,1,2010-08-04 00:00:00
3-GF-cog-F-B21-1-A,11,138.165,11.8466810623,1,2010-08-04 00:00:00
3-GF-cog-F-B22-1-A,7,92.96,6.23581488338,1,2010-08-04 00:00:00
3-GF-cog-F-B25-1-L1,12,151.105,12.698808472,1,2010-08-04 00:00:00
3-GF-cog-F-B25-1-L2,11,138.165,12.6340456352,1,2010-08-04 00:00:00
3-GF-cog-F-B28-1-A,6,81.48,3.33173245682,0,2010-08-04 00:00:00
3-GF-cog-F-B7-1-A,10,126.34,7.97156854165,1,2010-08-04 00:00:00
3-GF-cog-F-B7-1-L,9,114.715,6.99305504753,1,2010-08-04 00:00:00
3-GF-cog-F-B8-1-L1,10,126.34,7.7031724624,1,2010-08-04 00:00:00
3-GF-cog-F-B8-1-L2,10,126.34,7.27597681892,1,2010-08-04 00:00:00
3-GF-cog-F-C28-1-L,6,81.48,5.92294966074,0,2010-08-04 00:00:00
3-GF-cog-F-A2-1-A,14,174.16,16.7679249106,1,2010-08-05 00:00:00
3-GF-cog-F-A37-1-A,7,92.09,4.19337564804,0,2010-08-05 00:00:00
3-GF-cog-F-A37-1-L,7,92.09,3.43879852207,0,2010-08-05 00:00:00
3-GF-cog-F-B19-1-A,11,136.95,13.4664356485,1,2010-08-05 00:00:00
3-GF-cog-F-B19-1-L,10,125.325,9.55411091722,1,2010-08-05 00:00:00
3-GF-cog-F-B21-1-A,12,148.775,13.031133045,1,2010-08-05 00:00:00
3-GF-cog-F-B22-1-A,8,103.57,7.09899304373,1,2010-08-05 00:00:00
3-GF-cog-F-B25-1-L1,13,161.715,14.1884564045,1,2010-08-05 00:00:00
