"is_loaded","position_mother","nature_mother","probas"
"yes","A","F",0.520774484531985
"no","A","F",0.742301799586777
"yes","L","F",0.354784014012131
"no","L","F",0.593087804231817
"yes","A","V",0.773508410092239
"no","A","V",0.900523039750434
"yes","L","V",0.633440912365864
"no","L","V",0.820807498198137
