"is_loaded","position_mother","nature_ancestor","probas"
"yes","A","F",1.40946227127711
"no","A","F",1.0759963236136
"yes","L","F",1.05399167997676
"no","L","F",0.804626839529888
"yes","A","V",1.62075952977603
"no","A","V",1.23730257349886
"yes","L","V",1.21199913927397
"no","L","V",0.925251171781984
