"is_loaded","burst_date_mother","position_mother","position_ancestor","probas"
"yes","1","A","A",2.88204840645158
"no","1","A","A",4.87648643012323
"yes","2","A","A",3.944892677542
"no","2","A","A",6.67484125778831
"yes","8","A","A",1.36471739623856
"no","8","A","A",2.3091304951065
"yes","9","A","A",1.74338576411926
"no","9","A","A",2.94984532604187
"yes","10","A","A",2.52012901840506
"no","10","A","A",4.26411122481559
"yes","11","A","A",1.5723216685078
"no","11","A","A",2.66040128372
"yes","12","A","A",0.627615049602855
"no","12","A","A",1.06193784458244
"yes","1","L","A",1.82644284777308
"no","1","L","A",3.0903796558806
"yes","2","L","A",2.50000000000001
"no","2","L","A",4.23005250294117
"yes","8","L","A",0.864863449903091
"no","8","L","A",1.46336712038596
"yes","9","L","A",1.10483725833927
"no","9","L","A",1.86940784399227
"yes","10","L","A",1.59708338375844
"no","10","L","A",2.70229862594925
"yes","11","L","A",0.99642867184887
"no","11","L","A",1.68597823894266
"yes","12","L","A",0.39773898867758
"no","12","L","A",0.672982721829152
"yes","1","A","L",2.25669598570865
"no","1","A","L",3.81837700108965
"yes","2","A","L",3.08892225735419
"no","2","A","L",5.22652133044469
"yes","8","A","L",1.06859838399111
"no","8","A","L",1.80809090753619
"yes","9","A","L",1.36510255921534
"no","9","A","L",2.30978219895209
"yes","10","A","L",1.97330656437679
"no","10","A","L",3.3388761486849
"yes","11","A","L",1.23115628093593
"no","11","A","L",2.08314228307391
"yes","12","A","L",0.491433925897487
"no","12","A","L",0.831516523309144
"yes","1","L","L",1.43013775669733
"no","1","L","L",2.41982311890728
"yes","2","L","L",1.95754517920045
"no","2","L","L",3.3122075539589
"yes","8","L","L",0.677203710809784
"no","8","L","L",1.14584290076479
"yes","9","L","L",0.865107539545232
"no","9","L","L",1.46378012518663
"yes","10","L","L",1.25054515146299
"no","10","L","L",2.11594865919478
"yes","11","L","L",0.780221657197943
"no","11","L","L",1.32015142955162
"yes","12","L","L",0.311436815946343
"no","12","L","L",0.52695763312074
"yes","3","A","A",0
"no","3","A","A",0
"yes","4","A","A",0
"no","4","A","A",0
"yes","5","A","A",0
"no","5","A","A",0
"yes","6","A","A",0
"no","6","A","A",0
"yes","7","A","A",0
"no","7","A","A",0
"yes","3","L","A",0
"no","3","L","A",0
"yes","4","L","A",0
"no","4","L","A",0
"yes","5","L","A",0
"no","5","L","A",0
"yes","6","L","A",0
"no","6","L","A",0
"yes","7","L","A",0
"no","7","L","A",0
"yes","3","A","L",0
"no","3","A","L",0
"yes","4","A","L",0
"no","4","A","L",0
"yes","5","A","L",0
"no","5","A","L",0
"yes","6","A","L",0
"no","6","A","L",0
"yes","7","A","L",0
"no","7","A","L",0
"yes","3","L","L",0
"no","3","L","L",0
"yes","4","L","L",0
"no","4","L","L",0
"yes","5","L","L",0
"no","5","L","L",0
"yes","6","L","L",0
"no","6","L","L",0
"yes","7","L","L",0
"no","7","L","L",0
