codeUC;verger;date;DFUC;longFprox;longFdist;longF1
1-BM-cog-V-B13-1-A;BM;02/02/2010 14:00;D;;;
1-BM-cog-V-B13-1-A;BM;03/03/2010 14:00;;18;12.85;10.9
1-BM-cog-V-B13-1-L;BM;02/02/2010 14:00;D;;;
1-BM-cog-V-B13-1-L;BM;03/03/2010 14:00;;17.9;10.1;9.8
1-BM-cog-V-F3-1-L;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F3-1-L;BM;04/03/2010 10:00;;13.5;9;9
1-BM-cog-V-F3-2-A;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F3-2-A;BM;04/03/2010 10:00;;13.6;;10.35
1-BM-cog-V-F4-1-A;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F4-1-A;BM;04/03/2010 10:00;;20.05;;7.1
1-BM-cog-V-F4-2-L;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F4-2-L;BM;04/03/2010 10:00;;13.9;11;
1-BM-cog-V-F5-1-A;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F5-1-A;BM;04/03/2010 10:00;;18.35;14.3;13.3
1-BM-cog-V-F5-2-L;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F5-2-L;BM;04/03/2010 10:00;;12;8.75;10.9
1-BM-cog-V-F7-1-A;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F7-1-A;BM;04/03/2010 10:00;;17.5;12.3;9.4
1-BM-cog-V-F7-1-L;BM;03/02/2010 10:00;D;;;
1-BM-cog-V-F7-1-L;BM;04/03/2010 10:00;;16.2;8.75;
2-BM-cog-V-B8-1-A;BM;30/03/2010 11:15;D;;;
2-BM-cog-V-B8-1-A;BM;06/05/2010 11:00;;18.85;12.2;
2-BM-cog-V-B8-2-L;BM;31/03/2010 10:40;D;;;
2-BM-cog-V-B8-2-L;BM;06/05/2010 11:00;;14.1;;
2-BM-cog-V-B8-3-A;BM;25/03/2010 14:00;D;;;
2-BM-cog-V-B8-3-A;BM;06/05/2010 11:00;;17.6;16;13.7
2-BM-cog-V-F2-1-A;BM;30/03/2010 10:40;D;;;
2-BM-cog-V-F2-1-A;BM;06/05/2010 11:20;;9.6;;14.8
2-BM-cog-V-F6-1-A;BM;30/03/2010 10:40;D;;;
2-BM-cog-V-F6-1-A;BM;06/05/2010 11:20;;16.1;11.5;8.6
2-BM-cog-V-F6-1-L;BM;30/03/2010 10:40;D;;;
2-BM-cog-V-F6-1-L;BM;06/05/2010 11:30;;16.2;8.4;6.35
2-BM-cog-V-F6-2-A;BM;31/03/2010 11:00;D;;;
2-BM-cog-V-F6-2-A;BM;06/05/2010 11:40;;16.85;13.6;
2-BM-cog-V-F6-2-L;BM;30/03/2010 10:50;D;;;
2-BM-cog-V-F6-2-L;BM;06/05/2010 11:30;;14.35;9.65;10.2
2-BM-cog-V-F6-3-A;BM;31/03/2010 11:00;D;;;
2-BM-cog-V-F6-3-A;BM;07/05/2010 11:40;;18.1;12.95;11.8
4-BM-cog-V-B11-1-A;BM;22/09/2010 11:20;D;;;
4-BM-cog-V-B11-1-A;BM;08/11/2010 10:00;;13.65;12.45;9.4
4-BM-cog-V-B11-2-A;BM;22/09/2010 11:20;D;;;
4-BM-cog-V-B11-2-A;BM;08/11/2010 10:00;;11.05;10.65;9.35
4-BM-cog-V-F1-1-A;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F1-1-A;BM;08/11/2010 10:00;;14.7;;
4-BM-cog-V-F1-1-L;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F1-1-L;BM;08/11/2010 10:00;;12.9;15.7;
4-BM-cog-V-F1-2-A;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F1-2-A;BM;08/11/2010 10:00;;19.95;10.3;13.15
4-BM-cog-V-F3-1-A;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F3-1-A;BM;08/11/2010 10:00;;16;16.7;11
4-BM-cog-V-F6-1-A;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F6-1-A;BM;08/11/2010 10:00;;25.9;17.7;16
4-BM-cog-V-F6-1-L;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F6-1-L;BM;08/11/2010 10:00;;18.5;13.25;10.8
4-BM-cog-V-F6-2-A;BM;24/09/2010 14:15;D;;;
4-BM-cog-V-F6-2-A;BM;08/11/2010 10:00;;12.65;16.3;13.1
