"Burst_Month","Position_Ancestor_A","probability","number"
"8-9-10-11-12","0",0.973648208897324,50
"1-2","0",2.05293160483709,6
"8-9-10-11-12","1",1.26547231347311,69
"1-2","1",2.66824103781535,10
