"Burst_Month","Position_A","probability","number"
"10","0",0.454153092808414,51
"12-1-2-3-4","0",0.735182170955482,322
"5","0",0.054766609553518,2
"10","1",0.756784020520851,13
"12-1-2-3-4","1",0.912144773554545,327
"5","1",0.178093356178586,5
