"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8-9-10-11-12","0","0",0.562849195818282,105
"1-2","0","0",0.0191425249943958,202
"3","0","0",5.78926053177595e-10,285
"8-9-10-11-12","1","0",0.830145454709068,94
"1-2","1","0",0.0689719249578948,58
"3","1","0",2.19755294263547e-09,63
"8-9-10-11-12","0","1",0.711800533493642,138
"1-2","0","1",0.0360857780093319,438
"3","0","1",1.11052275677692e-09,707
"8-9-10-11-12","1","1",0.903616485974254,66
"1-2","1","1",0.124424910066122,83
"3","1","1",4.21544778473275e-09,64
