"Burst_Month","Position_A","probability","number"
"10","0",0.00685258205209785,24
"12","0",0.1033782596637,57
"1-2-3-4-5","0",0.04167524469385,179
"10","1",0.0928377412045078,9
"12","1",1.40055296585509,44
"1-2-3-4-5","1",0.564609887500393,256
