"Position_A","Nb_Inflorescences","probability","number"
"0","1",0.148728991311237,58
"1","1",0.33722623441613,96
"0","2",0.124572834649464,3
"1","2",0.282454870224135,27
"0","3",0.157512943762628,0
"1","3",0.357142857142859,14
"0","4",0.275647651584741,0
"1","4",0.625000000000326,8
"0","5",0.196016107793491,0
"1","5",0.444444444444445,9
"0","6",0.441036242535355,0
"1","6",1,8
