"Position_A","Nb_Inflorescences","probability","number"
"0","1",6.22923270037685,234
"1","1",6.28424570450793,47
"0","2",6.17977405593469,2
"1","2",6.23435026973511,7
"0","3",4.95622942933979,0
"1","3",5.00000000000002,3
"0","5",5.94747531520784,0
"1","5",6.00000000000012,2
