"Position_A","Nb_Inflorescences","probability","number"
"0","1",0.212698799287686,237
"1","1",0.283133011850404,48
"0","2",0.795192284409614,2
"1","2",1.05851649016869,7
"0","3",0.751232778889337,0
"1","3",1,3
"0","5",0.250410926296444,0
"1","5",0.333333333333332,3
