"Position_A","Nb_Inflorescences","probability","number"
"0","1",0.240029927714201,246
"1","1",0.450942501313648,215
"0","2",0.477040999526584,6
"1","2",0.703443850070818,40
"0","3",0.345598294747604,2
"1","3",0.578643626543718,23
"0","4",0.399195195781295,1
"1","4",0.633400400351569,12
"0","5",0.775837603430326,0
"1","5",0.899999998471913,10
"0","6",0.75469094015001,0
"1","6",0.888888888740975,9
