"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"04-08","0","0","0",2.79622148621407e-10
"04-09","0","0","0",0.928607555026664
"04-10","0","0","0",0.532976053637432
"04-11","0","0","0",0.953147560202566
"05-01","0","0","0",0.920124029266335
"05-02","0","0","0",0.197101749351388
"05-03","0","0","0",6.41108887883779e-10
"04-08","1","0","0",8.88126983897708e-11
"04-09","1","0","0",0.805116426880322
"04-10","1","0","0",0.266038874692292
"04-11","1","0","0",0.865978176815223
"05-01","1","0","0",0.785350529804309
"05-02","1","0","0",0.0723313149559252
"05-03","1","0","0",2.03626967997305e-10
"04-08","0","1","0",9.70019454614363e-11
"04-09","0","1","0",0.818584399566537
"04-10","0","1","0",0.283612525586625
"04-11","0","1","0",0.875888501340288
"05-01","0","1","0",0.799844892562176
"05-02","0","1","0",0.0784774378791649
"05-03","0","1","0",2.22403016708903e-10
"04-08","1","1","0",3.08094497052099e-11
"04-09","1","1","0",0.589010511019842
"04-10","1","1","0",0.111697123421912
"04-11","1","1","0",0.691501614044203
"05-01","1","1","0",0.559323171364506
"05-02","1","1","0",0.0263360967819586
"05-03","1","1","0",7.06389395137479e-11
"04-08","0","0","1",7.85459779003465e-10
"04-09","0","0","1",0.973359585956957
"04-10","0","0","1",0.762226640729978
"04-11","0","0","1",0.98280169740394
"05-01","0","0","1",0.970022246219674
"05-02","0","0","1",0.408135650147545
"05-03","0","0","1",1.80087753258363e-09
"04-08","1","0","1",2.49475239418388e-10
"04-09","1","0","1",0.920664836784535
"04-10","1","0","1",0.504503980448215
"04-11","1","0","1",0.94778149701657
"05-01","1","0","1",0.911327607971414
"05-02","1","0","1",0.179669617582186
"05-03","1","0","1",5.7198900048811e-10
"04-08","0","1","1",2.7247886852259e-10
"04-09","0","1","1",0.926872803623521
"04-10","0","1","1",0.526529513049927
"04-11","0","1","1",0.951978265190602
"05-01","0","1","1",0.918201296605384
"05-02","0","1","1",0.193038538265511
"05-03","0","1","1",6.24730999433381e-10
"04-08","1","1","1",8.65438724610105e-11
"04-09","1","1","1",0.801023956064887
"04-10","1","1","1",0.261016536733024
"04-11","1","1","1",0.862946212390422
"05-01","1","1","1",0.780955911198239
"05-02","1","1","1",0.0706140053646719
"05-03","1","1","1",1.98425075102351e-10
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"04-12","0","0","0",0
"05-04","0","0","0",0
"05-05","0","0","0",0
"05-06","0","0","0",0
"05-07","0","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"04-12","1","0","0",0
"05-04","1","0","0",0
"05-05","1","0","0",0
"05-06","1","0","0",0
"05-07","1","0","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"04-12","0","1","0",0
"05-04","0","1","0",0
"05-05","0","1","0",0
"05-06","0","1","0",0
"05-07","0","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"04-12","1","1","0",0
"05-04","1","1","0",0
"05-05","1","1","0",0
"05-06","1","1","0",0
"05-07","1","1","0",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"04-12","0","0","1",0
"05-04","0","0","1",0
"05-05","0","0","1",0
"05-06","0","0","1",0
"05-07","0","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"04-12","1","0","1",0
"05-04","1","0","1",0
"05-05","1","0","1",0
"05-06","1","0","1",0
"05-07","1","0","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"04-12","0","1","1",0
"05-04","0","1","1",0
"05-05","0","1","1",0
"05-06","0","1","1",0
"05-07","0","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
"04-12","1","1","1",0
"05-04","1","1","1",0
"05-05","1","1","1",0
"05-06","1","1","1",0
"05-07","1","1","1",0
