"position_mother_L","nature_mother_V","10","11","12","2"
"0","0",0.186495108447618,0.0734587903672307,0.48949945866471,0.250546642520441
"1","0",0.474108745694756,0.105966189384074,0.341575686317734,0.0783493786034367
"0","1",0.82977817763945,0.0521476274790561,0.102595666315558,0.015478528565936
"1","1",0.950421353084482,0.0166549245148655,0.0289417619377754,0.00398196046287713
