"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","10","11"
"1","0","0","0",0.0399215221790588,0.0351929202193522,0.828232808084277,0.00987907897532814,0.0867736705419839
"2","0","0","0",0.082275928924366,0.06673547406875,0.803709946664571,0.00506826147480799,0.0422103888675046
"9","0","0","0",0.00361732135130863,0.00342356574712099,0.442304541408379,0.0295127716710733,0.521141799822118
"10","0","0","0",0.202398009799904,0.128986158417208,0.65138558034708,0.00189891511769757,0.0153313363181096
"11","0","0","0",0.176538214076688,0.118604259213797,0.684527205890447,0.00223427724207625,0.018096043576992
"1","1","0","0",0.0440177665027931,0.038493632384772,0.829378801858417,0.00908227574104059,0.0790275235129776
"2","1","0","0",0.0903092570954031,0.0720983321336014,0.794699843727566,0.00461696404087786,0.0382756030025515
"9","1","0","0",0.00400402085627684,0.00378669070977845,0.466890381407154,0.0296527491312982,0.495666157895492
"10","1","0","0",0.219356528281567,0.13499222942193,0.630065061345503,0.00172028146807368,0.0138658994829266
"11","1","0","0",0.191851169445891,0.124934317558315,0.664818527104286,0.0020252485418395,0.016370737349669
"1","0","1","0",0.0955838749745772,0.0755172868819468,0.788503088579859,0.00435832552364535,0.0360374240399717
"2","0","1","0",0.185577880291958,0.122405983095232,0.672865400783875,0.00210689763158589,0.0170438381973496
"9","0","1","0",0.00914298253452874,0.00856033542284694,0.656991835336609,0.0254934974818264,0.299811349224189
"10","0","1","0",0.392084241714512,0.165381381597553,0.435683622660558,0.000762096279301461,0.00608865774807588
"11","0","1","0",0.35270599506083,0.162858104763634,0.476337168082714,0.000899918417514356,0.00719881367530772
"1","1","1","0",0.104768238264382,0.0812808216320176,0.777327286794005,0.00396520208542228,0.0326584512241731
"2","1","1","0",0.20148308521957,0.128644419964261,0.652545846879786,0.00190937214331099,0.0154172757930716
"9","1","1","0",0.0101143909014902,0.00945187985813531,0.677095523091312,0.0244835120208444,0.278854694128218
"10","1","1","0",0.416634120442649,0.165815173883433,0.41135987346834,0.000689091480229775,0.00550174072534848
"11","1","1","0",0.376316539823179,0.164648920196796,0.45171505938917,0.000813897124565033,0.00650558346628916
"1","0","0","1",0.0195987043715513,0.0179785009544023,0.780382246769335,0.0170123281694072,0.165028219735304
"2","0","0","1",0.0413197403311725,0.0363258372523263,0.828789561073198,0.00959279839439031,0.083972062948913
"9","0","0","1",0.00174231514760772,0.00165504178097535,0.278369379043267,0.0246305585905955,0.693602705437554
"10","0","0","1",0.108730677591986,0.0836941788368838,0.772389893483973,0.00381453899607387,0.0313707110910836
"11","0","0","1",0.0934365144153207,0.0741350760643639,0.791048643619329,0.00446040714256402,0.0369193587584226
"1","1","0","1",0.0216567147935871,0.0197865740270803,0.791208217484162,0.0158935359259953,0.151454957769175
"2","1","0","1",0.0455526451342348,0.0397161647088905,0.829462109334009,0.008814007758154,0.0764550730647116
"9","1","0","1",0.00192896046796198,0.00183167004234182,0.299089701431104,0.0256306791255964,0.671518988932996
"10","1","0","1",0.11901204793098,0.0897544167893196,0.759349998528215,0.00346713286045819,0.0284164038910268
"11","1","0","1",0.102437914539758,0.0798410287943887,0.780201680398189,0.00405881268074693,0.0334605635869171
"1","0","1","1",0.0483521440907327,0.0419261061677431,0.829208755719076,0.00836116342600568,0.0721518305964423
"2","0","1","1",0.0987311381370099,0.0775192531027458,0.784722083301874,0.00421606201947111,0.0348114634388992
"9","0","1","1",0.00441649477229569,0.00417341210647065,0.490684885211088,0.0296422261587614,0.471082981751385
"10","0","1","1",0.236681745125952,0.140502636176074,0.608670271216592,0.00156328605260325,0.0125820614287786
"11","0","1","1",0.207581630495956,0.130887770712299,0.644830786791812,0.00184134017537718,0.0148584718245547
"1","1","1","1",0.0532654398450755,0.0457431815742449,0.827710497772303,0.00766371511147124,0.0656171656969058
"2","1","1","1",0.108181739469358,0.0833624485939777,0.773077330288593,0.00383480291077953,0.0315436787372919
"9","1","1","1",0.00488820851853965,0.00461490804428005,0.515239811875024,0.0294806751603944,0.445776396401762
"10","1","1","1",0.255592312168185,0.14582504551612,0.585790842301516,0.00141542370576364,0.0113763763084153
"11","1","1","1",0.22485203342793,0.13680737139945,0.623235018308502,0.00166796021449889,0.013437616649619
"3","0","0","0",0.2,0.2,0.2,0.2,0.2
"4","0","0","0",0.2,0.2,0.2,0.2,0.2
"5","0","0","0",0.2,0.2,0.2,0.2,0.2
"6","0","0","0",0.2,0.2,0.2,0.2,0.2
"7","0","0","0",0.2,0.2,0.2,0.2,0.2
"8","0","0","0",0.2,0.2,0.2,0.2,0.2
"12","0","0","0",0.2,0.2,0.2,0.2,0.2
"3","1","0","0",0.2,0.2,0.2,0.2,0.2
"4","1","0","0",0.2,0.2,0.2,0.2,0.2
"5","1","0","0",0.2,0.2,0.2,0.2,0.2
"6","1","0","0",0.2,0.2,0.2,0.2,0.2
"7","1","0","0",0.2,0.2,0.2,0.2,0.2
"8","1","0","0",0.2,0.2,0.2,0.2,0.2
"12","1","0","0",0.2,0.2,0.2,0.2,0.2
"3","0","1","0",0.2,0.2,0.2,0.2,0.2
"4","0","1","0",0.2,0.2,0.2,0.2,0.2
"5","0","1","0",0.2,0.2,0.2,0.2,0.2
"6","0","1","0",0.2,0.2,0.2,0.2,0.2
"7","0","1","0",0.2,0.2,0.2,0.2,0.2
"8","0","1","0",0.2,0.2,0.2,0.2,0.2
"12","0","1","0",0.2,0.2,0.2,0.2,0.2
"3","1","1","0",0.2,0.2,0.2,0.2,0.2
"4","1","1","0",0.2,0.2,0.2,0.2,0.2
"5","1","1","0",0.2,0.2,0.2,0.2,0.2
"6","1","1","0",0.2,0.2,0.2,0.2,0.2
"7","1","1","0",0.2,0.2,0.2,0.2,0.2
"8","1","1","0",0.2,0.2,0.2,0.2,0.2
"12","1","1","0",0.2,0.2,0.2,0.2,0.2
"3","0","0","1",0.2,0.2,0.2,0.2,0.2
"4","0","0","1",0.2,0.2,0.2,0.2,0.2
"5","0","0","1",0.2,0.2,0.2,0.2,0.2
"6","0","0","1",0.2,0.2,0.2,0.2,0.2
"7","0","0","1",0.2,0.2,0.2,0.2,0.2
"8","0","0","1",0.2,0.2,0.2,0.2,0.2
"12","0","0","1",0.2,0.2,0.2,0.2,0.2
"3","1","0","1",0.2,0.2,0.2,0.2,0.2
"4","1","0","1",0.2,0.2,0.2,0.2,0.2
"5","1","0","1",0.2,0.2,0.2,0.2,0.2
"6","1","0","1",0.2,0.2,0.2,0.2,0.2
"7","1","0","1",0.2,0.2,0.2,0.2,0.2
"8","1","0","1",0.2,0.2,0.2,0.2,0.2
"12","1","0","1",0.2,0.2,0.2,0.2,0.2
"3","0","1","1",0.2,0.2,0.2,0.2,0.2
"4","0","1","1",0.2,0.2,0.2,0.2,0.2
"5","0","1","1",0.2,0.2,0.2,0.2,0.2
"6","0","1","1",0.2,0.2,0.2,0.2,0.2
"7","0","1","1",0.2,0.2,0.2,0.2,0.2
"8","0","1","1",0.2,0.2,0.2,0.2,0.2
"12","0","1","1",0.2,0.2,0.2,0.2,0.2
"3","1","1","1",0.2,0.2,0.2,0.2,0.2
"4","1","1","1",0.2,0.2,0.2,0.2,0.2
"5","1","1","1",0.2,0.2,0.2,0.2,0.2
"6","1","1","1",0.2,0.2,0.2,0.2,0.2
"7","1","1","1",0.2,0.2,0.2,0.2,0.2
"8","1","1","1",0.2,0.2,0.2,0.2,0.2
"12","1","1","1",0.2,0.2,0.2,0.2,0.2
