"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"0","04-08","0","0","0",0.63482134372981
"1","04-08","0","0","0",0.489255219951475
"0","04-09","0","0","0",0.446621240737421
"1","04-09","0","0","0",0.307832019230587
"0","04-10","0","0","0",0.10092887862576
"1","04-10","0","0","0",0.0582558733798469
"0","04-11","0","0","0",0.728269707637707
"1","04-11","0","0","0",0.596263154110954
"0","04-12","0","0","0",0.901213092489059
"1","04-12","0","0","0",0.834081443837873
"0","05-01","0","0","0",0.926027766418075
"1","05-01","0","0","0",0.873390119084473
"0","05-02","0","0","0",0.770596759594832
"1","05-02","0","0","0",0.649249344078
"0","05-03","0","0","0",0.79846296688209
"1","05-03","0","0","0",0.685846644142331
"0","04-08","1","0","0",0.54634833657621
"1","04-08","1","0","0",0.398908395744976
"0","04-09","1","0","0",0.358619353452793
"1","04-09","1","0","0",0.235537249077833
"0","04-10","1","0","0",0.0721598382019898
"1","04-10","1","0","0",0.041094490013297
"0","04-11","1","0","0",0.649952780402254
"1","04-11","1","0","0",0.505722002797552
"0","04-12","1","0","0",0.863391239225059
"1","04-12","1","0","0",0.776919528139942
"0","05-01","1","0","0",0.896616663173408
"1","05-01","1","0","0",0.826961206232781
"0","05-02","1","0","0",0.699444516557091
"1","05-02","1","0","0",0.561859320056058
"0","05-03","1","0","0",0.732958623541327
"1","05-03","1","0","0",0.60198503761707
"0","04-08","0","1","0",0.625392602857761
"1","04-08","0","1","0",0.479151703631843
"0","04-09","0","1","0",0.436645457458125
"1","04-09","0","1","0",0.299279691657916
"0","04-10","0","1","0",0.0973166376285524
"1","04-10","0","1","0",0.0560756412142843
"0","04-11","0","1","0",0.720190274663948
"1","04-11","0","1","0",0.586487347376435
"0","04-12","0","1","0",0.897552471115791
"1","04-12","0","1","0",0.828406857358284
"0","05-01","0","1","0",0.923208318896276
"1","05-01","0","1","0",0.868848536163619
"0","05-02","0","1","0",0.763366923358044
"1","05-02","0","1","0",0.63998186249235
"0","05-03","0","1","0",0.791874162590582
"1","05-03","0","1","0",0.677065163541992
"0","04-08","1","1","0",0.536303821539735
"1","04-08","1","1","0",0.389248700884364
"0","04-09","1","1","0",0.349368222567209
"1","04-09","1","1","0",0.228330879158016
"0","04-10","1","1","0",0.0694976493730025
"1","04-10","1","1","0",0.0395295653776079
"0","04-11","1","1","0",0.640693599026101
"1","04-11","1","1","0",0.495608408725747
"0","04-12","1","1","0",0.858549077931561
"1","04-12","1","1","0",0.769829439842512
"0","05-01","1","1","0",0.89280597678823
"1","05-01","1","1","0",0.82109533349065
"0","05-02","1","1","0",0.690871814992776
"1","05-02","1","1","0",0.551876549438703
"0","05-03","1","1","0",0.724965956072801
"1","05-03","1","1","0",0.592253033887929
"0","04-08","0","0","1",0.63258544557253
"1","04-08","0","0","1",0.486848501924438
"0","04-09","0","0","1",0.444241830250776
"1","04-09","0","0","1",0.305783439352146
"0","04-10","0","0","1",0.100058167628427
"1","04-10","0","0","1",0.0577296630380612
"0","04-11","0","0","1",0.726359339713682
"1","04-11","0","0","1",0.593942181625707
"0","04-12","0","0","1",0.900352219134669
"1","04-12","0","0","1",0.832744128039773
"0","05-01","0","0","1",0.925365230624478
"1","05-01","0","0","1",0.872321134527514
"0","05-02","0","0","1",0.768889533918609
"1","05-02","0","0","1",0.647052670319542
"0","05-03","0","0","1",0.79690846683965
"1","05-03","0","0","1",0.683767533433097
"0","04-08","1","0","1",0.543959882938646
"1","04-08","1","0","1",0.39660100097315
"0","04-09","1","0","1",0.356406822797796
"1","04-09","1","0","1",0.233807266341166
"0","04-10","1","0","1",0.0715175744967293
"1","04-10","1","0","1",0.0407165919466656
"0","04-11","1","0","1",0.647758121980933
"1","04-11","1","0","1",0.503314106289043
