"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","probas"
"04-09","0","0","0",1.21149735269151e-08
"04-10","0","0","0",1.2833287695669
"04-11","0","0","0",1.20762374286386
"05-01","0","0","0",3.08330842573984
"05-02","0","0","0",2.85735991328009
"04-09","1","0","0",9.56812832069449e-09
"04-10","1","0","0",1.01354363817431
"04-11","1","0","0",0.953753543841295
"05-01","1","0","0",2.43512630087186
"05-02","1","0","0",2.25667734625533
"04-09","0","1","0",1.09854328418747e-08
"04-10","0","1","0",1.16367749222087
"04-11","0","1","0",1.09503083073284
"05-01","0","1","0",2.79583587751975
"05-02","0","1","0",2.59095369566161
"04-09","1","1","0",8.67604298564184e-09
"04-10","1","1","0",0.919045802678562
"04-11","1","1","0",0.864830243358891
"05-01","1","1","0",2.20808707342856
"05-02","1","1","0",2.04627582371453
"04-09","0","0","1",1.34212513222349e-08
"04-10","0","0","1",1.42170165763437
"04-11","0","0","1",1.33783385656319
"05-01","0","0","1",3.41576126385113
"05-02","0","0","1",3.16545021159253
"04-09","1","0","1",1.05997965732355e-08
"04-10","1","0","1",1.1228273725707
"04-11","1","0","1",1.05659050619697
"05-01","1","0","1",2.69768992996779
"05-02","1","0","1",2.49999999999992
"04-09","0","1","1",1.21699197052951e-08
"04-10","0","1","1",1.28914917118281
"04-11","0","1","1",1.21310079235504
"05-01","0","1","1",3.09729244430866
"05-02","0","1","1",2.87031916631866
"04-09","1","1","1",9.6115235525787e-09
"04-10","1","1","1",1.01814045792099
"04-11","1","1","1",0.958079191952206
"05-01","1","1","1",2.44617055811338
"05-02","1","1","1",2.26691226717678
"04-05","0","0","0",0
"04-06","0","0","0",0
"04-07","0","0","0",0
"04-08","0","0","0",0
"04-12","0","0","0",0
"05-03","0","0","0",0
"05-04","0","0","0",0
"05-05","0","0","0",0
"05-06","0","0","0",0
"05-07","0","0","0",0
"04-05","1","0","0",0
"04-06","1","0","0",0
"04-07","1","0","0",0
"04-08","1","0","0",0
"04-12","1","0","0",0
"05-03","1","0","0",0
"05-04","1","0","0",0
"05-05","1","0","0",0
"05-06","1","0","0",0
"05-07","1","0","0",0
"04-05","0","1","0",0
"04-06","0","1","0",0
"04-07","0","1","0",0
"04-08","0","1","0",0
"04-12","0","1","0",0
"05-03","0","1","0",0
"05-04","0","1","0",0
"05-05","0","1","0",0
"05-06","0","1","0",0
"05-07","0","1","0",0
"04-05","1","1","0",0
"04-06","1","1","0",0
"04-07","1","1","0",0
"04-08","1","1","0",0
"04-12","1","1","0",0
"05-03","1","1","0",0
"05-04","1","1","0",0
"05-05","1","1","0",0
"05-06","1","1","0",0
"05-07","1","1","0",0
"04-05","0","0","1",0
"04-06","0","0","1",0
"04-07","0","0","1",0
"04-08","0","0","1",0
"04-12","0","0","1",0
"05-03","0","0","1",0
"05-04","0","0","1",0
"05-05","0","0","1",0
"05-06","0","0","1",0
"05-07","0","0","1",0
"04-05","1","0","1",0
"04-06","1","0","1",0
"04-07","1","0","1",0
"04-08","1","0","1",0
"04-12","1","0","1",0
"05-03","1","0","1",0
"05-04","1","0","1",0
"05-05","1","0","1",0
"05-06","1","0","1",0
"05-07","1","0","1",0
"04-05","0","1","1",0
"04-06","0","1","1",0
"04-07","0","1","1",0
"04-08","0","1","1",0
"04-12","0","1","1",0
"05-03","0","1","1",0
"05-04","0","1","1",0
"05-05","0","1","1",0
"05-06","0","1","1",0
"05-07","0","1","1",0
"04-05","1","1","1",0
"04-06","1","1","1",0
"04-07","1","1","1",0
"04-08","1","1","1",0
"04-12","1","1","1",0
"05-03","1","1","1",0
"05-04","1","1","1",0
"05-05","1","1","1",0
"05-06","1","1","1",0
"05-07","1","1","1",0
