"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","2","3","4","5","6","7","8","9","10","11","12"
"2","0","0","0",0.00957784586372609,0.0601071667991941,0.0479336541425934,0.214816477835062,0.317228431471841,0.14356865911315,0.125194890643702,0.0471902965450373,0.0207154558914401,0.0112174123496107,0.00244970934464372
"3","0","0","0",0.0042752748640892,0.0279115508285251,0.0236892863138114,0.125190814393648,0.270489729879185,0.178527042738849,0.203219630125792,0.092454054142676,0.0439783809465752,0.024763673962059,0.0055005618047903
"9","0","0","0",0.00638654116027876,0.0410386625344592,0.0339614932908029,0.167292575769239,0.303402104328579,0.166218275731654,0.163823255933213,0.0670297049248257,0.0304256834367725,0.0167406049156393,0.00368109797453731
"11","0","0","0",0.0369889482681069,0.192304494074592,0.116870600966135,0.318030051034542,0.216265920494753,0.0579537529985767,0.0397134911714495,0.0129876043011158,0.00540859163520502,0.00285864517444601,0.000617899881078188
"2","1","0","0",0.00777081913721271,0.0494217580931244,0.0402405492406185,0.189957361310128,0.312896439963029,0.156219376550138,0.144661299568313,0.0567171548400093,0.0252932121121225,0.0137988942532847,0.00302313493201978
"3","1","0","0",0.00346516996064166,0.022762008765327,0.0195103148924232,0.106129083616396,0.248177105983423,0.179688952345584,0.22218483383576,0.107979198439501,0.0529970581529032,0.0303230021368697,0.00678327187117045
"9","1","0","0",0.00517846133408787,0.0335785784668934,0.0281904196746568,0.144442297904273,0.288156222925359,0.174192542932889,0.184628040101041,0.0795883707781662,0.0369489060554782,0.0205547062625636,0.00454145356459135
"11","1","0","0",0.0301678659652915,0.163991754352948,0.105935766386101,0.315558421877634,0.240769276648749,0.0686148566283394,0.048091833292101,0.0159217971769506,0.00665912983219175,0.0035264326428972,0.000762865196796136
"2","0","1","0",0.00944119992546042,0.059309151723896,0.0473709851585159,0.213102119300966,0.317131055267669,0.144488140940223,0.126490964808455,0.0477988803082188,0.0210034276782068,0.0113786561071587,0.00248541878123021
"3","0","1","0",0.00421395817467178,0.0275239984503468,0.0233777355430212,0.123809970155676,0.269040729912253,0.178729570828291,0.204582377501892,0.0934757475613203,0.0445529891371713,0.0251124279753626,0.005580494759994
"9","0","1","0",0.00629513578122757,0.0404789589650552,0.0335345392030852,0.165669966549364,0.302512582258173,0.16686365458084,0.165251159937939,0.0678418725613261,0.0308381798380276,0.0169792601521631,0.00373469017279993
"11","0","1","0",0.0364756340338985,0.190264131491307,0.116148080258908,0.318062803471545,0.217973992139135,0.0586453322889228,0.0402447429076688,0.0131714756506005,0.00548663799692117,0.00290024596610927,0.000626923794984413
"2","1","1","0",0.00765975444206683,0.048755557675874,0.039749448529676,0.18826380246344,0.312372367465944,0.157023076665135,0.146043943972639,0.0574276457409152,0.0256407426871901,0.0139964828592085,0.00306717749791119
"3","1","1","0",0.00341543207476562,0.0224437685860179,0.0192492576382096,0.104898919478845,0.24655946138072,0.17962709810638,0.223408965309041,0.109097270922063,0.0536717099792356,0.0307464006226776,0.00688171590204467
"9","1","1","0",0.00510425739964543,0.0331159052888281,0.0278267468767907,0.142934499747869,0.286937765463786,0.174622362934528,0.186052102826191,0.0805116342726175,0.0374411617023909,0.0208460499450704,0.00460751354228317
"11","1","1","0",0.0297462873958135,0.162153518646708,0.105157299314658,0.31515814870438,0.242414700601685,0.0693957675798096,0.0487220903880565,0.0161455436974393,0.00675493767666058,0.003577701425864,0.000774004568925513
"2","0","0","1",0.01337575058539,0.0816545856862738,0.0624171704300255,0.253667222605823,0.31108382120402,0.12101723718011,0.0972037554688523,0.0348107068342033,0.0149824441181097,0.00803866435127287,0.00174864153591869
"3","0","0","1",0.0059832524980868,0.0385633911657172,0.032065926217797,0.160006983107405,0.29918146899504,0.169029690818942,0.170294408004886,0.0707648430117968,0.0323331716503482,0.017847036350381,0.00392982817959953
"9","0","0","1",0.00893040758470056,0.0563117219241383,0.0452405007883352,0.20646479605586,0.3164724947734,0.147985547520471,0.131570211160687,0.0502175974562046,0.0221538368085363,0.0120243309932699,0.00262855493439695
"11","0","0","1",0.0510954378936593,0.243229102261491,0.131694787402811,0.308928687037582,0.176756446684766,0.0435756100078286,0.0290193308505431,0.00934651465715153,0.00387173872480506,0.00204150937426428,0.000440835105098292
