"burst_date_mother","position_mother_L","nature_mother_V","8","9","10","11","1","2","3","6"
"1","0","0",0.0197743685723939,0.0275068140163414,0.0244793377674236,0.0396254766496117,0.0177572521589148,0.242886285553847,0.625479503742141,0.00249096153932704
"2","0","0",0.0376554019295154,0.0501518355681188,0.0425895216398434,0.0651817796386053,0.0278052059412463,0.31130547010266,0.464024991444467,0.0012857937355446
"3","0","0",0.00479841547418861,0.00692388376172577,0.0064196713898621,0.0109456178096535,0.00514256513126036,0.0898025757050122,0.865627142520276,0.0103401282080218
"4","0","0",0.00917109471975733,0.0130923008558299,0.0119923647128369,0.0201290744826517,0.00932155391787691,0.150019881692187,0.780860618139271,0.00541311147958878
"5","0","0",0.0101490524786347,0.0144537298692281,0.013203769027365,0.0220861618384877,0.0101956312862965,0.161333914263238,0.763688488647557,0.00488925258919337
"10","0","0",0.00104947994698599,0.00152836146826158,0.00143206428692252,0.00247562081433435,0.00117815537256256,0.022265526232633,0.924313990403091,0.0457568014752089
"12","0","0",0.00855625759813622,0.0122329991054939,0.0112243068868248,0.0188809683075342,0.00876105717208771,0.142540802856352,0.792000198165735,0.00580340990783568
"1","1","0",0.0284397276740637,0.0387345803878592,0.0336884093895722,0.0530311764222711,0.0231834907573427,0.285184529259926,0.536020081575048,0.00171800453391646
"2","1","0",0.053726958729295,0.0688309325015506,0.0561427960347888,0.0820864553296253,0.033682204290694,0.330632467285575,0.374011712238989,0.000886473589482573
"3","1","0",0.00694765185827386,0.00997240270961718,0.00919099429593973,0.0155496065067455,0.00725344435169838,0.121527141744824,0.822409764617223,0.0071489939156778
"4","1","0",0.0132527965443455,0.0187310895750929,0.0169662482572432,0.0280749852786203,0.0128333417626358,0.192999514623537,0.713405229440293,0.0037367945182325
"5","1","0",0.0146595660642604,0.0206482289702987,0.0186312088094582,0.0306817242818547,0.0139636919864105,0.2054799399681,0.692561027594342,0.00337461232527525
"10","1","0",0.00152211593483271,0.00221408864140281,0.00207182085132423,0.00357527884929174,0.00169869154768354,0.0317680127250279,0.925161198329498,0.0319887931209396
"12","1","0",0.0123677346840997,0.0175180575341759,0.0159059366318953,0.0264010119693959,0.0121017396277054,0.184579492881296,0.727119313318555,0.00400671335287683
"1","0","1",0.463900169875652,0.216483979816997,0.0879252924382629,0.0748708283821424,0.0209691310693235,0.0979891583846134,0.03780322668087,5.82133521390693e-05
"2","0","1",0.62664465496368,0.17838596317404,0.0604166092936405,0.047055533921644,0.0125238972705155,0.0550887522783214,0.0198545757289046,3.00133692541227e-05
"3","0","1",0.171374884287747,0.165841085978759,0.104926000903608,0.120236470410029,0.0408479174006006,0.255404175391552,0.141125947161779,0.000243518465924852
"4","0","1",0.284196451021161,0.209916007464302,0.10929921236938,0.108152883483653,0.0332416694782597,0.176202804852319,0.0788641048630134,0.000126866467911824
"5","0","1",0.305460440661651,0.214219370389556,0.107938323252306,0.104482392806334,0.0316606889106327,0.164377761203844,0.0717464928382719,0.000114529937405572
"10","0","1",0.0431210625918976,0.0566764433947736,0.0474663314358535,0.0714921838815735,0.0300810242545343,0.32076090621028,0.429285418784008,0.00111662944707935
"12","0","1",0.270171205585875,0.206454506444022,0.109915910460271,0.110443200790292,0.0342873838344272,0.184490703416474,0.0841010234776318,0.000136065991006795
"1","1","1",0.556662772488697,0.198773162106111,0.0725001305247877,0.0584517466339934,0.015861430444459,0.0713473823212454,0.0263632563650279,4.0119115678805e-05
"2","1","1",0.708916778168406,0.148049445168679,0.0462576264810957,0.0347905849040391,0.00908398859158199,0.0391126594005012,0.013768233040007,2.06842456897949e-05
"3","1","1",0.230829297950935,0.19388607626024,0.110179419868213,0.116028566130068,0.0371669686242079,0.210005312304737,0.101736522653496,0.000167836208103234
"4","1","1",0.365525719265948,0.220783530617939,0.101947238720719,0.0933878742953878,0.027333285071578,0.135214557224899,0.0557203598949559,8.74349085735471e-05
"5","1","1",0.389563136782505,0.221323303060223,0.0988886535402967,0.0888279197641354,0.0256876423321706,0.125054010649721,0.0505764014598131,7.8932411135213e-05
"10","1","1",0.0613766165517777,0.0771959580392763,0.0618036709604163,0.0885405876793467,0.0357197820155182,0.332934950204855,0.341658629549073,0.000769804999736889
"12","1","1",0.349446240855033,0.219784814424367,0.10380889621917,0.096419352704976,0.0284642527316213,0.142462561939591,0.0595201057431347,9.37753821071974e-05
"6","0","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"7","0","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"8","0","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"9","0","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"11","0","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"6","1","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"7","1","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"8","1","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"9","1","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"11","1","0",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"6","0","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"7","0","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"8","0","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"9","0","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"11","0","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"6","1","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"7","1","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"8","1","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"9","1","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"11","1","1",0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
