"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","11","12"
"1","0","0","0",0.00184376021771859,0.111318833935422,0.0437300541417463,0.288388138346371,0.163042928513382,0.278798787823229,0.112877497022132
"2","0","0","0",0.00135825574274324,0.0845282495835441,0.0346218978183377,0.250977151778023,0.162009066814949,0.319161594668365,0.147343783594038
"9","0","0","0",7.64725673716629e-05,0.00517889944464501,0.00239036624315886,0.0245200850152816,0.0282533248785396,0.185088077960633,0.754492773890371
"10","0","0","0",5.54164724762422e-05,0.0037583706651977,0.00173833198190323,0.0179649097802258,0.0210060023786721,0.146280793994707,0.809196174726818
"11","0","0","0",0.778081983557425,0.217806284054614,0.00128863662465006,0.00216721117172403,0.000316791958384632,0.000272062855383615,6.70297778188056e-05
"12","0","0","0",0.0505650610411763,0.735717353621321,0.0566173599872003,0.115682226635736,0.0195745363335703,0.0174497462789927,0.00439371610200345
"1","1","0","0",0.0017457637444831,0.10604111405506,0.0420035619217507,0.282019578421057,0.163402989149001,0.286313604659967,0.118473388048681
"2","1","0","0",0.0012860307480279,0.0804011404873304,0.0331417411655797,0.243974340668117,0.161052879078543,0.325792821804865,0.154351046047537
"9","1","0","0",7.24012114496269e-05,0.0049045501467421,0.0022646506164148,0.0232638512632009,0.0268813895090001,0.178127321708172,0.76448583554502
"10","1","0","0",5.24660722314933e-05,0.00355899584742583,0.00164659848951295,0.0170347579840741,0.0199598225345073,0.140246171397422,0.817501187674826
"11","1","0","0",0.768491116659612,0.227166921174136,0.0013605757294558,0.00228864204988666,0.000334588842178851,0.000287356442810416,7.07991019206489e-05
"12","1","0","0",0.0480020445779377,0.728942310841681,0.0585736734594017,0.120836386671983,0.020602006356757,0.0184039165508653,0.00463966154137463
"1","0","1","0",0.00156173161164714,0.0959546317021025,0.0386118858258007,0.268539961996753,0.163400802475962,0.30129935753512,0.130631628852615
"2","0","1","0",0.00115040616350526,0.0725477478453563,0.0302674298689921,0.229590846811873,0.158415524534195,0.338544730334177,0.169483314441901
"9","0","1","0",6.47574930422663e-05,0.00438906127318901,0.00202816149522193,0.0208908303082459,0.0242679453433437,0.164379043340699,0.783980200746258
"10","0","1","0",4.69268965019697e-05,0.00318446434723069,0.00147412863804308,0.0152806354542675,0.017974744112162,0.12847644388274,0.833562656669055
"11","0","1","0",0.748048177973782,0.247099801586007,0.00151987016257615,0.0025576944929433,0.000374038843675373,0.00032126104951824,7.9155891497984e-05
