"burst_date_mother","position_mother_L","position_ancestor_L","probas"
"2","0","0",0.0112644609465203
"3","0","0",1.96307189723842e-07
"5","0","0",6.38922039879471e-08
"9","0","0",0.981708762483298
"10","0","0",0.476818470134159
"12","0","0",0.972390670882772
"2","1","0",0.00192741170908096
"3","1","0",3.32750236398415e-08
"5","1","0",1.0830038203356e-08
"9","1","0",0.900965505406664
"10","1","0",0.133811963558365
"12","1","0",0.856525909917939
"2","0","1",0.00440895708262804
"3","0","1",7.63063850394282e-08
"5","0","1",2.4835477145524e-08
"9","0","1",0.954259360835997
"10","0","1",0.261590764932914
"12","0","1",0.931927372134707
"2","1","1",0.000750086080396186
"3","1","1",1.29343021851778e-08
"5","1","1",4.209733594586e-09
"9","1","1",0.779554915851355
"10","1","1",0.0566475788499827
"12","1","1",0.698845418322893
"1","0","0",0
"4","0","0",0
"6","0","0",0
"7","0","0",0
"8","0","0",0
"11","0","0",0
"1","1","0",0
"4","1","0",0
"6","1","0",0
"7","1","0",0
"8","1","0",0
"11","1","0",0
"1","0","1",0
"4","0","1",0
"6","0","1",0
"7","0","1",0
"8","0","1",0
"11","0","1",0
"1","1","1",0
"4","1","1",0
"6","1","1",0
"7","1","1",0
"8","1","1",0
"11","1","1",0
