"burst_date_mother","position_mother_L","probas"
"1","0",0.999999999759552
"2","0",0.0485925299519014
"3","0",3.7691260809091e-09
"8","0",0.725254644214636
"9","0",0.33333333333333
"10","0",0.999999999759552
"11","0",0.970385590287543
"12","0",0.950415695477444
"1","1",0.999999998829777
"2","1",0.0103853474844647
"3","1",7.74448651314825e-10
"8","1",0.351655781640538
"9","1",0.0931645041270014
"10","1",0.999999998829774
"11","1",0.87068008994481
"12","1",0.797505827135142
"4","0",0
"5","0",0
"6","0",0
"7","0",0
"4","1",0
"5","1",0
"6","1",0
"7","1",0
