"Nature_Ancestor_F","Nb_Inflorescences","probability","number"
"0","1",0.332317065076179,336
"1","1",0.367300560461198,118
"2","1",0.14285714285715,7
"0","2",0.666677839603717,36
"1","2",0.699959777426256,10
"2","2",0.401110987785206,0
"0","3",0.556994116851958,23
"1","3",0.594567656202527,2
"2","3",0.296282426701743,0
"0","4",0.61262822978299,12
"1","4",0.648461242604139,1
"2","4",0.346227764790804,0
"0","5",0.897332556332573,8
"1","5",0.910669766652198,2
"2","5",0.74533709983347,0
"0","6",0.888888888740979,9
"1","6",0.903204668131925,0
"2","6",0.728179558046669,0
