"Nature_Ancestor_F","Nb_Inflorescences","probability","number"
"0","1",6.09593371979692,70
"1","1",6.43876698106518,126
"2","1",6.05882352941767,85
"0","2",6.18358193694455,8
"1","2",6.5313445044537,1
"2","2",6.14593817087791,0
"0","3",4.90799205933421,2
"1","3",5.18401588133147,1
"2","3",4.87811369646582,0
"0","5",5.99999999999998,2
"1","5",6.33743798114622,0
"2","5",5.96347382492816,0
