"Burst_Month","1","2","3","4","5"
"9-10",0.125412839665886,0.750888006786058,0.0750247384608153,0.0409852500484816,0.00768916503875861
"11",0.0697242609313112,0.717632438907206,0.123481378003218,0.0745533785446661,0.0146085436135988
"12",0.0792739317713205,0.730377175141379,0.111826205355069,0.0657817462360828,0.012740941496149
