"Burst_Month","Nature_F","probability","number"
"10","0",11.2417292596112,8
"12","0",8.39676100592486,9
"1","0",7.14001784671068,19
"2","0",6.37467732313738,51
"3","0",6.42243880156511,0
"4","0",5.67490820764114,8
"5","0",5.26543372973094,5
"10","1",18.5165414807863,4
"12","1",13.8305210773092,21
"1","1",11.7605070873896,42
"2","1",10.499895021007,100
"3","1",10.5785641808905,9
"4","1",9.34728730783148,25
"5","1",8.67283136066791,1
"10","2",19.7772658894519,0
"12","2",14.7721912874195,22
"1","2",12.5612375239423,31
"2","2",11.214794936585,88
"3","2",11.2988203953311,6
"4","2",9.9837103286219,5
"5","2",9.2633331128434,0
