"Burst_Month","Position_A","probability","number"
"9","0",0.214285714285717,14
"10","0",0.111111111111294,90
"11","0",0.210526315789473,38
"12","0",0.235849056603817,106
"9","1",0.909090909090908,11
"10","1",0.873015873015867,63
"11","1",1.2121212121212,33
"12","1",1.32291666666665,96
