codeUC;positionUC;PUCM;date;stadeUC;longueur;DFUC;T_ip
1-BP-cog-V-A10-1-A;A;L;01/02/2010 09:00;B2;;D;83.78
1-BP-cog-V-A10-1-A;A;L;03/03/2010 10:00;H;18.6;;
1-BP-cog-V-A8-1-L;L;A;01/02/2010 09:00;B2;;D;62.74
1-BP-cog-V-A8-1-L;L;A;03/03/2010 10:00;H;11.6;;
1-BP-cog-V-B7-1-A;A;A;01/02/2010 09:00;B2;;D;71.49
1-BP-cog-V-B7-1-A;A;A;03/03/2010 10:00;H;12.1;;
1-BP-cog-V-B7-1-L;L;A;01/02/2010 09:00;B2;;D;63.17
1-BP-cog-V-B7-1-L;L;A;03/03/2010 10:00;H;8.2;;
1-BP-cog-V-B8-1-A;A;L;01/02/2010 09:00;B2;;D;74.21
1-BP-cog-V-B8-1-A;A;L;03/03/2010 10:00;H;12;;
1-BP-cog-V-B8-1-L;L;L;01/02/2010 09:00;B2;;D;68.05
1-BP-cog-V-B8-1-L;L;L;03/03/2010 10:00;H;8;;
1-BP-cog-V-C1-1-L;L;A;01/02/2010 09:00;B2;;D;78.16
1-BP-cog-V-C1-1-L;L;A;03/03/2010 10:00;H;12;;
1-BP-cog-V-C1-2-A;A;A;01/02/2010 09:00;B1/B2;;D;72.22
1-BP-cog-V-C1-2-A;A;A;03/03/2010 10:00;H;9.4;;
1-BP-cog-V-C9-1-A;A;L;01/02/2010 09:00;B2;;D;78.39
1-BP-cog-V-C9-1-A;A;L;03/03/2010 10:00;H;20.2;;
1-BP-cog-V-D16-1-L;L;A;01/02/2010 09:00;B2;;D;71.10
1-BP-cog-V-D16-1-L;L;A;03/03/2010 10:00;H;10.6;;
2-BP-cog-V-B7-1-A;A;L;31/03/2010 10:00;B2/C;;D;67.17
2-BP-cog-V-B7-1-A;A;L;04/05/2010 09:10;H;13.3;;
2-BP-cog-V-B7-2-L;L;L;29/03/2010 15:15;B2;;D;62.13
2-BP-cog-V-B7-2-L;L;L;04/05/2010 09:15;H;5;;
2-BP-cog-V-D16-1-A;A;A;30/03/2010 09:30;B2;;D;75.30
2-BP-cog-V-D16-1-A;A;A;04/05/2010 09:15;H;10;;
2-BP-cog-V-D16-1-L;L;A;29/03/2010 15:20;B2;;D;77.42
2-BP-cog-V-D16-1-L;L;A;04/05/2010 09:15;H;9.5;;
2-BP-cog-V-D2-1-L;L;L;29/03/2010 15:00;B2;;D;87.86
2-BP-cog-V-D2-1-L;L;L;04/05/2010 09:00;H;14;;
2-BP-cog-V-D5-1-A;A;A;29/03/2010 15:00;B2;;D;75.39
2-BP-cog-V-D5-1-A;A;A;04/05/2010 09:00;H;9.2;;
2-BP-cog-V-D5-2-L;L;A;30/03/2010 09:30;B2;;D;92.42
2-BP-cog-V-D5-2-L;L;A;04/05/2010 09:00;H;17.2;;
2-BP-cog-V-H12-1-A;A;A;29/03/2010 15:30;B2;;D;75.15
2-BP-cog-V-H12-1-A;A;A;04/05/2010 09:20;H;22;;
2-BP-cog-V-H12-2-L;L;A;29/03/2010 15:30;B1/B2;;D;92.11
2-BP-cog-V-H12-2-L;L;A;04/05/2010 09:20;H;15.5;;
2-BP-cog-V-I12-1-A;A;L;29/03/2010 15:30;B2;;D;56.34
2-BP-cog-V-I12-1-A;A;L;04/05/2010 09:20;H;5.6;;
2-BP-cog-V-I2-1-A;A;A;30/03/2010 09:40;B2;;D;71.18
2-BP-cog-V-I2-1-A;A;A;04/05/2010 09:20;H;18.3;;
4-BP-cog-V-A2-1-A;A;L;31/08/2010 14:00;B2;;D;86.22
4-BP-cog-V-A2-1-A;A;L;05/10/2010 15:00;H;16.9;;
4-BP-cog-V-A2-1-L;L;L;01/09/2010 14:00;B2;;D;69.65
4-BP-cog-V-A2-1-L;L;L;05/10/2010 15:00;H;11.95;;
4-BP-cog-V-A8-1-A;A;L;02/09/2010 13:00;B1/B2;;D;81.95
4-BP-cog-V-A8-1-A;A;L;05/10/2010 15:00;H;16.5;;
4-BP-cog-V-B1-1-A;A;L;24/09/2010 10:40;B2;;D;85.89
4-BP-cog-V-B1-1-A;A;L;19/10/2010 14:00;H;20;;
4-BP-cog-V-B1-1-L;L;L;24/09/2010 10:40;B2;;D;79.46
4-BP-cog-V-B1-1-L;L;L;19/10/2010 14:00;H;13.3;;
4-BP-cog-V-C11-1-A;A;L;25/09/2010 14:50;B1/B2;;D;84.86
4-BP-cog-V-C11-1-A;A;L;19/10/2010 14:00;H;19.8;;
4-BP-cog-V-C11-1-L;L;L;25/09/2010 14:50;B2/C;;D;78.10
4-BP-cog-V-C11-1-L;L;L;19/10/2010 14:00;H;18.7;;
4-BP-cog-V-D10-1-L;L;A;01/09/2010 14:00;B2;;D;74.72
4-BP-cog-V-D10-1-L;L;A;05/10/2010 15:00;H;12.4;;
4-BP-cog-V-D12-1-A;A;L;24/09/2010 10:40;B1/B2;;D;84.36
4-BP-cog-V-D12-1-A;A;L;20/10/2010 14:00;H;16.7;;
4-BP-cog-V-D12-1-L;L;L;24/09/2010 10:40;B2;;D;79.34
4-BP-cog-V-D12-1-L;L;L;20/10/2010 14:00;H;11.5;;
4-BP-cog-V-E15-1-A;A;L;24/09/2010 10:40;B1/B2;;D;76.97
4-BP-cog-V-E15-1-A;A;L;22/10/2010 14:00;H;12.5;;
4-BP-cog-V-E15-2-L;L;L;24/09/2010 10:40;B2;;D;75.66
4-BP-cog-V-E15-2-L;L;L;22/10/2010 14:00;H;12.2;;
4-BP-cog-V-G15-1-A;A;A;24/09/2010 10:40;B2;;D;70.44
4-BP-cog-V-G15-1-A;A;A;20/10/2010 14:00;H;19.3;;
4-BP-cog-V-G15-2-L;L;A;24/09/2010 10:40;B2;;D;88.28
4-BP-cog-V-G15-2-L;L;A;19/10/2010 14:00;H;18.7;;
4-BP-cog-V-G9-1-A;A;L;24/09/2010 10:40;B2;;D;78.44
4-BP-cog-V-G9-1-A;A;L;22/10/2010 14:00;H;15;;
4-BP-cog-V-G9-2-A;A;L;25/09/2010 14:50;B2;;D;82.82
