codeUC;positionUC;PUCM;date;stadeInflo;longueur;DFInflo;T_ip
3-BM-cog-F-B10-1-L;L;A;18/07/2010 11:45;B2/C;;D;165.81
3-BM-cog-F-B10-1-L;L;A;07/10/2010 11:00;G;29.7;;
3-BM-cog-F-B11-1-A;A;A;29/07/2010 11:45;B2/C;;D;139.45
3-BM-cog-F-B11-1-A;A;A;07/10/2010 11:00;G;18.6;;
3-BM-cog-F-B14-1-L;L;A;13/07/2010 09:55;B2;;D;93.39
3-BM-cog-F-B14-1-L;L;A;25/08/2010 14:30;G;16.5;;
3-BM-cog-F-B14-2-A;A;A;20/07/2010 10:35;B2;;D;161.73
3-BM-cog-F-B14-2-A;A;A;22/09/2010 10:30;G;44.45;;
3-BM-cog-F-B8-1-A;A;A;23/07/2010 10:40;B2/C;;D;166.17
3-BM-cog-F-B8-1-A;A;A;30/09/2010 09:50;G;31.9;;
3-BM-cog-F-B9-1-A;A;A;18/07/2010 11:45;B2/C;;D;112.15
3-BM-cog-F-B9-1-A;A;A;25/09/2010 11:35;G;24.1;;
3-BM-cog-F-B9-2-L;L;A;30/07/2010 10:30;B2;;D;113.46
3-BM-cog-F-B9-2-L;L;A;07/10/2010 11:00;G;23.4;;
3-BM-cog-F-F3-1-A;A;A;28/07/2010 10:10;B2/C;;D;161.05
3-BM-cog-F-F3-1-A;A;A;07/10/2010 11:00;G;30;;
3-BM-cog-F-F4-1-A;A;A;22/07/2010 16:00;B2;;D;135.60
3-BM-cog-F-F4-1-A;A;A;25/09/2010 11:20;G;27;;
3-BM-cog-F-F7-1-A;A;A;28/07/2010 10:10;B2;;D;131.24
3-BM-cog-F-F7-1-A;A;A;01/10/2010 11:20;G;30.5;;
