codeUC;verger;positionUC;PUCM;date;stadeUC;longueurUC
1-BM-cog-V-B13-1-A;BM;A;A;02/02/2010 14:00;B;
1-BM-cog-V-B13-1-A;BM;A;A;03/03/2010 14:00;H;21
1-BM-cog-V-B13-1-L;BM;L;A;02/02/2010 14:00;B;
1-BM-cog-V-B13-1-L;BM;L;A;03/03/2010 14:00;H;15,85
1-BM-cog-V-F3-1-L;BM;L;A;03/02/2010 10:00;B;
1-BM-cog-V-F3-1-L;BM;L;A;04/03/2010 10:00;H;11
1-BM-cog-V-F3-2-A;BM;A;L;03/02/2010 10:00;B;
1-BM-cog-V-F3-2-A;BM;A;L;04/03/2010 10:00;H;13,6
1-BM-cog-V-F4-1-A;BM;A;L;03/02/2010 10:00;B;
1-BM-cog-V-F4-1-A;BM;A;L;04/03/2010 10:00;H;18,9
1-BM-cog-V-F4-2-L;BM;L;A;03/02/2010 10:00;B;
1-BM-cog-V-F4-2-L;BM;L;A;04/03/2010 10:00;H;11,9
1-BM-cog-V-F5-1-A;BM;A;L;03/02/2010 10:00;B;
1-BM-cog-V-F5-1-A;BM;A;L;04/03/2010 10:00;H;20,8
1-BM-cog-V-F5-2-L;BM;L;L;03/02/2010 10:00;B;
1-BM-cog-V-F5-2-L;BM;L;L;04/03/2010 10:00;H;9,5
1-BM-cog-V-F7-1-A;BM;A;A;03/02/2010 10:00;B;
1-BM-cog-V-F7-1-A;BM;A;A;04/03/2010 10:00;H;19
1-BM-cog-V-F7-1-L;BM;L;A;03/02/2010 10:00;B;
1-BM-cog-V-F7-1-L;BM;L;A;04/03/2010 10:00;H;14,9
1-BP-cog-V-A10-1-A;BP;A;L;01/02/2010 09:00;B;
1-BP-cog-V-A10-1-A;BP;A;L;03/03/2010 10:00;H;18,6
1-BP-cog-V-A8-1-L;BP;L;A;01/02/2010 09:00;B;
1-BP-cog-V-A8-1-L;BP;L;A;03/03/2010 10:00;H;11,6
1-BP-cog-V-B7-1-A;BP;A;A;01/02/2010 09:00;B;
1-BP-cog-V-B7-1-A;BP;A;A;03/03/2010 10:00;H;12,1
1-BP-cog-V-B7-1-L;BP;L;A;01/02/2010 09:00;B;
1-BP-cog-V-B7-1-L;BP;L;A;03/03/2010 10:00;H;8,2
1-BP-cog-V-B8-1-A;BP;A;L;01/02/2010 09:00;B;
1-BP-cog-V-B8-1-A;BP;A;L;03/03/2010 10:00;H;12
1-BP-cog-V-B8-1-L;BP;L;L;01/02/2010 09:00;B;
1-BP-cog-V-B8-1-L;BP;L;L;03/03/2010 10:00;H;8
1-BP-cog-V-C1-1-L;BP;L;A;01/02/2010 09:00;B;
1-BP-cog-V-C1-1-L;BP;L;A;03/03/2010 10:00;H;12
1-BP-cog-V-C1-2-A;BP;A;A;01/02/2010 09:00;B;
1-BP-cog-V-C1-2-A;BP;A;A;03/03/2010 10:00;H;9,4
1-BP-cog-V-C9-1-A;BP;A;L;01/02/2010 09:00;B;
1-BP-cog-V-C9-1-A;BP;A;L;03/03/2010 10:00;H;20,2
1-BP-cog-V-D16-1-L;BP;L;A;01/02/2010 09:00;B;
1-BP-cog-V-D16-1-L;BP;L;A;03/03/2010 10:00;H;10,6
1-GF-cog-V-B12-1-A;GF;A;A;09/02/2010 17:30;B;
1-GF-cog-V-B12-1-A;GF;A;A;08/03/2010 09:00;H;17,2
1-GF-cog-V-B12-2-A;GF;A;L;10/02/2010 18:00;B;
1-GF-cog-V-B12-2-A;GF;A;L;08/03/2010 09:00;H;9
1-GF-cog-V-B5-1-L;GF;L;L;08/02/2010 19:00;B;
1-GF-cog-V-B5-1-L;GF;L;L;08/03/2010 09:00;H;10
1-GF-cog-V-B5-2-L;GF;L;L;08/02/2010 19:00;B;
1-GF-cog-V-B5-2-L;GF;L;L;08/03/2010 09:00;H;8,4
1-GF-cog-V-B7-1-A;GF;A;A;07/02/2010 17:30;B;
1-GF-cog-V-B7-1-A;GF;A;A;08/03/2010 09:00;H;8,4
1-GF-cog-V-B7-2-L;GF;L;A;08/02/2010 19:00;B;
1-GF-cog-V-B7-2-L;GF;L;A;08/03/2010 09:00;H;6,55
1-GF-cog-V-C38-1-A;GF;A;A;09/02/2010 17:30;B;
1-GF-cog-V-C38-1-A;GF;A;A;08/03/2010 09:00;H;15,35
1-GF-cog-V-C38-1-L;GF;L;A;09/02/2010 17:30;B;
1-GF-cog-V-C38-1-L;GF;L;A;08/03/2010 09:00;H;8,25
1-GF-cog-V-D38-1-A;GF;A;L;09/02/2010 17:00;B;
1-GF-cog-V-D38-1-A;GF;A;L;08/03/2010 09:00;H;14,7
1-GF-cog-V-D38-2-L;GF;L;A;09/02/2010 17:00;B;
1-GF-cog-V-D38-2-L;GF;L;A;08/03/2010 09:00;H;8,8
1-GF-cog-V-E4-1-A;GF;A;A;09/02/2010 17:30;B;
1-GF-cog-V-E4-1-A;GF;A;A;08/03/2010 09:00;H;7,5
1-GF-cog-V-E4-2-L;GF;L;L;09/02/2010 17:30;B;
1-GF-cog-V-E4-2-L;GF;L;L;08/03/2010 09:00;H;11,1
2-BM-cog-V-B8-1-A;BM;A;L;30/03/2010 11:15;B;
2-BM-cog-V-B8-1-A;BM;A;L;06/05/2010 11:00;H;5,5
2-BM-cog-V-B8-2-L;BM;L;L;30/03/2010 11:15;B;
2-BM-cog-V-B8-2-L;BM;L;L;06/05/2010 11:00;H;7
2-BM-cog-V-B8-3-A;BM;A;L;25/03/2010 14:00;B;
2-BM-cog-V-B8-3-A;BM;A;L;06/05/2010 11:00;H;14,15
2-BM-cog-V-F2-1-A;BM;A;L;29/03/2010 11:40;B;
2-BM-cog-V-F2-1-A;BM;A;L;06/05/2010 11:20;H;11
2-BM-cog-V-F6-1-A;BM;A;A;29/03/2010 11:40;B;
2-BM-cog-V-F6-1-A;BM;A;A;06/05/2010 11:20;H;22,35
2-BM-cog-V-F6-1-L;BM;L;A;29/03/2010 11:40;B;
2-BM-cog-V-F6-1-L;BM;L;A;06/05/2010 11:30;H;17,8
2-BM-cog-V-F6-2-A;BM;A;A;30/03/2010 11:00;B;
2-BM-cog-V-F6-2-A;BM;A;A;06/05/2010 11:40;H;16,6
2-BM-cog-V-F6-2-L;BM;L;A;30/03/2010 10:50;B;
2-BM-cog-V-F6-2-L;BM;L;A;06/05/2010 11:30;H;10,2
2-BM-cog-V-F6-3-A;BM;A;L;30/03/2010 11:00;B;
2-BM-cog-V-F6-3-A;BM;A;L;07/05/2010 11:40;H;15,5
2-BP-cog-V-B7-1-A;BP;A;L;30/03/2010 09:30;B;
2-BP-cog-V-B7-1-A;BP;A;L;04/05/2010 09:10;H;13,3
2-BP-cog-V-B7-2-L;BP;L;L;29/03/2010 15:15;B;
2-BP-cog-V-B7-2-L;BP;L;L;04/05/2010 09:15;H;5
2-BP-cog-V-D16-1-A;BP;A;A;29/03/2010 15:20;B;
2-BP-cog-V-D16-1-A;BP;A;A;04/05/2010 09:15;H;10
2-BP-cog-V-D16-1-L;BP;L;A;29/03/2010 15:20;B;
2-BP-cog-V-D16-1-L;BP;L;A;04/05/2010 09:15;H;9,5
2-BP-cog-V-D2-1-L;BP;L;L;29/03/2010 15:00;B;
2-BP-cog-V-D2-1-L;BP;L;L;04/05/2010 09:00;H;14
2-BP-cog-V-D5-1-A;BP;A;A;29/03/2010 15:00;B;
2-BP-cog-V-D5-1-A;BP;A;A;04/05/2010 09:00;H;9,2
2-BP-cog-V-D5-2-L;BP;L;A;30/03/2010 09:30;B;
2-BP-cog-V-D5-2-L;BP;L;A;04/05/2010 09:00;H;17,2
2-BP-cog-V-H12-1-A;BP;A;A;29/03/2010 15:30;B;
2-BP-cog-V-H12-1-A;BP;A;A;04/05/2010 09:20;H;22
2-BP-cog-V-H12-2-L;BP;L;A;29/03/2010 15:30;B;
2-BP-cog-V-H12-2-L;BP;L;A;04/05/2010 09:20;H;15,5
2-BP-cog-V-I12-1-A;BP;A;L;29/03/2010 15:30;B;
2-BP-cog-V-I12-1-A;BP;A;L;04/05/2010 09:20;H;5,6
2-BP-cog-V-I2-1-A;BP;A;A;30/03/2010 09:40;B;
2-BP-cog-V-I2-1-A;BP;A;A;04/05/2010 09:20;H;18,3
2-GF-cog-V-A28-1-L;GF;L;A;25/03/2010 16:30;B;
2-GF-cog-V-A28-1-L;GF;L;A;20/04/2010 14:00;H;12
2-GF-cog-V-A28-2-L;GF;L;A;26/03/2010 17:30;B;
2-GF-cog-V-A28-2-L;GF;L;A;22/04/2010 16:30;H;6,2
2-GF-cog-V-A36-1-A;GF;A;A;25/03/2010 16:50;B;
2-GF-cog-V-A36-1-A;GF;A;A;20/04/2010 14:00;H;8,2
2-GF-cog-V-A39-1-A;GF;A;A;25/03/2010 16:50;B;
2-GF-cog-V-A39-1-A;GF;A;A;22/04/2010 16:30;H;11
2-GF-cog-V-A39-2-A;GF;A;A;26/03/2010 17:50;B;
2-GF-cog-V-A39-2-A;GF;A;A;22/04/2010 16:30;H;5,6
2-GF-cog-V-B38-1-A;GF;A;A;25/03/2010 16:50;B;
2-GF-cog-V-B38-1-A;GF;A;A;20/04/2010 14:00;H;14,1
2-GF-cog-V-D11-1-A;GF;A;L;25/03/2010 16:00;B;
2-GF-cog-V-D11-1-A;GF;A;L;22/04/2010 16:30;H;13,35
2-GF-cog-V-D11-1-L;GF;L;L;25/03/2010 16:00;B;
2-GF-cog-V-D11-1-L;GF;L;L;22/04/2010 16:30;H;9,2
2-GF-cog-V-E21-1-L;GF;L;A;25/03/2010 16:20;B;
2-GF-cog-V-E21-1-L;GF;L;A;20/04/2010 14:00;H;10,4
2-GF-cog-V-E21-2-L;GF;L;A;26/03/2010 17:15;B;
2-GF-cog-V-E21-2-L;GF;L;A;20/04/2010 14:00;H;12,3
4-BM-cog-V-B11-1-A;BM;A;L;22/09/2010 11:20;B;
4-BM-cog-V-B11-1-A;BM;A;L;08/11/2010 10:00;H;13,5
4-BM-cog-V-B11-2-A;BM;A;L;22/09/2010 11:20;B;
4-BM-cog-V-B11-2-A;BM;A;L;08/11/2010 10:00;H;11,05
4-BM-cog-V-F1-1-A;BM;A;L;24/09/2010 14:15;B;
4-BM-cog-V-F1-1-A;BM;A;L;08/11/2010 10:00;H;18,25
4-BM-cog-V-F3-1-A;BM;A;L;24/09/2010 14:15;B;
4-BM-cog-V-F3-1-A;BM;A;L;08/11/2010 10:00;H;19,8
4-BM-cog-V-F6-1-A;BM;A;A;24/09/2010 14:15;B;
4-BM-cog-V-F6-1-A;BM;A;A;08/11/2010 10:00;H;21,9
4-BM-cog-V-F6-1-L;BM;L;A;24/09/2010 14:15;B;
4-BM-cog-V-F6-1-L;BM;L;A;08/11/2010 10:00;H;17,9
4-BM-cog-V-F6-2-A;BM;A;L;24/09/2010 14:15;B;
4-BM-cog-V-F6-2-A;BM;A;L;08/11/2010 10:00;H;14,9
4-BP-cog-V-A2-1-A;BP;A;L;31/08/2010 14:00;B;
4-BP-cog-V-A2-1-A;BP;A;L;05/10/2010 15:00;H;16,9
4-BP-cog-V-A2-1-L;BP;L;L;01/09/2010 14:00;B;
4-BP-cog-V-A2-1-L;BP;L;L;05/10/2010 15:00;H;11,95
4-BP-cog-V-A8-1-A;BP;A;L;01/09/2010 14:30;B;
4-BP-cog-V-A8-1-A;BP;A;L;05/10/2010 15:00;H;16,5
4-BP-cog-V-B1-1-A;BP;A;L;24/09/2010 10:40;B;
4-BP-cog-V-B1-1-A;BP;A;L;19/10/2010 14:00;H;20
4-BP-cog-V-B1-1-L;BP;L;L;24/09/2010 10:40;B;
4-BP-cog-V-B1-1-L;BP;L;L;19/10/2010 14:00;H;13,3
4-BP-cog-V-C11-1-A;BP;A;L;25/09/2010 14:50;B;
4-BP-cog-V-C11-1-A;BP;A;L;19/10/2010 14:00;H;19,8
4-BP-cog-V-D10-1-L;BP;L;A;01/09/2010 14:00;B;
4-BP-cog-V-D10-1-L;BP;L;A;05/10/2010 15:00;H;12,4
4-BP-cog-V-D12-1-A;BP;A;L;24/09/2010 10:40;B;
4-BP-cog-V-D12-1-A;BP;A;L;20/10/2010 14:00;H;16,7
4-BP-cog-V-D12-1-L;BP;L;L;24/09/2010 10:40;B;
4-BP-cog-V-D12-1-L;BP;L;L;20/10/2010 14:00;H;11,5
4-BP-cog-V-E15-1-A;BP;A;L;24/09/2010 10:40;B;
4-BP-cog-V-E15-1-A;BP;A;L;22/10/2010 14:00;H;12,5
4-BP-cog-V-E15-2-L;BP;L;L;24/09/2010 10:40;B;
4-BP-cog-V-E15-2-L;BP;L;L;22/10/2010 14:00;H;12,2
4-BP-cog-V-G15-1-A;BP;A;A;24/09/2010 10:40;B;
4-BP-cog-V-G15-1-A;BP;A;A;20/10/2010 14:00;H;19,3
4-BP-cog-V-G15-2-L;BP;L;A;24/09/2010 10:40;B;
4-BP-cog-V-G15-2-L;BP;L;A;19/10/2010 14:00;H;18,7
4-BP-cog-V-G9-1-A;BP;A;L;24/09/2010 10:40;B;
4-BP-cog-V-G9-1-A;BP;A;L;22/10/2010 14:00;H;15
4-BP-cog-V-G9-2-A;BP;A;L;25/09/2010 14:50;B;
4-BP-cog-V-G9-2-A;BP;A;L;22/10/2010 14:00;H;11,3
4-GF-cog-V-A2-1-A;GF;A;L;05/11/2010 09:15;B;
4-GF-cog-V-A2-1-A;GF;A;L;04/12/2010 17:40;H;2,2
4-GF-cog-V-A2-2-A;GF;A;L;05/11/2010 09:15;B;
4-GF-cog-V-A2-2-A;GF;A;L;06/12/2010 17:40;H;4,6
4-GF-cog-V-A7-1-A;GF;A;L;05/11/2010 09:15;B;
4-GF-cog-V-A7-1-A;GF;A;L;06/12/2010 17:40;H;2
4-GF-cog-V-A7-2-A;GF;A;L;04/11/2010 09:15;B;
4-GF-cog-V-A7-2-A;GF;A;L;06/12/2010 17:40;H;2,2
4-GF-cog-V-A7-3-A;GF;A;L;05/11/2010 09:15;B;
4-GF-cog-V-A7-3-A;GF;A;L;06/12/2010 17:40;H;5,1
4-GF-cog-V-B15-1-A;GF;A;A;05/11/2010 09:15;B;
4-GF-cog-V-B15-1-A;GF;A;A;08/12/2010 18:00;H;3,1
4-GF-cog-V-B6-1-L;GF;L;L;05/11/2010 09:15;B;
4-GF-cog-V-B6-1-L;GF;L;L;06/12/2010 15:20;H;10,7
4-GF-cog-V-B6-2-L;GF;L;A;05/11/2010 09:15;B;
4-GF-cog-V-B6-2-L;GF;L;A;06/12/2010 18:00;H;6,5
