codeUC;positionUC;PUCM;date;stadeInflo;longueur;DFInflo;T_ip
3-GF-cog-F-A2-1-A;A;A;22/07/2010 17:50;B2;;D;140.98
3-GF-cog-F-A2-1-A;A;A;06/09/2010 08:45;G;25.5;;
3-GF-cog-F-A37-1-A;A;A;29/07/2010 08:30;B2/C;;D;154.32
3-GF-cog-F-A37-1-A;A;A;09/09/2010 08:30;G;18.45;;
3-GF-cog-F-A37-1-L;L;A;29/07/2010 08:30;B2/C;;D;157.97
3-GF-cog-F-A37-1-L;L;A;09/09/2010 08:30;G;16.0;;
3-GF-cog-F-B19-1-A;A;A;25/07/2010 14:00;B2;;D;122.49
3-GF-cog-F-B19-1-A;A;A;31/08/2010 08:30;PF;23.6;;
3-GF-cog-F-B19-1-L;L;A;26/07/2010 09:15;B2;;D;121.98
3-GF-cog-F-B19-1-L;L;A;29/08/2010 12:30;PF;18.5;;
3-GF-cog-F-B21-1-A;A;A;24/07/2010 17:40;B2/C;;D;134.64
3-GF-cog-F-B21-1-A;A;A;09/09/2010 08:30;G;22.9;;
3-GF-cog-F-B22-1-A;A;L;28/07/2010 09:35;B2;;D;123.48
3-GF-cog-F-B22-1-A;A;L;31/08/2010 08:30;PF;17.6;;
3-GF-cog-F-B25-1-L1;L;A;23/07/2010 14:40;B2;;D;162.86
3-GF-cog-F-B25-1-L1;L;A;06/09/2010 12:15;G;28.7;;
3-GF-cog-F-B25-1-L2;L;A;24/07/2010 17:40;B2/C;;D;148.12
3-GF-cog-F-B25-1-L2;L;A;06/09/2010 08:30;G;28.0;;
3-GF-cog-F-B28-1-A;A;A;29/07/2010 08:30;B2;;D;157.20
3-GF-cog-F-B28-1-A;A;A;16/09/2010 08:30;G;18.1;;
3-GF-cog-F-B7-1-A;A;A;25/07/2010 14:00;B2;;D;150.93
3-GF-cog-F-B7-1-A;A;A;02/09/2010 08:30;PF;20.9;;
3-GF-cog-F-B7-1-L;L;A;26/07/2010 09:15;B2;;D;139.15
3-GF-cog-F-B7-1-L;L;A;02/09/2010 08:30;PF;18.3;;
3-GF-cog-F-B8-1-L1;L;A;25/07/2010 14:00;B2/C;;D;152.94
3-GF-cog-F-B8-1-L1;L;A;09/09/2010 08:30;G;20.7;;
3-GF-cog-F-B8-1-L2;L;A;25/07/2010 14:00;B2/C;;D;145.59
3-GF-cog-F-B8-1-L2;L;A;09/09/2010 08:30;G;17.9;;
3-GF-cog-F-C28-1-L;L;A;29/07/2010 08:30;B2;;D;132.26
3-GF-cog-F-C28-1-L;L;A;06/09/2010 12:15;G;22.0;;
3-GF-cog-F-E5-1-L1;L;A;05/11/2010 09:15;B2/C;;D;112.68
3-GF-cog-F-E5-1-L1;L;A;06/12/2010 18:00;G;11.7;;
3-GF-cog-F-E5-1-L2;L;A;05/11/2010 09:15;B2;;D;121.62
3-GF-cog-F-E5-1-L2;L;A;06/12/2010 18:00;G;9.5;;
3-GF-cog-F-E5-2-L;L;A;05/11/2010 09:15;B2;;D;97.53
3-GF-cog-F-E5-2-L;L;A;04/12/2010 10:20;G;13.2;;
