"burst_date_mother","position_mother_L","probas"
"1","0",0.172482144299951
"2","0",0.999999936107796
"3","0",0.00795566047838512
"4","0",1.00774315568113e-07
"9","0",0.999999936107796
"10","0",0.918907884676025
"11","0",0.934107465222478
"12","0",0.794354329992701
"1","1",0.0629417696217617
"2","1",0.999999801736755
"3","1",0.0025776849614283
"4","1",3.24754731489609e-08
"9","1",0.999999801736755
"10","1",0.78502632859415
"11","1",0.820415914480887
"12","1",0.55452642423601
"5","0",0
"6","0",0
"7","0",0
"8","0",0
"5","1",0
"6","1",0
"7","1",0
"8","1",0
