"burst_date_mother","probas"
"1",1.5837293384161e-10
"2",1.5837293382734e-10
"8",0.499999999999895
"9",0.916666666666599
"10",0.500000000000005
"11",1.58372933826832e-10
"12",0.0377358490565982
"3",0
"4",0
"5",0
"6",0
"7",0
