"Burst_Month","probability","number"
"10",13.6666666666666,12
"12",13.2884615384614,52
"1",11.0760869565217,92
"2",9.88284518828521,239
"3",10.8666666666665,15
"4",8.65789473684224,38
"5",5.83333333632975,6
