"Burst_Month","Has_Apical_GU_Child","probability","number"
"10-11-12","0",2.207547169812,53
"1","0",2.5733333333337,75
"2","0",2.92021276595757,188
"3-4-5","0",2.56250000000008,48
"10-11-12","1",0.33333333377922,3
"1","1",2.00000000000033,8
"2","1",1.26666666666803,30
"3-4-5","1",0.999999999999993,1
