"Burst_Month","Position_A","probability","number"
"8-9-10-11","0",1.85205011590394e-09,38
"1","0",0.0738428928205256,19
"2","0",0.0203999273098851,309
"3","0",0.0087639196981041,605
"8-9-10-11","1",2.03576082803976e-08,13
"1","1",0.811676030482541,34
"2","1",0.224234606589212,70
"3","1",0.0963324062792893,80
