"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"0","0","0",2.36419789693203,42
"1","0","0",2.9841913210836,82
"0","1","0",2.05632684018448,48
"1","1","0",2.03959158053699,58
"0","0","1",2.40545728046609,19
"1","0","1",2.14815583557255,2
"0","1","1",2.48646753213744,52
"1","1","1",1.74485425876166,9
"0","0","2",4.74259059127474,0
"1","0","2",1.46313181009402,0
"0","1","2",4.125,16
"1","1","2",0.999999999999999,1
