"Nb_Inflorescences","Position_A","probability","number"
"1","0",0.23983739837388,246
"2","0",0.666666666666477,6
"3","0",4.72103109856627e-07,2
"4","0",4.72103293825119e-07,1
"5","0",1,0
"6","0",1,0
"1","1",0.451162790697697,215
"2","1",0.675000000000038,40
"3","1",0.608695652174069,23
"4","1",0.666666666666833,12
"5","1",0.900000000000007,10
"6","1",0.8888888888887,9
