"Position_A","Nature_F","probability","number"
"0","0",4.75000000354629,56
"1","0",4.39215686274514,51
"0","1",9.84090910295943,44
"1","1",8.23076923340218,39
"0","2",16.1428571428572,7
"1","2",13.0000000003861,13
