"Position_A","Nature_Ancestor_F","probability","number"
"0","0",0.768656716417909,268
"1","0",0.901639344262295,244
"0","1",0.505154639175257,97
"1","1",0.878787878787878,99
"0","2",0.500000000000004,10
"1","2",0.999999527896808,2
