"Burst_Month","Nature_F","probability","number"
"10","0",12.5000000000006,8
"12","0",11.1111111111123,9
"1","0",7.26315789473695,19
"2","0",5.66666666666692,51
"3","0",5.41334389900632,0
"4","0",5.50000000024829,8
"5","0",5.40000000956684,5
"10","1",16.0000000000001,4
"12","1",13.7142857142858,21
"1","1",11.5714285714286,42
"2","1",10.67,100
"3","1",10.8888888888889,9
"4","1",9.40000000000004,25
"5","1",8.00000000000002,1
"10","2",8.37827136433535,0
"12","2",13.7727272727273,22
"1","2",12.741935483871,31
"2","2",11.4318181818182,88
"3","2",10.8333333333334,6
"4","2",10,5
"5","2",8.67370651684096,0
