"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8","0","0",0.390147715162409,22
"9","0","0",0.0262717048416886,5
"10","0","0",2.00000000000002,2
"11","0","0",0.517316314653467,25
"12","0","0",0.741612406577046,0
"1","0","0",2.58812096897052,4
"2","0","0",8.31528734935376e-08,3
"8","1","0",0.948927427949265,31
"9","1","0",0.12457609838611,15
"10","1","0",7.92019927292316e-08,1
"11","1","0",1.40268368534654,25
"12","1","0",0.833333333333347,6
"1","1","0",4.82375806205913,2
"2","1","0",8.31528714091112e-08,4
"8","0","1",0.344019237600694,39
"9","0","1",0.0482578597662001,18
"10","0","1",2.24999999999999,4
"11","0","1",0.785597084693595,37
"12","0","1",1.50000000000004,2
"1","0","1",1.77458602068637,6
"2","0","1",0.7,10
"8","1","1",0.827374980969521,14
"9","1","1",0.22627170484169,5
"10","1","1",8.81057706504306e-08,1
"11","1","1",2.1062948071983,37
"12","1","1",1.66666666666667,6
"1","1","1",3.27049677517641,5
"2","1","1",0.692171562120942,0
