datesUnik;tempMoyheure;tempMoy
10/07/2010;21.69364583;23
11/07/2010;22.52489583;23.835
12/07/2010;22.64364583;23.76
13/07/2010;22.25645833;23.17
14/07/2010;22.19666667;23.06
15/07/2010;23.19291667;24.435
16/07/2010;22.81802083;24.215
17/07/2010;22.988125;23.705
18/07/2010;22.915;23.95
19/07/2010;23.08354167;23.795
20/07/2010;23.18979167;23.625
21/07/2010;22.7534375;23.565
22/07/2010;22.9196875;24.06
23/07/2010;21.9328125;22.945
24/07/2010;21.87520833;22.745
25/07/2010;21.644375;22.175
26/07/2010;21.12052083;21.82
27/07/2010;21.28239583;22.6
28/07/2010;21.46395833;22.42
29/07/2010;20.86739583;21.62
30/07/2010;23.0615625;24.57
31/07/2010;22.1471875;23.305
01/08/2010;21.19927083;22.6
02/08/2010;21.3871875;22.82
03/08/2010;21.00510417;21.985
04/08/2010;20.63260417;21.73
05/08/2010;21.13395833;21.875
06/08/2010;21.97958333;23.055
07/08/2010;22.14083333;22.955
08/08/2010;22.1675;22.81
09/08/2010;22.10364583;22.85
10/08/2010;22.60145833;23.62
11/08/2010;22.458125;23.065
12/08/2010;20.05625;21.075
13/08/2010;22.05583333;23.645
14/08/2010;20.63625;20.845
15/08/2010;22.2171875;23.54
16/08/2010;22.5109375;23.79
17/08/2010;22.85895833;23.92
18/08/2010;22.9503125;23.93
19/08/2010;22.89166667;23.21
20/08/2010;23.6178125;24.61
21/08/2010;22.66375;23.935
22/08/2010;22.68166667;24.045
23/08/2010;22.91104167;24.385
24/08/2010;23.55270833;24.775
25/08/2010;23.84875;25.635
26/08/2010;22.25760417;23.105
27/08/2010;22.53614583;23.695
28/08/2010;22.8446875;23.88
29/08/2010;23.21041667;23.865
30/08/2010;23.6553125;24.89
31/08/2010;22.52453608;23.615
01/09/2010;22.57;23.715
02/09/2010;22.31083333;23.175
03/09/2010;22.6865625;23.735
04/09/2010;23.90989583;24.74
05/09/2010;23.6125;23.895
06/09/2010;23.83791667;24.315
07/09/2010;24.47239583;24.945
08/09/2010;24.2371875;25.015
09/09/2010;22.77416667;23.245
