cultivar;year;plant;ER;positionER;nbUC;DBm;DMm;pfER;numUC;position;rang;Long;NbFeu;pftot;pfUC;pffeu;psUC;psfeu;tmsUC;tmsfeu;foliaripf;foliarips;psmoyfeu;psfeulong;psUClong;SfolUC;Sfolmoy;LMA;volUC
Cogshall;2004;B10;11;A;7;15,61;12,91;;1;A;1;184;20;;27,2;45,3;10,44;20,79;38,4;45,9;1,67;1,99;1039,5;113;56,74;99823;4991,1;20,83;24085,8
Cogshall;2004;B10;11;A;7;15,61;12,91;;2;A;2;114;14;;16,68;30,04;6,22;13,71;37,3;45,6;1,8;2,2;979,3;120,3;54,56;65814;4701;20,83;
Cogshall;2004;B10;11;A;7;15,61;12,91;;3;A;3;164;18;;5,11;33,37;3,31;14,91;64,8;44,7;6,53;4,5;828,3;90,9;20,18;77122;4284,6;19,33;
Cogshall;2004;B10;11;A;7;15,61;12,91;;4;L;3;13;1;;0,09;0,69;0,03;0,31;33,3;44,9;7,67;10,33;310;23,8;2,31;1824;1824;17;
Cogshall;2004;B10;11;A;7;15,61;12,91;;5;L;3;92;7;;2,14;8,03;0,71;3,5;33,2;43,6;3,75;4,93;500;38;7,72;20683;2954,7;16,92;
Cogshall;2004;B10;11;A;7;15,61;12,91;;6;L;3;114;9;;3,94;12,56;1,33;5,65;33,8;45;3,19;4,25;627,8;49,6;11,67;29814;3312,7;18,95;
Cogshall;2004;B10;11;A;7;15,61;12,91;;7;L;3;73;6;;1,76;6,99;0,59;3,06;33,5;43,8;3,97;5,19;510;41,9;8,08;17772;2962;17,22;
Cogshall;2004;B11;12;L;1;5,99;5,51;;1;L;1;58;10;;1,92;10,46;0,6;4,34;31,3;41,5;5,45;7,23;434;74,8;10,34;25344;2534,4;17,12;1383
Cogshall;2004;B11;13;L;3;10,83;9,66;;1;L;1;191;11;;20,59;18,66;5,13;8,09;24,9;43,4;0,91;1,58;735,5;42,4;26,86;44603;3716,9;18,14;13998,4
Cogshall;2004;B11;13;L;3;10,83;9,66;;2;A;2;186;18;;11,32;28,26;2,68;9,41;23,7;33,3;2,5;3,51;522,8;50,6;14,41;56790;3340,6;16,57;
Cogshall;2004;B11;13;L;3;10,83;9,66;;3;L;2;124;8;;4,09;8,87;0,8;2,03;19,6;22,9;2,17;2,54;253,8;16,4;6,45;12852;2142;15,8;
Cogshall;2004;B13;14;L;2;9,17;8,26;;1;L;1;123;9;;7,87;19,12;2,92;8,3;37,1;43,4;2,43;2,84;922,2;67,5;23,74;42892;4765,8;19,35;6583,1
Cogshall;2004;B13;14;L;2;9,17;8,26;;2;A;2;219;18;;11,08;38,39;3,66;16,73;33;43,6;3,46;4,57;929,4;76,4;16,71;97319;5406,6;17,19;
