a;nUC;nFprox;nFdist;nF1;nFplus;TMUC;TMFprox;TMFdist;TMF1;TMFplus;vari;ver;sai;arbre;pos;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;nbF;longHypo;longUCF;surFproxF;surFdistF;surF1F;surFplusF;surFtot;volUC;a;A0;X00;B0;Error0;ER0
2-BP-cog-V-B7-2-L;8;11;11;13;NA;25.22125;25.20545455;25.20545455;25.12230769;NA;cog;BP;2;B7;L;1;4;1;nord;2.8;L;6;3.4;5;20.35465526;16.34145216;9.45480305;NA;101.1950716;505.9753579;2-BP-cog-V-B7-2-L;5.036521884;62.12534251;23.68306044;0;0.053165868
2-BP-cog-V-D16-1-A;10;NA;NA;NA;NA;25.3195;NA;NA;NA;NA;cog;BP;2;D16;A;1;2;1;nord;3;A;16;2.1;10;NA;NA;NA;NA;NA;NA;2-BP-cog-V-D16-1-A;10.0289955;75.29715937;24.11414381;0;0.103974203
2-BP-cog-V-D16-1-L;10;11;13;14;NA;25.255;25.20545455;25.12230769;25.11142857;NA;cog;BP;2;D16;L;1;2;1;nord;3;A;8;5.2;9.5;35.80243425;14.9870655;15.14248692;NA;192.905736;1832.604492;2-BP-cog-V-D16-1-L;9.534246639;77.42010173;22.81223642;0;0.104486102
2-BP-cog-V-D2-1-L;15;14;14;16;NA;25.05266667;25.11142857;25.11142857;24.99125;NA;cog;BP;2;D2;L;0;3;1;nord-est;1;L;12;4.4;14;34.1557073;22.17345592;18.02333396;NA;327.8337317;4589.672243;2-BP-cog-V-D2-1-L;13.92392604;87.86261049;22.64700719;0;0.153706028
2-BP-cog-V-D5-1-A;11;15;14;13;NA;25.20545455;25.05266667;25.11142857;25.12230769;NA;cog;BP;2;D5;A;1;2;1;est;2.1;A;13;3.5;9.2;23.92749766;18.11769696;18.6505704;NA;270.9217381;2492.479991;2-BP-cog-V-D5-1-A;9.200346176;75.39013293;26.2095623;0;0.087757534
2-BP-cog-V-D5-2-L;12;15;14;14;13;25.21041667;25.053;25.12321429;25.12321429;25.19192308;cog;BP;2;D5;L;0;6;1;nord-ouest;1.3;A;14;5.5;17.2;49.22603428;20.94858711;6.4758925;27.9758556;462.6109315;7956.908022;2-BP-cog-V-D5-2-L;17.26137962;92.42319284;23.59094251;0;0.182923802
2-BP-cog-V-H12-1-A;11;11;13;11;NA;25.20545455;25.20545455;25.12230769;25.20545455;NA;cog;BP;2;H12;A;1;4; 1/2;nord;2.2;A;17;4.9;22;39.2994162;31.02877635;20.78206416;NA;583.4076046;12834.9673;2-BP-cog-V-H12-1-A;21.95579002;75.15274458;20.39743145;0;0.269099936
2-BP-cog-V-H12-2-L;14;15;13;14;NA;25.11142857;25.05266667;25.12230769;25.11142857;NA;cog;BP;2;H12;L;1;4; 1/2;nord;2.2;A;10;7;15.5;50.82650485;26.18480876;15.14248692;NA;361.6933982;5606.247672;2-BP-cog-V-H12-2-L;15.52387609;92.11059089;20.05257853;0;0.19353965
2-BP-cog-V-I12-1-A;9;13;13;11;NA;25.24055556;25.12230769;25.12230769;25.20545455;NA;cog;BP;2;I12;A;1;0;1;nord;2.2;L;6;3.1;5.6;14.63921756;14.73543082;6.277915215;NA;79.71453617;446.4014025;2-BP-cog-V-I12-1-A;5.62439006;56.33975283;24.11591126;0;0.058305801
2-BP-cog-V-I2-1-A;10;12;15;13;NA;25.3195;25.21041667;25.053;25.19192308;NA;cog;BP;2;I2;A;1;2;1;sud-ouest;2.6;A;13;7.7;18.5;39.54550012;10.63156523;9.23647296;NA;310.298865;5740.529003;2-BP-cog-V-I2-1-A;18.43195292;71.18398351;18.68712467;0;0.246586263
2-GF-cog-V-A28-1-L;9;11;12;11;NA;28.065;28.11454545;28.13208333;28.11454545;NA;cog;GF;2;A28;L;0;6;3;ouest;1.8;A;10;5.5;12;33.03815328;26.52525568;16.06946468;NA;284.104805;3409.25766;2-GF-cog-V-A28-1-L;11.93743445;70.45405856;21.85204327;0;0.136571147
2-GF-cog-V-A28-2-L;10;11;10;10;NA;28.0645;28.08818182;28.0645;28.0645;NA;cog;GF;2;A28;L;0;3;3;ouest;1.1;A;8;3.1;6.2;57.60213866;38.04494331;17.74024494;NA;352.5050318;2185.531197;2-GF-cog-V-A28-2-L;6.205021668;74.9231417;27.17890433;0;0.057075716
2-GF-cog-V-A36-1-A;9;9;11;12;NA;28.065;28.065;28.11454545;28.13208333;NA;cog;GF;2;A36;A;1;0;3;nord;1.75;A;15;1.2;8.4;51.9551604;27.84263724;17.022346;NA;575.6069295;4835.098208;2-GF-cog-V-A36-1-A;8.355900688;75.73611554;20.66912013;0;0.101067445
2-GF-cog-V-A39-1-A;12;11;13;13;13;28.13208333;28.11454545;28.05576923;28.05576923;28.05576923;cog;GF;2;A39;A;1;0;3;nord;1.7;A;17;1.8;11;39.93590392;26.61406792;7.22709603;12.1376728;539.6268708;5935.895578;2-GF-cog-V-A39-1-A;11.02594939;82.45448813;22.94455001;0;0.12013691
2-GF-cog-V-A39-2-A;7;12;NA;NA;NA;27.82928571;28.00916667;NA;NA;NA;cog;GF;2;A39;A;1;0;3;nord-ouest;1.65;A;5;2.6;5.6;29.70584403;NA;NA;NA;NA;NA;2-GF-cog-V-A39-2-A;5.620217711;61.66392378;18.75076834;0;0.074933166
2-GF-cog-V-B38-1-A;11;9;12;11;NA;28.11454545;28.065;28.13208333;28.11454545;NA;cog;GF;2;B38;A;1;0;3;nord-est;0.8;A;15;2.5;14.1;84.32722188;42.4818548;24.8674272;NA;912.530964;12866.68659;2-GF-cog-V-B38-1-A;14.00746268;84.37842776;20.0613968;0;0.17455742
2-GF-cog-V-D11-1-A;9;11;11;11;NA;28.065;28.11454545;28.11454545;28.11454545;NA;cog;GF;2;D11;A;1;2;3;nord-ouest;1.5;L;17;1;13.4;49.15202408;24.21983795;10.12459536;NA;597.0994916;8001.133187;2-GF-cog-V-D11-1-A;13.42834867;77.72274058;22.32747333;0;0.150356788
2-GF-cog-V-D11-1-L;12;9;11;11;NA;28.13208333;28.065;28.11454545;28.11454545;NA;cog;GF;2;D11;L;1;2;3;nord-ouest;1.5;L;4;6.3;9.2;37.99683668;37.1161153;14.7650349;NA;127.4344629;1172.397058;2-GF-cog-V-D11-1-L;9.172998374;77.04097588;20.3229433;0;0.112840427
2-GF-cog-V-E21-1-L;11;12;12;NA;NA;28.11454545;28.13208333;28.13208333;NA;NA;cog;GF;2;E21;L;1;2;3;ouest;1;A;8;6;10.5;47.48124381;22.51390284;NA;NA;NA;NA;2-GF-cog-V-E21-1-L;10.49042951;79.61482688;21.79099238;0;0.12035282
2-GF-cog-V-E21-2-L;8;12;10;NA;NA;27.99625;28.00916667;28.0645;NA;NA;cog;GF;2;E21;L;0;3;3;nord;1.1;A;8;8;12.2;47.91420348;18.47294592;NA;NA;NA;NA;2-GF-cog-V-E21-2-L;12.30805626;68.76139726;20.4456418;0;0.150497309
2-GF-jose-V-B16-1-L;13;14;11;14;NA;28.04769231;27.98214286;27.98318182;27.98214286;NA;jose;GF;2;B16;L;0;3;1;sud-est;1.8;L;10;4.6;15.4;34.10099968;20.97110675;21.5291362;NA;269.3536151;4148.045673;2-GF-jose-V-B16-1-L;15.59100753;185.1765327;45.64978913;0;0.085383787
2-GF-jose-V-B16-2-A;14;12;12;12;NA;27.98214286;28.03125;28.03125;28.03125;NA;jose;GF;2;B16;A;1;0;1;nord-ouest;1.3;L;10;0.35;11;29.74476978;19.72184082;12.9966859;NA;235.5964336;2591.56077;2-GF-jose-V-B16-2-A;11.16529039;206.3780771;49.20306148;0;0.056730669
2-GF-jose-V-B17-1-A;14;13;14;12;NA;27.98214286;28.04769231;27.98214286;28.03125;NA;jose;GF;2;B17;A;1;1;1;nord;1.55;A;16;0.5;19.8;33.481767;30.1335903;24.98171841;NA;502.0968982;9941.518584;2-GF-jose-V-B17-1-A;20.29099393;216.7101867;51.67931393;0;0.098158201
2-GF-jose-V-B17-2-L;13;11;12;14;12;28.04769231;27.98318182;28.03125;27.98214286;28.03125;jose;GF;2;B17;L;0;5;1;nord-est;1.55;A;11;2.5;15.1;15.52401928;12.1686422;9.91492326;19.66963807;148.3782307;2240.511283;2-GF-jose-V-B17-2-L;15.28028073;190.3951809;44.63938354;0;0.085576231
2-GF-jose-V-D12-1-A;14;12;14;14;NA;27.91071429;27.92041667;27.91071429;27.91071429;NA;jose;GF;2;D12;A;1;0;1;nord;1.3;L;15;0.4;16.7;65.32904774;26.73141075;23.49483994;NA;667.9180494;11154.23142;2-GF-jose-V-D12-1-A;17.56617671;213.8386758;61.39033675;0;0.071534779
2-GF-jose-V-D13-1-L;14;11;NA;12;NA;28.06535714;28.08818182;NA;28.00916667;NA;jose;GF;2;D13;L;0;2;1;est;1.5;A;6;0.7;5;30.99043552;NA;15.96504256;NA;NA;NA;2-GF-jose-V-D13-1-L;5.00641283;160.8389196;50.01148052;0;0.025026318
2-GF-jose-V-E8-1-L;12;10;14;13;NA;28.03125;28.0675;27.98214286;28.04769231;NA;jose;GF;2;E8;L;0;3;1;sud;1.7;A;9;4;11.1;22.4651856;17.99374962;14.41516076;NA;176.2509016;1956.385008;2-GF-jose-V-E8-1-L;11.31861918;185.6053947;51.32372176;0;0.055133468
2-GF-jose-V-E8-2-A;12;13;12;12;NA;27.92041667;27.89153846;27.92041667;27.92041667;NA;jose;GF;2;E8;A;1;0;1;ouest;1.65;A;12;1.5;11.5;32.62852197;24.51189362;24.8053091;NA;339.0775948;3899.39234;2-GF-jose-V-E8-2-A;11.63048974;160.6119644;47.46782727;0;0.061254593
2-GF-jose-V-H15-1-A;13;14;NA;NA;NA;28.04769231;27.98214286;NA;NA;NA;jose;GF;2;H15;A;1;2;1;ouest;1.45;L;16;0.9;22.6;79.11957554;NA;NA;NA;NA;NA;2-GF-jose-V-H15-1-A;23.25790632;210.9969173;45.95331249;0;0.126530086
2-GF-jose-V-H5-1-L;15;14;13;15;NA;28.003;28.06535714;28.05153846;28.003;NA;jose;GF;2;H5;L;0;2;1;nord-est;1.3;L;7;6;12;28.34789606;16.560874;12.39905436;NA;147.1253645;1765.504374;2-GF-jose-V-H5-1-L;12.10392267;192.7914561;48.07048159;0;0.062948832
2-GF-jose-V-H5-2-A;14;11;13;12;NA;27.98214286;27.98318182;28.04769231;28.03125;NA;jose;GF;2;H5;A;1;0;1;nord-est;1.45;L;14;0.8;15.7;64.54060613;32.03089043;13.2486992;NA;640.9634268;10063.1258;2-GF-jose-V-H5-2-A;16.04313708;193.5856765;53.80927271;0;0.074537047
2-GH-jose-V-B25-1-L;15;14;15;16;NA;24.221;24.2525;24.221;24.205625;NA;jose;GH;2;B25;L;1;4;2;sud;1.45;L;13;5;27.9;39.28527328;26.53700049;26.43439508;NA;421.3680377;11756.16825;2-GH-jose-V-B25-1-L;28.17500239;184.934048;49.81967573;0;0.141384915
2-GH-jose-V-B25-2-A;15;13;15;15;14;24.221;24.27038462;24.221;24.221;24.2525;jose;GH;2;B25;A;1;0;2;nord-est;1.8;L;17;2.2;25.6;36.47712508;24.43088934;4.1042166;27.56305464;491.368332;12579.0293;2-GH-jose-V-B25-2-A;26.1460721;188.9102415;48.83212522;0;0.133856923
2-GH-jose-V-C26-1-A;15;14;15;14;NA;24.221;24.2525;24.221;24.2525;NA;jose;GH;2;C26;A;1;2;3;nord;1.5;L;20;4.2;33.2;63.5073516;26.34259023;15.49881795;NA;869.0732653;28853.23241;2-GH-jose-V-C26-1-A;33.72445595;180.742184;49.98928814;0;0.168658413
2-GH-jose-V-C26-2-L;15;14;15;15;15;24.221;24.2525;24.221;24.221;24.221;jose;GH;2;C26;L;1;6;3;nord-ouest;1.6;L;14;8.3;25;38.0180064;12.91748172;13.94893616;22.59119225;345.0296089;8625.740223;2-GH-jose-V-C26-2-L;25.24787216;181.2699863;50.30856129;0;0.125465087
2-GH-jose-V-F24-1-A;15;13;15;14;NA;24.221;24.27038462;24.221;24.2525;NA;jose;GH;2;F24;A;1;3; 2/3;sud-ouest;1.4;L;19;1.1;23.6;61.9952718;20.64348946;11.53500876;NA;755.2838601;17824.6991;2-GH-jose-V-F24-1-A;24.1366374;170.7192731;50.23489984;0;0.120118869
2-GH-jose-V-F25-1-A;15;15;14;16;NA;24.221;24.221;24.2525;24.205625;NA;jose;GH;2;F25;A;1;1;3;sud-est;1.55;L;19;3.4;28.6;90.724788;13.9687372;19.31681945;NA;961.5585462;27500.57442;2-GH-jose-V-F25-1-A;29.09897769;188.5580597;53.2751713;0;0.136550371
2-GH-jose-V-F25-2-L;15;14;15;16;NA;24.11333333;24.11607143;24.11333333;24.07625;NA;jose;GH;2;F25;L;1;4;3;sud;1.55;L;14;6.1;21.9;28.2254896;16.55727381;17.74173632;NA;308.8296985;6763.370397;2-GH-jose-V-F25-2-L;22.11510242;182.007717;47.33251388;0;0.116807141
2-GH-jose-V-G18-1-A;19;15;16;17;NA;24.03157895;24.15733333;24.0996875;24.09823529;NA;jose;GH;2;G18;A;1;0;1;nord;1.2;L;18;3;25.1;42.59744808;20.04585792;12.85987868;NA;545.3279797;13687.73229;2-GH-jose-V-G18-1-A;25.26254586;193.1629968;53.27798965;0;0.118541193
2-GH-jose-V-M12-1-A;19;19;21;19;NA;24.11157895;24.11157895;24.0397619;24.11157895;NA;jose;GH;2;M12;A;1;1;1;milieu;1.75;L;22;1.4;26.6;47.56571028;16.40966602;11.9886327;NA;683.7300839;18187.22023;2-GH-jose-V-M12-1-A;27.05897099;245.8266098;60.102097;0;0.112554188
2-GH-jose-V-M12-1-L;18;18;19;19;NA;24.06611111;24.06611111;24.03157895;24.03157895;NA;jose;GH;2;M12;L;1;1;1;milieu;1.75;L;11;11.4;22.7;9.37489476;12.51786063;9.38569533;NA;118.8494723;2697.883021;2-GH-jose-V-M12-1-L;23.13596581;237.8219873;61.5383657;0;0.093990007
2-GH-jose-V-M7-1-L;16;15;16;16;NA;24.205625;24.221;24.205625;24.205625;NA;jose;GH;2;M7;L;0;4; 1/2;ouest;1.65;A;12;5.5;18.9;29.0175314;20.90450324;19.35462144;NA;293.9258119;5555.197846;2-GH-jose-V-M7-1-L;19.0311557;172.3594274;47.36961781;0;0.100439673
4-BM-cog-V-B11-1-A;15;16;19;19;19;21.34933333;21.4459375;21.43342105;21.43342105;21.43342105;cog;BM;4;B11;A;1;0;3;ouest;1.7;L;18;1.5;13.5;37.00880051;31.32851766;16.69670112;36.76826736;597.5639056;8067.112725;4-BM-cog-V-B11-1-A;13.61802728;90.60927398;27.18658351;0;0.125227461
4-BM-cog-V-F1-1-A;16;17;NA;NA;NA;21.5446875;21.43058824;NA;NA;NA;cog;BM;4;F1;A;1;1; 2/3;est;1.45;L;10;5.5;18.25;57.66134682;NA;NA;NA;NA;NA;4-BM-cog-V-F1-1-A;18.31312128;88.04592469;22.54338006;0;0.203087572
4-BM-cog-V-F1-2-A;13;16;17;16;NA;21.33269231;21.5446875;21.43058824;21.5446875;NA;cog;BM;4;F1;A;1;0; 2/3;est;1.5;L;13;1.7;17.5;65.70440531;23.63145686;33.08996042;NA;569.1051334;9959.339835;4-BM-cog-V-F1-2-A;17.6008972;81.73471358;22.91095413;0;0.192057663
4-BM-cog-V-F3-1-A;16;16;17;17;NA;21.5446875;21.5446875;21.43058824;21.43058824;NA;cog;BM;4;F3;A;1;0;3;est;1.65;L;19;3;19.8;51.5110992;50.67478394;21.5739733;NA;941.2469216;18636.68905;4-BM-cog-V-F3-1-A;19.93684469;94.00981707;25.03566055;0;0.199084468
4-BM-cog-V-F6-1-A;16;19;18;19;NA;21.5446875;21.35;21.33972222;21.35;NA;cog;BM;4;F6;A;1;2;3;est;1;A;18;2.4;21.9;129.3883322;64.18904646;50.326936;NA;1695.734654;37136.58893;4-BM-cog-V-F6-1-A;22.04469211;93.88179791;24.97370728;0;0.220679011
4-BM-cog-V-F6-1-L;16;19;19;19;19;21.5446875;21.35;21.35;21.35;21.35;cog;BM;4;F6;L;1;2;3;est;1;A;11;7;17.9;72.5670011;31.87064238;21.9810294;63.32312712;544.1692468;9740.629517;4-BM-cog-V-F6-1-L;18.00468762;98.23243661;24.73465817;0;0.181978335
4-BM-cog-V-F6-2-A;14;18;17;18;NA;21.44428571;21.33972222;21.43058824;21.33972222;NA;cog;BM;4;F6;A;1;0;3;est;1.8;L;13;2;14.9;36.51293217;51.87374918;35.38797713;NA;565.7080652;8429.050172;4-BM-cog-V-F6-2-A;14.99687737;88.57058055;23.60849651;0;0.158808052
4-BP-cog-V-A2-1-A;14;NA;NA;NA;NA;21.5125;NA;NA;NA;NA;cog;BP;4;A2;A;1;4;3;est;2.2;L;20;2;16.9;NA;NA;NA;NA;NA;NA;4-BP-cog-V-A2-1-A;16.93776933;86.21508854;23.12240528;0;0.183131568
4-BP-cog-V-A2-1-L;19;NA;NA;NA;NA;21.34973684;NA;NA;NA;NA;cog;BP;4;A2;L;1;4;3;est;2.2;L;9;4;11.95;NA;NA;NA;NA;NA;NA;4-BP-cog-V-A2-1-L;11.8823253;69.64583673;20.66119259;0;0.143775889
4-BP-cog-V-A8-1-A;15;NA;NA;NA;NA;21.446;NA;NA;NA;NA;cog;BP;4;A8;A;1;0;3;ouest;0.65;L;18;2.5;16.5;NA;NA;NA;NA;NA;NA;4-BP-cog-V-A8-1-A;16.6536133;81.94638208;23.99005067;0;0.173547083
4-BP-cog-V-B1-1-A;13;14;15;15;15;22.39576923;22.60214286;22.685;22.685;22.685;cog;BP;4;B1;A;1;3;3;nord;1.5;L;18;4.8;20;46.54501478;20.96338915;12.25608912;33.83191268;586.0775225;11721.55045;4-BP-cog-V-B1-1-A;20.11546204;85.88672143;21.91233575;0;0.229499291
4-BP-cog-V-B1-1-L;13;NA;14;15;14;22.39576923;NA;22.60214286;22.685;22.60214286;cog;BP;4;B1;L;1;3;3;nord;1.5;L;8;10.5;13.3;NA;25.11166086;16.69670112;22.32147632;NA;NA;4-BP-cog-V-B1-1-L;13.3261676;79.46131382;21.96216632;0;0.151694594
4-BP-cog-V-C11-1-A;12;13;13;14;13;22.415;22.63576923;22.63576923;22.72214286;22.63576923;cog;BP;4;C11;A;1;5;2;est;2.2;L;18;2.3;19.8;35.05123072;26.39943834;13.321836;30.4181922;535.652523;10605.91996;4-BP-cog-V-C11-1-A;19.98648243;84.86162842;23.43352042;0;0.213225351
4-BP-cog-V-C11-1-L;12;13;14;13;14;22.415;22.63576923;22.72214286;22.63576923;22.72214286;cog;BP;4;C11;L;1;5;2;est;2.2;L;13;4;18.7;35.76172864;14.89825326;8.42606127;30.28497384;312.3859527;5841.617315;4-BP-cog-V-C11-1-L;18.81534907;78.10467543;22.14151598;0;0.212444228
4-BP-cog-V-D10-1-L;12;NA;NA;NA;NA;21.60541667;NA;NA;NA;NA;cog;BP;4;D10;L;1;6;3;nord;1.8;A;8;6.1;12.4;NA;NA;NA;NA;NA;NA;4-BP-cog-V-D10-1-L;12.43070789;74.72451383;19.71651144;0;0.157617993
4-BP-cog-V-D12-1-A;12;NA;14;14;NA;22.36125;NA;22.60214286;22.60214286;NA;cog;BP;4;D12;A;1;2;3;ouest;1.5;L;15;2.5;16.7;NA;29.24883104;42.14140788;NA;NA;NA;4-BP-cog-V-D12-1-A;16.8906425;84.3633608;22.24275122;0;0.189844349
4-BP-cog-V-D12-1-L;11;NA;15;14;NA;22.15772727;NA;22.685;22.60214286;NA;cog;BP;4;D12;L;1;2;3;ouest;1.5;L;6;9.4;11.5;NA;29.60778051;15.14988794;NA;NA;NA;4-BP-cog-V-D12-1-L;11.57105484;79.33780495;21.02769202;0;0.137569245
4-BP-cog-V-E15-1-A;11;13;15;14;14;22.15772727;22.39576923;22.685;22.60214286;22.60214286;cog;BP;4;E15;A;1;0;3;nord;1;L;15;2;12.5;44.43572408;28.21638875;19.0576265;20.9818917;527.6224163;6595.280204;4-BP-cog-V-E15-1-A;12.57734636;76.97036061;23.10383297;0;0.136095885
4-BP-cog-V-E15-2-L;12;13;14;14;14;22.36125;22.39576923;22.60214286;22.60214286;22.60214286;cog;BP;4;E15;L;1;1;3;nord;1.2;L;9;5.8;12.2;37.10501377;14.60961348;9.05884848;27.9758556;215.9173575;2634.191761;4-BP-cog-V-E15-2-L;12.24005281;75.66042565;21.30603297;0;0.143621913
4-BP-cog-V-G15-1-A;12;12;14;14;NA;22.36125;22.36125;22.60214286;22.60214286;NA;cog;BP;4;G15;A;1;3;3;nord;1.45;A;20;2.2;19.3;41.69734668;36.50183064;22.48429876;NA;765.3764833;14771.76613;4-BP-cog-V-G15-1-A;19.36383761;70.43836458;21.5270776;0;0.224877686
4-BP-cog-V-G15-2-L;13;15;15;15;NA;22.39576923;22.685;22.685;22.685;NA;cog;BP;4;G15;L;1;3;3;ouest;1.7;A;14;4.1;18.7;47.35912698;33.23613057;22.56941049;NA;546.4385845;10218.40153;4-BP-cog-V-G15-2-L;18.79355809;88.28439277;22.46679594;0;0.209125927
4-BP-cog-V-G9-1-A;12;14;14;14;14;22.36125;22.60214286;22.60214286;22.60214286;22.60214286;cog;BP;4;G9;A;1;0;3;est;1.6;L;19;1.1;15;64.9439505;29.60408;21.72569421;20.69140167;872.6579687;13089.86953;4-BP-cog-V-G9-1-A;15.07375427;78.4383112;22.01699185;0;0.171160465
4-BP-cog-V-G9-2-A;12;14;13;14;NA;22.415;22.72214286;22.63576923;22.72214286;NA;cog;BP;4;G9;A;1;0;3;est;1.65;L;14;1;11.3;38.89976112;19.80883003;8.29654342;NA;389.9023859;4405.896961;4-BP-cog-V-G9-2-A;11.40667047;82.81583467;24.40013545;0;0.116870975
4-GF-cog-V-A2-1-A;8;10;11;11;NA;26.554375;26.491;26.48772727;26.48772727;NA;cog;GF;4;A2;A;1;0;3;est;1;L;7;1;2.2;22.18085694;19.06132701;16.69670112;NA;140.423253;308.9311565;4-GF-cog-V-A2-1-A;2.271242412;53.74019545;39.81002044;0;0.014263007
4-GF-cog-V-A2-2-A;10;11;11;11;NA;26.491;26.48772727;26.48772727;26.48772727;NA;cog;GF;4;A2;A;1;0;3;est;1;L;11;1;4.6;35.99486077;31.54684775;25.32629044;NA;363.034833;1669.960232;4-GF-cog-V-A2-2-A;4.626855247;90.64574755;26.40896505;0;0.043800043
4-GF-cog-V-A7-1-A;8;10;11;11;NA;26.554375;26.491;26.48772727;26.48772727;NA;cog;GF;4;A7;A;1;0;3;nord;1.5;L;9;0.8;2;26.07194321;20.82647028;15.04997417;NA;202.6436281;405.2872562;4-GF-cog-V-A7-1-A;2.007548946;61.71867429;20.84762794;0;0.024074069
4-GF-cog-V-A7-2-A;10;12;12;12;NA;26.538;26.49541667;26.49541667;26.49541667;NA;cog;GF;4;A7;A;1;0;3;nord;1.5;L;7;0.4;2.2;35.99856128;24.37895988;14.21365891;NA;195.3462224;429.7616893;4-GF-cog-V-A7-2-A;2.216684998;68.26182383;32.77735481;0;0.016907138
4-GF-cog-V-A7-3-A;10;11;11;11;NA;26.491;26.48772727;26.48772727;26.48772727;NA;cog;GF;4;A7;A;1;0;3;ouest;1;L;12;1;5.1;44.9982016;38.61112134;33.57657749;NA;493.4278537;2516.482054;4-GF-cog-V-A7-3-A;5.153404926;84.71839332;26.71624261;0;0.048223519
4-GF-cog-V-B15-1-A;10;11;12;11;NA;26.491;26.48772727;26.32416667;26.48772727;NA;cog;GF;4;B15;A;1;1;3;sud;1.45;A;9;2;3.1;19.78292646;13.20712019;12.66684573;NA;144.6270323;448.3438002;4-GF-cog-V-B15-1-A;3.112891403;37.99704133;31.82813695;0;0.024450782
4-GF-cog-V-B6-1-L;11;12;13;13;13;26.48772727;26.32416667;26.35730769;26.35730769;26.35730769;cog;GF;4;B6;L;0;2;3;sud;1.7;L;12;2.1;10.7;54.83600744;13.9879278;10.72407798;35.87274394;389.2557218;4165.036223;4-GF-cog-V-B6-1-L;10.81096661;106.4235562;26.83596047;0;0.100713431
4-GF-cog-V-B6-2-L;11;11;12;12;12;26.48772727;26.48772727;26.32416667;26.32416667;26.32416667;cog;GF;4;B6;L;0;1;3;sud;1.5;A;7;3.5;6.5;79.57576704;41.34209772;22.08094317;59.23776408;384.8345375;2501.424493;4-GF-cog-V-B6-2-L;6.555603252;92.46337571;30.40104489;0;0.053909358
4-GF-jose-V-C13-1-A;12;12;12;12;12;26.35791667;26.35791667;26.35791667;26.35791667;26.35791667;jose;GF;4;C13;A;1;3;3;ouest;2;A;18;0.4;6.1;15.5528208;8.87446835;6.14912452;13.9327353;213.7810823;1304.064602;4-GF-jose-V-C13-1-A;6.344143007;159.5459798;67.12913942;0;0.023626636
4-GF-jose-V-G2-1-A;14;NA;NA;NA;NA;25.8625;NA;NA;NA;NA;jose;GF;4;G2;A;1;0;2;nord;1.5;L;18;0.7;19.5;NA;NA;NA;NA;NA;NA;4-GF-jose-V-G2-1-A;20.1736942;192.4664181;52.80344475;0;0.095513154
4-GF-jose-V-G2-2-A;15;NA;NA;NA;NA;25.826;NA;NA;NA;NA;jose;GF;4;G2;A;1;3;2;nord-ouest;1.7;L;19;0.4;20.6;NA;NA;NA;NA;NA;NA;4-GF-jose-V-G2-2-A;21.22858208;214.5576899;58.48881843;0;0.09073778
4-GF-jose-V-G2-3-A;10;10;10;10;NA;26.255;26.255;26.255;26.255;NA;jose;GF;4;G2;A;1;0;3;sud;1.15;L;12;0.6;5.4;37.70118968;24.6613015;13.26850025;NA;356.2622017;1923.815889;4-GF-jose-V-G2-3-A;5.64274951;149.9273208;56.2779675;0;0.025066424
4-GF-jose-V-G2-4-A;12;11;12;11;NA;26.35791667;26.34909091;26.35791667;26.34909091;NA;jose;GF;4;G2;A;1;0;3;est;1.1;L;9;0.3;3.4;17.4969234;17.74173632;9.5045016;NA;150.4591405;511.5610776;4-GF-jose-V-G2-4-A;3.421257452;126.2005893;67.60825299;0;0.012651035
4-GH-jose-V-H11-1-L;20;19;20;20;NA;20.8135;20.74763158;20.8135;20.8135;NA;jose;GH;4;H11;L;0;7;3;sud;1.7;L;8;16.5;17.8;31.67267153;18.31776672;13.21089721;NA;188.1774311;3349.558273;4-GH-jose-V-H11-1-L;17.96910792;181.6941464;53.9968066;0;0.083195234
4-GH-jose-V-H11-2-A;20;NA;20;20;NA;20.77225;NA;20.77225;20.77225;NA;jose;GH;4;H11;A;1;0;3;sud;1.6;L;19;0.3;18.4;NA;10.30374378;6.6963534;NA;NA;NA;4-GH-jose-V-H11-2-A;19.03796136;226.9451448;58.03022052;0;0.082017444
4-GH-jose-V-H22-1-L;19;19;20;20;NA;20.74763158;20.74763158;20.8135;20.8135;NA;jose;GH;4;H22;L;0;4;3;sud;1.2;L;11;0.6;5.3;8.46764688;13.77792713;8.426244695;NA;119.6541147;634.1668081;4-GH-jose-V-H22-1-L;5.508918018;203.8267421;67.2168767;0;0.020489341
4-GH-jose-V-I5-1-L;19;19;19;19;NA;20.27447368;20.27447368;20.27447368;20.27447368;NA;jose;GH;4;I5;L;0;3;3;ouest;1.4;L;17;0.4;8.5;36.22511178;14.78418024;5.8323078;NA;413.9066439;3518.206473;4-GH-jose-V-I5-1-L;8.95328363;213.2461969;75.32807299;0;0.029714299
4-GH-jose-V-I5-2-A;19;19;18;19;NA;20.16026316;20.16026316;20.09472222;20.16026316;NA;jose;GH;4;I5;A;1;5;3;est;0.9;L;22;0.5;27.3;61.07722335;16.47446944;18.78219123;NA;833.0749655;22742.94656;4-GH-jose-V-I5-2-A;28.00657175;191.7251937;61.59295144;0;0.113676042
4-GH-jose-V-L7-1-A;21;20;20;21;NA;20.02619048;19.9605;19.9605;20.02619048;NA;jose;GH;4;L7;A;1;5; 2/3;ouest;1.3;L;21;0.2;14.8;48.41535512;11.0165814;8.91047025;NA;603.2298355;8927.801565;4-GH-jose-V-L7-1-A;15.30393778;173.9109778;78.36116852;0;0.048825005
