a;nUC;nFprox;nFdist;nF1;nFplus;TMUC;TMFprox;TMFdist;TMF1;TMFplus;vari;ver;sai;arbre;pos;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;nbF;longHypo;longUCF;surFproxF;surFdistF;surF1F;surFplusF;surFtot;volUC;a;A0;X00;B0;Error0;ER0
1-BM-jose-V-F9-1-A;18;15;18;NA;NA;25.75694444;25.787;25.75694444;NA;NA;jose;BM;1;F9;A;1;0;1;nord-est;3.3;L;11;5.95;16.9;45.82321832;42.13662376;NA;NA;NA;NA;1-BM-jose-V-F9-1-A;17.20913783;266.9035721;55.25926902;0;0.07785634
1-BP-cog-V-A10-1-A;11;11;10;14;NA;26.11318182;26.11318182;26.238;26.39821429;NA;cog;BP;1;A10;A;1;3; 2/3;sud;1.7;L;15;3;18.5;48.20284326;26.50675313;14.90380403;NA;537.8709788;9950.613107;1-BP-cog-V-A10-1-A;18.39214042;83.78085267;22.16982407;0;0.207400613
1-BP-cog-V-A8-1-L;9;10;9;10;NA;26.33333333;26.238;26.33333333;26.238;NA;cog;BP;1;A8;L;0;5;3;nord;1.4;A;11;3.2;11.6;52.6952624;23.9793048;19.43507852;NA;402.8079145;4672.571808;1-BP-cog-V-A8-1-L;11.51182983;62.74080849;19.38523572;0;0.148461308
1-BP-cog-V-B7-1-A;14;10;10;11;NA;26.39821429;26.238;26.238;26.11318182;NA;cog;BP;1;B7;A;1;1;3;nord;1.1;A;15;1.7;12;56.9508489;36.7830694;14.80944102;NA;670.9468691;8051.362429;1-BP-cog-V-B7-1-A;11.9454003;71.48552949;19.27854707;0;0.15490535
1-BP-cog-V-B7-1-L;7;9;11;14;NA;26.465;26.33333333;26.11318182;26.39821429;NA;cog;BP;1;B7;L;1;1;3;nord;1.1;A;7;NA;8.2;40.84252887;25.3114884;17.67918653;NA;216.1412383;1772.358154;1-BP-cog-V-B7-1-L;8.255704096;63.17079857;20.12286393;0;0.102566217
1-BP-cog-V-B8-1-A;11;9;14;14;NA;26.11318182;26.33333333;26.39821429;26.39821429;NA;cog;BP;1;B8;A;1;1;3;nord-est;1.6;L;12;2.4;11.65;28.1978862;34.7107838;21.5739733;NA;367.5716583;4282.209819;1-BP-cog-V-B8-1-A;11.75577468;74.21312523;22.20424516;0;0.13235954
1-BP-cog-V-B8-1-L;8;10;10;10;NA;26.4675;26.238;26.238;26.238;NA;cog;BP;1;B8;L;1;1;3;nord-est;1.6;L;5;6.5;8;35.29546438;37.5601765;20.44531775;NA;166.1565995;1329.252796;1-BP-cog-V-B8-1-L;8.041343505;68.04950685;21.1830295;0;0.094903133
1-BP-cog-V-C1-1-L;8;NA;14;NA;NA;26.4675;NA;26.39821429;NA;NA;cog;BP;1;C1;L;0;6;3;nord;2;A;10;3;12;NA;20.69140167;NA;NA;NA;NA;1-BP-cog-V-C1-1-L;12.08160559;78.15506408;20.97152672;0;0.144023916
1-BP-cog-V-C1-2-A;8;10;10;11;NA;26.4675;26.238;26.238;26.11318182;NA;cog;BP;1;C1;A;1;0;3;nord;1.4;A;14;1.6;9.4;81.41492051;25.10055933;19.612703;NA;711.963322;6692.455226;1-BP-cog-V-C1-2-A;9.444266121;72.2223798;22.63801704;0;0.104296526
1-BP-cog-V-C9-1-A;10;9;10;14;NA;26.238;26.33333333;26.238;26.39821429;NA;cog;BP;1;C9;A;1;2;3;nord-est;2.1;L;18;3.8;20.2;30.02223763;36.7830694;15.48663435;NA;583.3317441;11783.30123;1-BP-cog-V-C9-1-A;20.22719236;78.38632215;19.68545655;0;0.256879899
1-BP-cog-V-D16-1-L;10;10;11;14;NA;26.238;26.238;26.11318182;26.39821429;NA;cog;BP;1;D16;L;0;6;3;nord;1.45;A;9;6.3;10.5;44.2580996;31.50614214;21.86261308;NA;324.91958;3411.65559;1-BP-cog-V-D16-1-L;10.46883077;71.09845648;20.87981571;0;0.125346302
1-GF-cog-V-B12-1-A;9;9;NA;10;NA;28.31166667;28.31166667;NA;28.273;NA;cog;GF;1;B12;A;1;0; 2/3;nord-est;1.8;A;17;2;17.2;60.43487907;NA;16.51907664;NA;NA;NA;1-GF-cog-V-B12-1-A;17.34684031;87.4943129;20.15199068;0;0.215200084
1-GF-cog-V-B12-2-A;8;8;9;9;NA;28.279375;28.279375;28.24;28.24;NA;cog;GF;1;B12;A;1;0; 2/3;est;2.1;L;11;2.6;9;40.1505335;21.18171924;25.62788201;NA;332.2891457;2990.602311;1-GF-cog-V-B12-2-A;9.004004203;72.68039668;23.17548978;0;0.097128521
1-GF-cog-V-B5-1-L;10;9;10;10;NA;28.2675;28.22722222;28.2675;28.2675;NA;cog;GF;1;B5;L;0;3;3;ouest;2;L;9;4.1;10;51.12994667;27.04332708;22.9801671;NA;335.6732621;3356.732621;1-GF-cog-V-B5-1-L;9.981869239;76.27186053;20.98684127;0;0.118906284
1-GF-cog-V-B5-2-L;10;10;10;10;NA;28.2675;28.2675;28.2675;28.2675;NA;cog;GF;1;B5;L;0;2;3;sud-est;2;L;NA;1.95;8.4;25.76295062;20.58963764;11.3975708;NA;NA;NA;1-GF-cog-V-B5-2-L;8.458963783;84.57627817;27.60750675;0;0.076600215
1-GF-cog-V-B7-1-A;11;11;12;11;NA;28.20363636;28.20363636;28.18041667;28.20363636;NA;cog;GF;1;B7;A;1;0; 2/3;sud-ouest;1.8;A;16;2.3;8.4;45.75310564;19.84398488;17.89566636;NA;509.8738452;4282.9403;1-GF-cog-V-B7-1-A;8.407813554;104.9523665;25.34140145;0;0.082945428
1-GF-cog-V-B7-2-L;9;9;10;10;NA;28.22722222;28.22722222;28.2675;28.2675;NA;cog;GF;1;B7;L;0;1; 2/3;sud;1.45;A;8;4.1;6.5;75.43119584;22.75073548;10.39103208;NA;354.0277917;2301.180646;1-GF-cog-V-B7-2-L;6.555086655;80.62767703;23.80705574;0;0.068835545
1-GF-cog-V-C38-1-A;10;8;9;10;NA;28.273;28.271875;28.31166667;28.273;NA;cog;GF;1;C38;A;1;1;3;ouest;1.7;A;18;1.9;15.35;53.9534358;34.1557073;19.76442391;NA;768.6921403;11799.42435;1-GF-cog-V-C38-1-A;15.29250866;72.97905714;19.43733792;0;0.196689854
1-GF-cog-V-C38-1-L;6;8;8;9;NA;28.34083333;28.271875;28.271875;28.31166667;NA;cog;GF;1;C38;L;1;1;3;ouest;1.7;A;4;6.1;8.3;44.9982016;24.8674272;34.87360624;NA;139.6720494;1159.27801;1-GF-cog-V-C38-1-L;8.328654517;71.80667364;16.2777871;0;0.127914416
1-GF-cog-V-D38-1-A;10;9;10;10;NA;28.273;28.31166667;28.273;28.273;NA;cog;GF;1;D38;A;1;0; 2/3;sud-est;1.65;L;17;1.9;14.5;38.24847136;23.83498491;20.352805;NA;517.0204552;7496.7966;1-GF-cog-V-D38-1-A;14.65672065;94.37742446;21.98621169;0;0.166658095
1-GF-cog-V-D38-2-L;8;10;10;13;NA;28.271875;28.273;28.273;28.22576923;NA;cog;GF;1;D38;L;0;4; 2/3;sud;1.7;A;9;3.8;8.5;38.99412413;20.352805;8.15962455;NA;245.5473411;2087.152399;1-GF-cog-V-D38-2-L;8.616528229;91.46393757;22.66702224;0;0.095033747
1-GF-cog-V-E4-1-A;8;9;9;10;NA;28.271875;28.31166667;28.31166667;28.273;NA;cog;GF;1;E4;A;1;1;1;ouest;1.7;A;12;2.2;7.5;47.94380756;36.10957658;23.66846196;NA;485.9620747;3644.71556;1-GF-cog-V-E4-1-A;7.545682964;82.31304942;23.68580962;0;0.079643498
1-GF-cog-V-E4-2-L;8;9;13;13;NA;28.271875;28.31166667;28.22576923;28.22576923;NA;cog;GF;1;E4;L;0;4;1;ouest;1.7;L;9;5.3;11.1;48.5506912;22.18085694;12.6557442;NA;295.5819368;3280.959498;1-GF-cog-V-E4-2-L;11.18911273;80.02214083;22.13861089;0;0.126352922
1-GF-jose-V-C11-1-L;14;13;13;13;NA;28.18857143;28.22576923;28.22576923;28.22576923;NA;jose;GF;1;C11;L;0;2; 1/2;ouest;1.45;A;13;4.25;18.6;38.882052;18.720988;19.0090032;NA;364.6272432;6782.066724;1-GF-jose-V-C11-1-L;18.75602234;184.8892725;47.39095524;0;0.098943049
