a;nInflo;TMInflo;var;ver;pos;longF;diamInflo;longAxeII;diamUCM;arbre;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;posUCGM;a;A0;X00;B0;Error0;ER0
3-BP-cog-F-B11-2-A;33;20.02969697;cog;BP;A;24;0.83;12;0.56;B11;1;0;2;sud;1.7;L;L;3-BP-cog-F-B11-2-A;24.26332817;129.5722611;42.67444477;0;0.142142026
3-BP-cog-F-D2-1-L;41;20.33341463;cog;BP;L;27.8;0.65;13;0.81;D2;1;1;1;sud-est;1.45;A;A;3-BP-cog-F-D2-1-L;27.01049152;134.6475525;55.87448887;0;0.120853417
3-BP-cog-F-D3-1-L;31;20.90322581;cog;BP;L;22.85;0.5;10.55;0.695;D3;0;3;2;sud;1.55;A;L;3-BP-cog-F-D3-1-L;23.57642457;163.4902626;54.68085079;0;0.107791047
3-BP-cog-F-E3-1-L;36;20.91888889;cog;BP;L;21.1;0.45;15.1;0.85;E3;1;1;1;nord-ouest;0.4;A;A;3-BP-cog-F-E3-1-L;22.18952932;183.6138134;71.94113948;0;0.077110015
3-BP-cog-F-E6-1-L;30;20.0045;cog;BP;L;18.6;0.54;12;0.995;E6;1;2;;nord-est;0.6;A;L;3-BP-cog-F-E6-1-L;18.3411977;95.1651664;49.43437399;0;0.092755285
3-BP-cog-F-F10-1-A;44;20.35977273;cog;BP;A;34.5;0.96;17;0.555;F10;1;0;2;ouest;1.2;L;A;3-BP-cog-F-F10-1-A;34.3645397;164.4837742;64.71282218;0;0.132757847
3-BP-cog-F-F10-2-A;30;20.60416667;cog;BP;A;25.5;0.7;14.4;0.53;F10;1;0;2;ouest;2;L;A;3-BP-cog-F-F10-2-A;26.18114434;145.2819025;50.87341744;0;0.128658274
3-BP-cog-F-F11-1-A;31;19.98193548;cog;BP;A;24.5;0.94;10.5;0.615;F11;1;0;1;sud;1.45;L;A;3-BP-cog-F-F11-1-A;24.71021909;130.0540911;39.27682012;0;0.157282457
3-BP-cog-F-F3-1-A;33;20.72545455;cog;BP;A;35.9;0.66;20.5;0.685;F3;1;0;1;nord-est;0.6;L;A;3-BP-cog-F-F3-1-A;36.0988114;154.2223698;44.10067266;0;0.204638667
3-BP-cog-F-F4-1-A;43;20.36465116;cog;BP;A;23.5;1.06;17.1;0.785;F4;1;0;1;sud;1.5;L;L;3-BP-cog-F-F4-1-A;22.68174141;119.5772454;59.38503597;0;0.095485929
3-BP-cog-F-G2-1-A;40;20.93625;cog;BP;A;28.1;0.79;23.3;0.775;G2;1;0;1;sud-ouest;1.3;A;A;3-BP-cog-F-G2-1-A;28.2216814;168.0210498;59.4440885;0;0.118690025
3-GF-cog-F-A2-1-A;25;22.6692;cog;GF;A;25.5;0.95;12.5;0.73;A2;1;0;3;ouest;1.6;A;L;3-GF-cog-F-A2-1-A;26.28024141;140.9845839;47.84490427;0;0.13731996
3-GF-cog-F-A37-1-A;28;23.22142857;cog;GF;A;18.45;0.55;6;0.62;A37;1;4;3;ouest;1.75;A;A;3-GF-cog-F-A37-1-A;18.39519575;154.3229499;45.32834096;0;0.101455267
3-GF-cog-F-A37-1-L;29;23.21741379;cog;GF;L;16;0.4;4.5;0.62;A37;1;4;3;ouest;1.75;A;A;3-GF-cog-F-A37-1-L;15.91887196;157.9689235;46.02252281;0;0.086473269
3-GF-cog-F-B19-1-A;31;23.01870968;cog;GF;A;23.6;0.8;8.8;0.87;B19;1;2;3;sud-est;1.75;A;L;3-GF-cog-F-B19-1-A;23.5464399;122.4861841;51.28032212;0;0.114792765
3-GF-cog-F-B19-1-L;31;23.13032258;cog;GF;L;18.5;0.4;4.7;0.87;B19;1;2;3;sud-est;1.75;A;L;3-GF-cog-F-B19-1-L;18.31496496;121.9764482;51.43591044;0;0.089018376
3-GF-cog-F-B21-1-A;33;23.08969697;cog;GF;A;22.9;0.67;9;0.665;B21;1;0;3;est;1.55;A;A;3-GF-cog-F-B21-1-A;22.71461055;134.6365406;58.8197561;0;0.096543288
3-GF-cog-F-B22-1-A;27;23.04481481;cog;GF;A;17.6;0.59;5.4;0.46;B22;1;0;3;est;1.5;L;L;3-GF-cog-F-B22-1-A;17.61481703;123.4777618;45.61161776;0;0.096547864
3-GF-cog-F-B25-1-L1;33;23.00818182;cog;GF;L;28.7;0.56;11;0.785;B25;0;7;3;nord-ouest;1.4;A;L;3-GF-cog-F-B25-1-L1;28.79122732;162.8588757;52.19360856;0;0.137905905
3-GF-cog-F-B25-1-L2;30;22.9055;cog;GF;L;28;0.69;11.3;0.785;B25;0;7;3;nord-ouest;1.4;A;L;3-GF-cog-F-B25-1-L2;28.35360672;148.1189958;52.57372037;0;0.13482785
3-GF-cog-F-B28-1-A;32;23.27328125;cog;GF;A;18.1;0.77;10;0.59;B28;1;0;2;nord-est;1.55;A;A;3-GF-cog-F-B28-1-A;18.20016546;157.19747;69.73828401;0;0.065244527
3-GF-cog-F-B7-1-A;33;23.10060606;cog;GF;A;20.9;0.63;7.5;0.825;B7;1;3;2;sud;1.6;A;L;3-GF-cog-F-B7-1-A;20.83365594;150.9300852;53.92690742;0;0.096582842
3-GF-cog-F-B7-1-L;31;23.13032258;cog;GF;L;18.3;0.5;5.7;0.825;B7;1;3;2;sud;1.6;A;L;3-GF-cog-F-B7-1-L;18.23914455;139.1482832;51.86564887;0;0.08791534
3-GF-cog-F-B8-1-L1;32;23.10046875;cog;GF;L;20.7;0.5;7.5;0.75;B8;0;4;2;sud-est;1.5;A;L;3-GF-cog-F-B8-1-L1;20.70976586;152.9369238;59.30456651;0;0.087302577
3-GF-cog-F-B8-1-L2;32;23.10046875;cog;GF;L;17.9;0.47;7;0.75;B8;0;4;2;sud-est;1.5;A;L;3-GF-cog-F-B8-1-L2;17.89516842;145.5856828;57.51765623;0;0.077781196
3-GF-cog-F-C28-1-L;26;23.06884615;cog;GF;L;22;0.51;7.9;0.505;C28;0;6;3;nord;1.6;A;L;3-GF-cog-F-C28-1-L;21.86526762;132.2637024;42.1643022;0;0.129643244
3-GF-cog-F-E5-1-L1;20;26.582;cog;GF;L;11.7;0.4;5;0.61;E5;1;2;2;sud-ouest;1.6;A;A;3-GF-cog-F-E5-1-L1;11.83785925;112.6846368;50.22326827;0;0.058926169
3-GF-cog-F-E5-1-L2;20;26.582;cog;GF;L;9.5;0.38;3.1;0.61;E5;1;2;2;sud-ouest;1.6;A;A;3-GF-cog-F-E5-1-L2;9.598429843;121.6224545;50.71222724;0;0.047318124
3-GF-cog-F-E5-2-L;20;26.582;cog;GF;L;13.2;0.38;3.5;0.64;E5;1;2;2;ouest;2;A;A;3-GF-cog-F-E5-2-L;13.04088688;97.53436734;36.18708488;0;0.090093516
3-GF-jose-F-C10-1-A;27;22.98074074;jose;GF;A;25.1;0.76;7.5;0.715;C10;1;0;3;ouest;1.6;A;A;3-GF-jose-F-C10-1-A;25.600721;141.7106622;40.34841515;0;0.158622841
3-GF-jose-F-C11-1-A;28;22.91267857;jose;GF;A;29.8;0.89;10;0.615;C11;1;0;2;est;1.45;A;L;3-GF-jose-F-C11-1-A;30.20438781;140.8593726;42.95631407;0;0.175785495
3-GF-jose-F-C11-2-A;29;22.81051724;jose;GF;A;19.3;0.5;6.9;0.425;C11;1;0;2;sud-est;1.45;L;L;3-GF-jose-F-C11-2-A;19.85593564;153.1050182;56.11970063;0;0.088453499
3-GF-jose-F-C14-1-A;19;25.41605263;jose;GF;A;8.3;0.51;3.6;0.46;C14;1;0;2;nord-est;1.45;A;L;3-GF-jose-F-C14-1-A;8.494696465;115.9001907;43.44957712;0;0.04887675
3-GF-jose-F-D10-1-A;35;23.05414286;jose;GF;A;27.7;0.75;9.8;0.675;D10;1;0;3;sud;1.6;A;L;3-GF-jose-F-D10-1-A;27.8228191;163.6745112;51.10240461;0;0.136113062
3-GF-jose-F-D10-2-L;21;25.29;jose;GF;L;12.45;0.57;3.9;0.74;D10;0;3;1;nord-est;1.5;A;A;3-GF-jose-F-D10-2-L;12.72561782;139.3232336;41.64488597;0;0.076393641
3-GF-jose-F-D11-1-A;38;23.19460526;jose;GF;A;20.5;0.65;7.5;0.635;D11;1;0;3;sud-est;1.4;L;L;3-GF-jose-F-D11-1-A;20.43288546;209.4050795;49.16281439;0;0.103904169
3-GF-jose-F-D6-1-L;24;23.12958333;jose;GF;L;11.8;0.52;4.5;0.73;D6;0;4; 2/3;nord;1.65;A;L;3-GF-jose-F-D6-1-L;11.95057794;128.3599865;41.06264501;0;0.072758208
3-GF-jose-F-D6-2-A;30;22.86816667;jose;GF;A;17.6;0.69;9.5;0.635;D6;1;0; 2/3;nord;1.45;A;L;3-GF-jose-F-D6-2-A;17.70411689;133.3863372;41.43119618;0;0.10682842
3-GF-jose-F-D8-1-L1;29;23.08241379;jose;GF;L;18.8;0.6;5.6;0.64;D8;0;3;2;nord-ouest;1.9;A;A;3-GF-jose-F-D8-1-L1;19.20405351;159.9221207;51.8033067;0;0.09267774
3-GF-jose-F-D8-1-L2;29;23.07465517;jose;GF;L;11.3;0.55;4;0.64;D8;0;3;2;nord-ouest;1.9;A;A;3-GF-jose-F-D8-1-L2;11.63256493;160.2938377;49.72011925;0;0.05849023
3-GF-jose-F-E17-1-A;13;25.95192308;jose;GF;A;6;0.39;4.5;0.36;E17;1;0;1;nord;1.15;L;L;3-GF-jose-F-E17-1-A;6.413029703;102.7938553;42.49489592;0;0.037728235
3-GF-jose-F-E9-1-A;14;25.82607143;jose;GF;A;7.9;0.48;4;0.445;E9;1;0;1;sud-est;1.7;L;L;3-GF-jose-F-E9-1-A;8.290183175;109.3721941;40.8025056;0;0.050794572
3-GF-jose-F-F14-1-L;35;23.02128571;jose;GF;L;18;0.65;8;0.67;F14;0;2;3;sud-ouest;1.2;A;L;3-GF-jose-F-F14-1-L;18.71782445;196.1094507;62.52297334;0;0.074843787
3-GF-jose-F-G8-1-L1;29;23.03931034;jose;GF;L;16.3;0.62;5.8;0.82;G8;0;2;2;nord-ouest;1.6;A;A;3-GF-jose-F-G8-1-L1;16.98784314;175.055289;54.40742353;0;0.07805848
3-GF-jose-F-G8-1-L2;32;23.02703125;jose;GF;L;19.1;0.67;5.7;0.82;G8;0;2;2;nord-ouest;1.6;A;A;3-GF-jose-F-G8-1-L2;19.72791916;177.6555088;54.51486882;0;0.09047036
3-GH-jose-F-C24-1-L;43;19.55046512;jose;GH;L;23.8;0.6;8.6;0.925;C24;0;3;2;sud-ouest;1.45;L;A;3-GH-jose-F-C24-1-L;23.98537371;151.6264518;42.91115494;0;0.13973857
3-GH-jose-F-E23-1-L;39;19.45833333;jose;GH;L;28.45;0.66;8.8;1.035;E23;0;3;1;sud;1.45;A;A;3-GH-jose-F-E23-1-L;28.85664423;148.725297;38.11689;0;0.189264157
3-GH-jose-F-G26-1-A;44;19.55534091;jose;GH;A;24.8;0.65;7.9;0.815;G26;1;0;2;sud-ouest;1.4;L;A;3-GH-jose-F-G26-1-A;25.00938681;156.8430891;41.8725363;0;0.149318557
3-GH-jose-F-G26-2-L;38;19.41407895;jose;GH;L;20.8;0.7;9.65;1.34;G26;1;4;2;ouest;1.6;A;L;3-GH-jose-F-G26-2-L;20.97966665;129.6981531;34.5414729;0;0.151844036
3-GH-jose-F-G27-1-L;34;19.38558824;jose;GH;L;21.4;0.6;8.6;1.07;G27;1;2;1;sud;1.5;L;A;3-GH-jose-F-G27-1-L;22.07807348;140.9420679;35.86373147;0;0.153902512
3-GH-jose-F-H21-1-A;41;19.51097561;jose;GH;A;29.1;0.98;11.1;0.94;H21;1;2;3;sud-ouest;1.3;L;L;3-GH-jose-F-H21-1-A;29.65276893;172.2239805;38.16005122;0;0.194265783
3-GH-jose-F-H21-1-L;39;19.44666667;jose;GH;L;23.8;0.54;7.25;0.94;H21;1;2;3;sud-ouest;1.3;L;L;3-GH-jose-F-H21-1-L;24.05333553;136.3678001;35.88348402;0;0.167579432
3-GH-jose-F-I31-1-A;24;21.35333333;jose;GH;A;8.8;0.61;2;0.64;I31;1;0;2;nord-est;1.65;L;L;3-GH-jose-F-I31-1-A;9.234845844;115.7318841;43.13991875;0;0.053516825
