"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","11","12"
"1","0","0","0",0.235131404320621,0.521746133167156,0.197523166194324,0.0439446488850385,0.00165464743285959
"2","0","0","0",0.0706518815356573,0.364337491478953,0.403093479378552,0.15525978448378,0.00665736312305776
"8","0","0","0",0.0356676632038818,0.236828292799728,0.443270836269899,0.270645104062663,0.0135881036638289
"9","0","0","0",0.0636396249676658,0.344039428802959,0.414617758102852,0.170262376559451,0.00744081156707188
"10","0","0","0",0.116579225834797,0.455408385008868,0.327858901739513,0.0963073804862939,0.00384610693052878
"11","0","0","0",0.698989203681136,0.260221258077351,0.0345042597368554,0.00606591478430374,0.000219363720354027
"12","0","0","0",0.360842794732985,0.490286727156496,0.123514129881832,0.0244546808396707,0.000901667389017202
"1","1","0","0",0.2115891609358,0.519434589229769,0.217087900970611,0.049993459202275,0.00189488966154439
"2","1","0","0",0.0622379102587672,0.339714588652948,0.416844594460627,0.173584487846015,0.00761841878164293
"8","1","0","0",0.0312797537729444,0.21513814354922,0.440929256158963,0.297118813106313,0.0155340334125595
"9","1","0","0",0.0560104173355414,0.31932805854245,0.426237488950074,0.189910038853149,0.00851399631878547
"10","1","0","0",0.103303717569718,0.435158115311961,0.348462955468144,0.108672082555269,0.00440312909490781
"11","1","0","0",0.669666226121305,0.28388626106658,0.0392545037575758,0.00694174294087968,0.000251266113658999
"12","1","0","0",0.330146756760537,0.502941491622019,0.137973604477027,0.02790545141233,0.00103269572808673
"1","0","1","0",0.251432449998379,0.521370892161448,0.18530056914013,0.0403814820382066,0.001514606661836
"2","0","1","0",0.0766933639955216,0.380176466807983,0.392875447885308,0.144158217289137,0.0060965040220512
"8","0","1","0",0.0388426576864995,0.251561217529603,0.443033261694425,0.254112190152343,0.0124506729371298
"9","0","1","0",0.0691260860353075,0.360103293456433,0.405642853690569,0.158313364305463,0.00681440251222831
"10","0","1","0",0.12601546081132,0.467504888273735,0.31403066295832,0.0889277413739558,0.00352124658266972
"11","0","1","0",0.717290612698819,0.245247778861847,0.0317060238618819,0.00555481109325473,0.000200773484197225
"12","0","1","0",0.381511970858641,0.480494990204435,0.114735989715332,0.0224317469629867,0.000825302258604776
"1","1","1","0",0.226741919837628,0.521337506933219,0.204220651636534,0.0459653702306309,0.0017345513619873
"2","1","1","0",0.0676122533702003,0.355804250981546,0.408152944355611,0.16145338842826,0.00697716286438255
"8","1","1","0",0.0340779568691747,0.229154161877026,0.442826617520288,0.279705199762302,0.0142360639712106
"9","1","1","0",0.0608819188377319,0.335441194201855,0.418965231093534,0.176913705485771,0.00779795038110753
"10","1","1","0",0.111801387751108,0.448583514311074,0.335122985489678,0.100460702017632,0.00403141043050759
"11","1","1","0",0.688957125805125,0.268364373928022,0.0360911773192936,0.00635735005396076,0.000229972893598607
"12","1","1","0",0.350020537744969,0.495023369007126,0.128405710693204,0.0256051386722391,0.000945243882461866
"1","0","0","1",0.146125451424633,0.487981587739837,0.286850742139891,0.0760737970233614,0.00296842167227818
"2","0","0","1",0.0406024196976962,0.259400870966203,0.442357073523797,0.245743720210688,0.0118959156016158
"8","0","0","1",0.0201745852952502,0.152362079362065,0.411119376973213,0.392196210663232,0.0241477477062398
"9","0","0","1",0.0364556044697412,0.240557226929933,0.443343031308718,0.26635653900681,0.0132875982847981
"10","0","0","1",0.0684344774322176,0.358151502823634,0.406792231517438,0.159733913921416,0.00688787430529436
"11","0","0","1",0.563832262686915,0.365200496387794,0.0597328849443453,0.0108403698328874,0.000393986148058079
"12","0","0","1",0.239127794198172,0.521791916156279,0.194432852669321,0.0430288850327936,0.00161855194343485
"1","1","0","1",0.129980396552816,0.472081458864704,0.308427018342347,0.0861123616958265,0.00339876454430688
"2","1","0","1",0.0356298567044361,0.236648140894085,0.443265006972281,0.270854143656973,0.0136028517722244
"8","1","0","1",0.0176577658910707,0.136342025109646,0.39632591656117,0.422110642646639,0.0275636497914739
"9","1","0","1",0.0319739748869384,0.218677461636606,0.441546316081436,0.292611091482429,0.015191155912591
"10","1","0","1",0.0602674531834681,0.333475114546472,0.41991411489375,0.178461374904219,0.00788194247209062
"11","1","0","1",0.530192369334042,0.389347550895509,0.0676124800587844,0.0123963270328298,0.000451272678834824
"12","1","0","1",0.215298048278626,0.520047418807594,0.213842334426975,0.0489586353751175,0.00185356311168805
"1","0","1","1",0.1575267887718,0.49687606785524,0.272766841891915,0.0701128089512696,0.00271749252977493
"2","0","1","1",0.0441965543017639,0.274729904880711,0.440007782783577,0.230167188803233,0.0108985692307146
"8","0","1","1",0.0220019130532588,0.163549002283533,0.419456217162161,0.372846630181856,0.0221462373191905
"9","0","1","1",0.0396978510013488,0.255399332822093,0.442748219493068,0.249979584947994,0.0121750117354954
"10","0","1","1",0.0743015078733011,0.37407767494375,0.396937774042818,0.148375324365632,0.00630771877449965
"11","0","1","1",0.58547795044848,0.349177142150219,0.055053010742639,0.00993129399193704,0.000360602666724663
"12","0","1","1",0.255613308026711,0.521045556300859,0.182322926262477,0.0395366478362298,0.00148156157372259
"1","1","1","1",0.140329052241311,0.482749561137918,0.294371180277949,0.0794386355201876,0.00311157082263425
"2","1","1","1",0.0388016212140593,0.251375685078438,0.443044770025325,0.254313721569437,0.0124642021127411
"8","1","1","1",0.0192616122376,0.14663453845483,0.406236881560934,0.402580622331534,0.0252863454151022
"9","1","1","1",0.0348320481179346,0.232819883464743,0.443089273169627,0.275337364270552,0.0139214309771426
