"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","12"
"1","0","0","0",0.00262131808922677,0.0547817721849458,0.00577287956392029,0.24082161509784,0.498211556416258,0.197790858647809
"2","0","0","0",0.00284990653896704,0.0592614452370201,0.00621205607488715,0.253698534689961,0.493153645064695,0.184824412394469
"10","0","0","0",1.03004692038445e-05,0.000228319868461733,2.56089569080884e-05,0.00144467767659414,0.0139381999797271,0.984352893049105
"12","0","0","0",0.214797304481965,0.648937821755158,0.011562567209129,0.103179256751061,0.019159832485842,0.00236321731684419
"1","1","0","0",0.00150762909741019,0.0322961092142615,0.00349346315516003,0.16329641765723,0.499113621510612,0.300292759365327
"2","1","0","0",0.00163925944521408,0.0350123617498768,0.00377546433506565,0.173948341629959,0.502647572381074,0.282977000458811
"10","1","0","0",5.9176466334829e-06,0.000131183684057674,1.47154969732678e-05,0.000830664817794085,0.00806703327214879,0.990950485082393
"12","1","0","0",0.135813958922231,0.648740965272316,0.0167355944904829,0.161833359197536,0.0327697900971844,0.00410633202025035
"1","0","1","0",0.00257575383105184,0.0538834481168214,0.00568421333274564,0.238147256123213,0.499114115986536,0.200595212609632
"2","0","1","0",0.00280038006831988,0.0582946826200723,0.0061176963019288,0.25098296436686,0.494316386671255,0.187487889971564
"10","0","1","0",1.0120963905952e-05,0.000224341892728721,2.5162888039939e-05,0.00141954997367049,0.0136994413206151,0.98462138296104
"12","0","1","0",0.211847019233923,0.649805650091285,0.0117133642741587,0.104737538770881,0.0194913966918707,0.0024050309378818
"1","1","1","0",0.00148139444402376,0.0317528216636561,0.00343683949808987,0.16111822632182,0.498211030598522,0.303999687473888
"2","1","1","0",0.00161073795229031,0.034425169702457,0.00371465707811013,0.171678811462682,0.502012907549058,0.286557716255402
"10","1","1","0",5.81451992388298e-06,0.000128897856590258,1.44591216121143e-05,0.000816204888749099,0.00792783441648454,0.99110678919664
"12","1","1","0",0.133763715446626,0.647804702398917,0.0169079942116629,0.164017954845902,0.0333267748183783,0.00417885827851339
"1","0","0","1",0.640052487120719,0.336252365345147,0.00224780268001745,0.0180748080763715,0.0030082498363212,0.000364286941422987
