"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","5","6","7","8","9","10","11","12"
"1","0","0","0",0.439206345415145,0.12770874275396,0.155761914783895,0.137822575121026,0.0591010636202939,0.0716414645690066,0.00436874671760845,0.00438914701906445
"2","0","0","0",0.664863312586702,0.103430556967357,0.100142783398772,0.0714129705793956,0.0267868748782129,0.0298876368356028,0.00173850226082539,0.00173736249313294
"3","0","0","0",0.665782340365854,0.10324545803515,0.0998797048566152,0.0711750252284165,0.0266868221679744,0.0297690515474303,0.00173137883358387,0.00173021896497516
"8","0","0","0",0.543315925690337,0.122063134822541,0.132946584189131,0.10524366461882,0.0420080834231292,0.0486399134785361,0.00288894455526023,0.00289374922224572
"11","0","0","0",0.279138282585902,0.113775498344062,0.170105093225862,0.190057794630417,0.0966650746756534,0.132702247121324,0.00871842840078485,0.00883758101599474
"1","1","0","0",0.436828084670265,0.127713364266678,0.156195078166579,0.138599235217692,0.0595476487601787,0.07227442220933,0.00441059711101444,0.00443156959826185
"2","1","0","0",0.662707110671824,0.103862371349671,0.100759362852606,0.0719722630264427,0.0270223936425102,0.0301670071879536,0.0017552914251695,0.00175419984382319
"3","1","0","0",0.663629059837451,0.103678158754368,0.100495837780941,0.0717329437218417,0.0269215567858344,0.0300473563445164,0.00174809956850597,0.00174698720654143
"8","1","0","0",0.540917684424737,0.122306811602983,0.133541139701317,0.105958557864916,0.0423538631846313,0.0490834367536275,0.00291674577209455,0.00292176069569405
"11","1","0","0",0.277198342063619,0.113413248013305,0.170028840153131,0.190635265187915,0.0972282834579518,0.133772592448447,0.00880081479715056,0.00892261387847959
"1","0","1","0",0.463032250305052,0.127343295858035,0.151170910235619,0.130110344750802,0.0547782759749381,0.065604222403095,0.00397267848248739,0.00398802198997095
"2","0","1","0",0.685957071715997,0.099025894473333,0.0940653320201021,0.0660172988180696,0.024539157923512,0.0272373050137807,0.00157973960830582,0.00157820042690016
"3","0","1","0",0.686845500192426,0.0988332785893937,0.0938076620732073,0.0657930405355193,0.0244466764865775,0.0271288682148401,0.0015732636116329,0.00157171029640368
"8","0","1","0",0.567078536149167,0.119377130546098,0.12692140496073,0.0982584863217183,0.0386873746259202,0.0444221829724212,0.00262595639086083,0.00262892803308434
"11","0","1","0",0.298909175357539,0.117182527876046,0.170444758294725,0.183997997250014,0.0910865531916115,0.122408123026472,0.00793767205657925,0.00803319294701266
"1","1","1","0",0.460630946336617,0.127406105121561,0.151653403410828,0.130881611883155,0.0552018275859875,0.06618874102233,0.0040107813984831,0.00402658324103866
"2","1","1","0",0.68387205423926,0.0994757028515033,0.0946695358677776,0.0665445476074691,0.0247568801121485,0.0274927786256798,0.0015950029482098,0.00159349774795159
"3","1","1","0",0.684763670530617,0.0992837350583806,0.0944112484024374,0.0663189176819416,0.0246636583857575,0.0273833604506144,0.00158846468091833,0.00158694480933319
"8","1","1","0",0.564705104898992,0.119667331465246,0.12753362196902,0.0989481017980918,0.039010669002146,0.0448295408120828,0.00265124719108722,0.00265438286333375
"11","1","1","0",0.296888421722677,0.116857840289701,0.170445224257962,0.184630242329546,0.0916433063467008,0.123411549109969,0.00801286641058929,0.00811054953285384
"1","0","0","1",0.38800680980642,0.12647942097654,0.163921703384315,0.154743793022572,0.0693748790370932,0.0866770083289383,0.00538006201128127,0.0054163234328406
"2","0","0","1",0.616265843375038,0.112305818068175,0.113788083139576,0.0843734189952944,0.0323739014022967,0.0366027050385882,0.00214494153481248,0.0021452884462182
"3","0","0","1",0.617241416689166,0.112145676578816,0.11351994596799,0.0841058727462006,0.0322557238156311,0.0364587294699211,0.00213616349714874,0.00213647123512672
"8","0","0","1",0.490597242611558,0.126216033240427,0.145344800057402,0.121363917901315,0.0500997301337314,0.0592446158232871,0.0035614415519527,0.00357221868032731
"11","0","0","1",0.238657361938484,0.105144967248751,0.166723257119112,0.201198973571417,0.108999735364655,0.157677969625284,0.0107033182135789,0.0108944169187178
"1","1","0","1",0.385715102980728,0.126357452338511,0.164223892605219,0.155507903512883,0.0698689952670285,0.0874265951581051,0.00543143865249562,0.00546861948502964
"2","1","0","1",0.613978510074075,0.112678320707974,0.114415712677927,0.0850019026742023,0.0326520012916195,0.0369418519206984,0.00216563009029624,0.00216607056320739
"3","1","0","1",0.614956265214474,0.112519598206189,0.114147603369587,0.0847330430056377,0.0325329478337498,0.0367966063097783,0.00215676793905006,0.00215716812153377
"8","1","0","1",0.488182951007734,0.126344213579579,0.145875100846141,0.122121761125722,0.0504964364860662,0.0597771194000694,0.00359564357753994,0.00360677397714781
"11","1","0","1",0.23690629568286,0.104719670266247,0.166485080073899,0.201627182644976,0.109560100045469,0.158898829178201,0.0108038216122827,0.0109990204960645
"1","0","1","1",0.41109128083644,0.127383383958541,0.160560426425008,0.147069955320525,0.0645664057757608,0.0795130732018459,0.00489368587310202,0.00492178860877801
"2","0","1","1",0.638756431701241,0.108423915440349,0.10754250124195,0.078282613398038,0.0297138969460717,0.0333825316668562,0.00194928090362589,0.00194882870186786
"3","0","1","1",0.639708255311699,0.108250958540034,0.107275383496033,0.0780283885078623,0.0296042238378911,0.0332506740412929,0.0019412988884363,0.00194081737675167
"8","0","1","1",0.514652525692039,0.124638033341967,0.139871524535336,0.113904623803658,0.0462761911133432,0.0541737545926944,0.00323783740000094,0.00324550952096081
"11","0","1","1",0.256581601345336,0.109247346045716,0.168703717652007,0.196529240936001,0.103388806645255,0.145894326044379,0.00975027289224495,0.00990468843906089
